,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
WSW,0.7,0.55,0.63,0.58,1.6,2.0,0.4,0.81,1.31,1.15,2.63,0.58,0.87,0.39,1.08,1.86,1.05,0.71,1.02,0.64,1.0,1.0,,1.0,,1.0,,0.99,1.17
N,0.84,1.23,0.62,1.39,0.53,0.67,1.8,0.46,0.53,0.49,0.76,2.18,1.26,1.88,1.13,0.83,1.03,0.84,1.02,0.87,1.0,1.0,,1.0,,1.0,,1.0,0.64
NW,0.55,0.82,0.63,0.92,0.46,0.51,1.06,0.4,0.48,0.49,0.9,1.47,3.66,3.15,3.1,1.21,1.04,0.51,1.02,0.59,1.0,1.0,,0.99,,1.0,,0.94,1.47
NNW,0.89,0.97,0.75,1.21,0.4,0.47,1.54,0.48,,0.34,0.62,1.86,3.04,3.12,2.37,0.95,1.04,0.72,1.03,0.84,1.0,1.0,,0.99,,1.0,,0.95,1.26
WNW,0.59,0.74,0.69,0.83,0.71,0.82,1.12,0.51,0.63,0.49,1.25,1.27,2.94,2.01,2.99,2.1,1.05,0.71,1.04,0.63,1.0,1.0,,0.99,,1.0,,0.98,1.25
W,0.66,0.56,0.81,0.37,1.5,1.69,0.62,0.82,0.99,0.92,2.4,0.87,1.62,0.95,1.79,2.42,1.06,0.52,1.03,0.74,1.0,1.0,,1.0,,1.0,,1.01,1.21
PM2.5_0,0.96,1.0,0.93,1.04,1.01,1.03,1.04,0.94,0.97,0.93,1.06,1.06,1.1,1.1,1.08,1.06,1.09,0.53,1.05,0.64,1.0,1.0,1.18,1.0,1.18,1.0,1.06,1.0,1.04
PM2.5_1,1.3,1.04,1.51,0.83,0.92,0.69,0.78,1.43,1.07,1.46,0.63,0.73,0.22,0.36,0.48,0.53,0.6,4.7,0.79,3.9,1.0,1.0,,1.0,,1.0,,1.02,0.66
PM10_0,0.97,1.0,0.96,1.03,0.99,1.01,1.03,0.93,0.97,0.93,1.04,1.06,1.08,1.06,1.06,1.05,1.06,0.71,1.05,0.67,1.0,1.0,1.14,1.0,1.1,1.0,1.04,1.0,1.03
PM10_1,1.25,1.01,1.38,0.84,1.11,0.83,0.75,1.58,1.18,1.54,0.7,0.64,0.23,0.42,0.45,0.48,0.67,3.84,0.75,4.24,1.0,1.0,,1.0,,1.0,,1.01,0.72
TEMP_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRES_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49,1.0,1.0,1.0,1.0
DEWP_0,0.92,0.79,,,,,,,,,,,2.99,5.28,,,1.1,,1.06,,1.0,1.0,,0.67,114.87,1.0,,0.73,1.95
RAIN_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91,1.0,1.0
RAIN_1,,1.16,0.89,1.47,1.14,,,,,,,,,,,,0.98,,0.97,,1.0,1.0,,1.0,,0.95,21.82,0.85,1.92
WSPM_0,1.04,1.04,1.03,1.03,0.96,0.96,1.02,1.03,0.99,1.0,1.0,1.01,0.91,0.92,0.94,1.03,1.0,1.0,1.0,1.01,1.0,1.0,1.17,1.0,0.54,1.0,0.98,1.01,0.85
WSPM_1,0.74,0.76,0.82,0.84,1.24,1.24,0.9,0.81,1.04,1.02,0.97,0.95,1.52,1.46,1.33,0.84,1.02,1.03,1.01,0.94,1.0,1.0,,1.0,3.71,1.0,1.13,0.94,1.9
