,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
WSW,1.06,1.11,0.99,1.06,1.05,1.3,1.13,0.93,1.08,1.06,0.8,1.08,1.1,1.12,0.9,0.66,2.11,1.48,2.1,1.43,1.98,1.84,1.9,2.05,1.88,2.05,2.24,,2.04,1.67
NNW,1.29,1.36,1.26,1.26,1.35,0.94,1.27,0.92,1.42,0.85,1.21,0.8,1.14,1.23,0.87,0.82,2.07,2.58,2.05,2.25,2.07,1.86,2.17,1.84,2.34,1.8,2.26,,2.19,1.36
S,1.55,1.3,1.53,1.14,0.99,1.52,0.86,1.52,0.94,1.34,0.96,1.46,0.82,0.83,1.15,0.84,2.21,1.53,2.2,1.5,1.97,2.1,1.92,2.21,1.93,2.16,2.32,,2.12,1.63
SSE,1.4,1.27,1.57,1.17,1.04,1.42,0.91,1.45,0.92,1.35,1.0,1.26,0.87,0.83,1.09,0.9,2.29,1.49,2.27,1.52,2.04,2.08,1.99,2.25,1.99,2.24,2.38,,2.18,1.67
WNW,1.51,1.4,1.36,1.39,1.15,0.99,1.27,1.16,1.46,1.09,1.09,0.92,1.35,1.39,0.79,0.93,2.18,2.63,2.16,2.18,2.17,2.02,2.2,2.01,2.41,1.94,2.41,,2.31,1.43
W,1.18,1.21,1.14,1.25,1.32,1.32,1.38,1.06,1.33,1.25,1.11,1.31,1.33,1.31,0.93,0.82,2.44,1.79,2.44,1.78,2.34,2.18,2.26,2.29,2.26,2.25,2.62,,2.42,1.94
PM2.5_0,0.56,0.54,0.56,0.51,0.51,0.54,0.48,0.48,0.47,0.48,0.47,0.48,0.45,0.44,0.45,0.4,0.98,0.87,0.98,0.81,0.93,0.92,0.93,0.93,0.94,0.93,1.07,0.26,0.98,0.71
PM2.5_1,0.78,0.78,0.76,0.74,0.83,0.68,0.77,0.66,0.71,0.64,0.84,0.63,0.71,0.67,0.6,0.7,1.74,0.85,1.61,0.9,1.45,1.28,1.39,1.31,1.39,1.32,1.56,,1.43,0.97
PM10_0,0.57,0.55,0.56,0.52,0.51,0.54,0.48,0.48,0.47,0.48,0.47,0.48,0.45,0.44,0.46,0.41,0.98,0.88,0.97,0.85,0.93,0.93,0.94,0.94,0.94,0.94,1.07,0.26,0.99,0.71
PM10_1,0.76,0.75,0.74,0.71,0.83,0.67,0.77,0.64,0.69,0.62,0.83,0.62,0.7,0.65,0.59,0.67,1.63,0.83,1.62,0.86,1.4,1.24,1.35,1.28,1.36,1.28,1.52,,1.4,0.98
TEMP_1,0.63,0.61,0.64,0.56,0.55,0.63,0.51,0.55,0.51,0.55,0.51,0.56,0.48,0.47,0.52,0.46,1.1,0.86,1.09,0.84,0.94,1.4,0.95,1.26,0.94,1.27,1.18,0.24,1.09,0.78
TEMP_0,0.63,0.62,0.6,0.6,0.64,0.58,0.62,0.52,0.56,0.53,0.59,0.52,0.57,0.56,0.51,0.48,1.17,0.82,1.16,0.83,1.51,0.92,1.35,0.95,1.4,0.95,1.23,,1.14,0.82
PRES_0,0.62,0.6,0.62,0.56,0.58,0.6,0.53,0.53,0.52,0.53,0.54,0.55,0.5,0.48,0.5,0.46,1.12,0.84,1.11,0.83,0.96,1.25,0.93,1.52,0.96,1.25,1.19,0.24,1.1,0.79
PRES_1,0.64,0.62,0.62,0.6,0.59,0.6,0.57,0.54,0.55,0.54,0.55,0.53,0.53,0.52,0.52,0.48,1.15,0.83,1.14,0.85,1.29,0.94,1.56,0.92,1.3,0.96,1.22,0.42,1.12,0.81
DEWP_1,0.62,0.6,0.62,0.55,0.58,0.62,0.54,0.52,0.52,0.53,0.55,0.55,0.49,0.48,0.52,0.47,1.12,0.83,1.11,0.84,0.96,1.3,0.96,1.24,0.93,1.58,1.19,0.24,1.09,0.81
DEWP_0,0.64,0.63,0.62,0.6,0.59,0.58,0.57,0.55,0.55,0.54,0.54,0.53,0.55,0.53,0.5,0.46,1.15,0.84,1.14,0.84,1.31,0.93,1.26,0.95,1.63,0.92,1.22,,1.13,0.79
RAIN_0,0.52,0.51,0.51,0.48,0.49,0.5,0.46,0.44,0.44,0.45,0.45,0.45,0.43,0.42,0.42,0.39,0.94,0.69,0.93,0.7,0.88,0.85,0.88,0.87,0.88,0.87,1.0,0.23,0.92,0.66
RAIN_1,2.85,2.77,2.64,3.05,,,,,2.61,,,,,,,,5.26,,5.27,,4.69,,4.62,,4.56,,5.91,0.6,5.4,5.02
WSPM_0,0.54,0.52,0.53,0.5,0.53,0.56,0.49,0.46,0.47,0.47,0.49,0.49,0.45,0.44,0.46,0.42,1.02,0.69,1.01,0.71,0.94,0.92,0.93,0.93,0.92,0.95,1.07,0.25,0.98,0.75
WSPM_1,0.97,0.98,0.96,0.82,0.7,0.67,0.7,0.74,0.74,0.68,0.64,0.61,0.68,0.7,0.59,0.57,1.37,1.65,1.37,1.31,1.35,1.27,1.36,1.28,1.46,1.23,1.5,0.3,1.45,0.87
