,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
NW,1.02,1.03,1.15,1.04,1.1,1.09,1.02,0.97,1.06,1.13,1.07,1.01,1.0,1.01,0.96,0.9,1.42,2.04,1.43,1.52,1.46,1.46,,1.46,,1.46,,1.43,1.2
NNW,1.2,1.16,1.25,1.15,1.27,1.36,1.06,1.04,0.97,0.94,1.13,1.12,1.01,1.01,1.0,0.96,1.46,2.0,1.47,1.6,1.5,1.5,,1.51,,1.5,,1.47,1.17
WNW,1.17,1.16,1.14,1.09,1.21,1.05,1.2,1.24,1.21,1.06,1.14,1.06,1.04,0.96,1.0,1.14,1.48,1.66,1.5,1.35,1.52,1.52,,1.52,,1.52,,1.51,1.24
W,1.15,0.97,1.16,0.86,1.35,1.25,0.9,1.22,1.43,1.29,1.24,1.03,1.16,0.97,0.94,1.0,1.51,1.25,1.51,1.21,1.53,1.53,,1.52,,1.52,,1.5,1.45
PM2.5_0,0.79,0.79,0.77,0.77,0.76,0.75,0.74,0.72,0.73,0.72,0.72,0.73,0.72,0.7,0.69,0.66,1.0,0.79,1.0,0.77,1.02,1.02,0.47,1.02,0.56,1.02,0.59,1.0,0.83
PM2.5_1,1.05,1.01,1.02,0.95,0.89,0.9,0.89,1.04,0.92,0.9,0.88,0.8,0.46,0.56,0.65,0.87,1.26,1.0,1.26,1.01,1.28,1.28,,1.28,,1.28,,1.26,0.86
PM10_0,0.79,0.79,0.77,0.76,0.75,0.74,0.74,0.73,0.72,0.72,0.72,0.73,0.71,0.69,0.67,0.66,1.0,0.8,1.0,0.77,1.02,1.02,0.47,1.01,0.55,1.01,0.59,1.0,0.82
PM10_1,1.05,1.0,1.01,0.95,0.98,1.04,0.91,1.03,1.03,0.95,1.01,0.79,0.49,0.62,0.73,0.92,1.3,0.98,1.29,1.0,1.31,1.31,,1.31,,1.31,,1.29,0.93
TEMP_1,0.78,0.78,0.76,0.75,0.74,0.74,0.72,0.72,0.72,0.71,0.71,0.71,0.68,0.67,0.66,0.65,0.98,0.78,0.98,0.76,1.0,1.0,0.46,1.0,0.54,1.0,0.53,0.98,0.8
PRES_0,0.78,0.78,0.76,0.75,0.74,0.74,0.72,0.72,0.72,0.71,0.71,0.71,0.68,0.67,0.66,0.65,0.98,0.78,0.99,0.76,1.0,1.0,,1.0,0.54,1.0,0.53,0.98,0.8
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.78,0.78,0.76,0.75,0.74,0.74,0.73,0.72,0.72,0.71,0.71,0.71,0.68,0.66,0.66,0.66,0.98,0.78,0.99,0.76,1.0,1.0,0.46,1.0,0.5,1.0,0.53,0.98,0.8
DEWP_0,1.54,1.77,,1.57,,,1.02,,,,,,1.63,1.89,,,2.03,,2.03,,2.07,2.07,,2.11,1.13,2.06,,1.95,1.47
RAIN_0,0.78,0.78,0.76,0.75,0.74,0.74,0.73,0.72,0.72,0.71,0.71,0.71,0.69,0.67,0.66,0.66,0.98,0.78,0.99,0.76,1.0,1.0,0.46,1.0,0.54,1.0,0.53,0.98,0.8
RAIN_1,1.47,1.43,1.47,1.23,,,1.01,,,,,,,,,,1.82,,1.85,,1.88,1.88,,1.88,,1.88,1.0,1.79,1.78
WSPM_0,0.79,0.78,0.77,0.75,0.76,0.76,0.72,0.74,0.74,0.72,0.73,0.71,0.7,0.67,0.67,0.67,1.0,0.76,1.0,0.76,1.02,1.02,0.49,1.02,0.51,1.02,0.55,1.0,0.81
WSPM_1,1.06,1.06,0.97,1.05,0.87,0.86,1.02,0.87,0.85,0.92,0.81,1.01,0.84,0.88,0.84,0.76,1.23,1.28,1.23,1.06,1.25,1.25,,1.25,0.73,1.25,0.59,1.23,1.0
