,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
NW,1.07,1.16,1.29,1.15,1.36,1.09,1.12,1.07,1.28,1.12,1.12,1.07,1.0,1.0,0.92,0.87,1.99,2.09,2.02,1.78,2.09,2.09,,2.09,,2.09,,2.01,1.4
NNW,1.35,1.35,1.42,1.31,1.47,1.39,1.12,1.17,,1.07,1.37,1.18,1.04,1.0,1.01,0.97,2.09,2.04,2.12,1.78,2.19,2.2,,2.21,,2.19,,2.11,1.36
WNW,1.22,1.27,1.19,1.22,1.46,1.2,1.33,1.24,1.51,1.22,1.25,1.13,1.08,0.95,1.0,1.15,2.19,1.69,2.21,1.47,2.27,2.27,,2.26,,2.27,,2.23,1.47
W,1.3,1.08,1.28,0.78,1.56,1.52,0.93,1.26,1.5,1.39,1.37,1.12,1.2,1.08,0.91,1.0,2.22,1.51,2.23,1.62,2.29,2.28,,2.28,,2.28,,2.21,1.84
PM2.5_0,0.64,0.63,0.6,0.59,0.58,0.57,0.55,0.54,0.55,0.54,0.53,0.54,0.51,0.49,0.46,0.45,1.0,0.63,1.01,0.6,1.04,1.04,0.23,1.04,0.31,1.04,0.33,1.0,0.68
PM2.5_1,1.07,1.04,0.99,0.95,0.83,0.83,0.86,0.91,0.8,0.8,0.83,0.74,0.47,0.51,0.62,0.75,1.58,1.0,1.57,0.99,1.63,1.63,,1.63,,1.63,,1.58,0.84
PM10_0,0.64,0.63,0.6,0.59,0.57,0.56,0.55,0.54,0.54,0.53,0.52,0.53,0.5,0.48,0.46,0.45,0.99,0.65,1.0,0.6,1.03,1.03,0.22,1.03,0.3,1.03,0.32,0.99,0.67
PM10_1,1.09,1.03,1.0,0.95,0.99,1.01,0.86,0.94,0.96,0.87,0.99,0.74,0.48,0.55,0.69,0.67,1.66,1.0,1.65,1.0,1.7,1.7,,1.7,,1.7,,1.64,0.93
TEMP_1,0.62,0.61,0.58,0.57,0.55,0.55,0.53,0.53,0.53,0.51,0.51,0.51,0.48,0.46,0.44,0.44,0.96,0.61,0.97,0.59,1.0,1.0,0.22,1.0,0.29,1.0,0.29,0.97,0.65
PRES_0,0.62,0.61,0.58,0.57,0.55,0.55,0.53,0.53,0.53,0.51,0.51,0.51,0.48,0.46,0.44,0.44,0.96,0.61,0.97,0.59,1.0,1.0,,1.0,0.29,1.0,0.29,0.97,0.65
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.62,0.61,0.58,0.57,0.55,0.55,0.53,0.53,0.53,0.51,0.51,0.51,0.48,0.45,0.44,0.44,0.96,0.61,0.97,0.59,1.0,1.0,0.22,1.0,0.27,1.0,0.29,0.97,0.65
DEWP_0,2.34,,,,,,,,,,,,1.79,2.19,,,3.55,,3.58,,3.68,3.68,,3.86,1.09,3.68,,3.33,2.09
RAIN_0,0.62,0.61,0.58,0.57,0.55,0.55,0.53,0.53,0.53,0.51,0.51,0.51,0.48,0.46,0.44,0.44,0.96,0.61,0.97,0.59,1.0,1.0,0.22,1.0,0.29,1.0,0.29,0.97,0.65
RAIN_1,,2.03,2.0,1.85,,,,,,,,,,,,,3.21,,3.28,,3.43,3.43,,3.42,,3.42,1.0,3.26,2.94
WSPM_0,0.64,0.63,0.6,0.58,0.58,0.58,0.54,0.55,0.55,0.53,0.53,0.52,0.5,0.47,0.45,0.46,1.0,0.61,1.01,0.6,1.04,1.04,0.23,1.03,0.28,1.03,0.32,1.0,0.67
WSPM_1,1.01,1.01,0.91,1.04,0.83,0.8,0.94,0.78,0.79,0.83,0.75,0.92,0.74,0.74,0.71,0.6,1.48,1.26,1.5,1.02,1.55,1.55,,1.55,0.48,1.55,0.37,1.49,1.0
