,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
WSW,0.53,0.59,0.56,0.64,3.26,0.98,1.89,0.72,0.69,0.86,4.36,0.83,1.32,0.94,1.31,2.38,3.1,0.5,2.95,0.56,1.28,0.81,1.07,0.94,1.0,1.09,,0.61,1.1,1.72
NNW,0.56,0.47,0.8,0.38,0.41,4.16,0.39,1.31,0.35,2.64,0.56,5.54,0.36,0.34,2.35,0.82,2.0,0.67,1.79,0.76,0.57,1.65,0.63,1.59,0.54,2.17,0.12,1.34,0.24,2.86
S,0.94,1.17,0.71,1.6,1.73,0.36,2.66,0.74,1.98,0.57,1.09,0.41,3.08,2.44,0.53,0.72,1.12,1.08,1.14,1.02,1.95,0.62,1.59,0.66,1.78,0.56,,,34.21,1.04
SSE,0.96,1.35,0.77,2.24,1.17,0.33,1.8,0.76,2.31,0.62,0.84,0.38,2.65,2.97,0.39,0.64,0.98,1.28,1.06,1.27,1.95,0.62,1.68,0.66,1.7,0.6,,0.78,31.0,0.94
WNW,0.46,0.43,0.57,0.45,0.58,6.08,0.49,0.86,0.4,1.5,1.02,2.57,0.44,0.39,5.39,2.09,2.26,0.67,1.79,0.73,0.76,1.48,0.91,1.22,0.58,2.09,,1.06,0.25,2.65
W,0.52,0.57,0.59,0.74,1.78,1.57,1.19,0.7,0.61,1.04,2.91,1.25,0.86,0.79,2.01,2.98,3.08,0.52,2.38,0.56,0.99,1.05,1.04,0.98,0.85,1.22,,,1.53,1.59
PM2.5_0,0.87,0.84,0.91,0.85,1.01,1.23,0.98,1.03,0.86,1.11,1.09,1.21,0.93,0.89,1.21,1.12,15.27,0.47,7.86,0.59,1.13,0.89,1.06,0.93,1.04,1.0,0.79,1.16,0.79,1.39
PM2.5_1,1.88,2.18,1.47,1.93,0.92,0.32,1.08,0.92,1.76,0.64,0.66,0.37,1.26,1.48,0.34,0.54,0.14,33.69,0.16,17.28,0.59,1.85,0.76,1.49,0.79,1.11,,0.15,148.57,0.28
PM10_0,0.88,0.86,0.92,0.86,0.97,1.21,0.94,1.04,0.86,1.14,1.04,1.2,0.92,0.87,1.19,1.09,6.0,0.53,13.61,0.53,1.1,0.86,1.03,0.92,1.06,0.94,0.77,1.21,0.82,1.33
PM10_1,1.62,1.83,1.37,1.71,1.1,0.42,1.22,0.87,1.67,0.62,0.84,0.43,1.27,1.5,0.45,0.68,0.19,8.25,0.17,21.58,0.7,1.89,0.86,1.43,0.77,1.35,,,3.73,0.38
TEMP_1,1.05,1.13,0.89,1.2,1.17,0.79,1.31,1.02,1.17,0.93,1.13,0.82,1.31,1.27,0.92,1.06,1.52,0.81,1.5,0.86,76.4,0.17,5.86,0.24,8.23,0.22,,1.81,2.1,1.08
TEMP_0,0.95,0.87,1.15,0.81,0.82,1.28,0.71,0.98,0.83,1.08,0.86,1.23,0.7,0.73,1.1,0.93,0.7,1.26,0.71,1.18,0.14,64.0,0.21,8.63,0.15,10.27,0.46,0.09,0.62,0.92
PRES_0,1.0,1.12,0.82,1.17,1.26,0.77,1.42,0.95,1.2,0.87,1.21,0.78,1.4,1.32,0.91,1.12,1.32,0.91,1.24,0.96,8.45,0.23,94.55,0.11,5.42,0.27,,1.81,2.14,1.12
PRES_1,1.0,0.89,1.25,0.85,0.77,1.29,0.65,1.05,0.81,1.15,0.8,1.27,0.66,0.71,1.1,0.88,0.79,1.1,0.82,1.04,0.24,7.74,0.12,110.9,0.23,5.05,0.48,0.15,0.63,0.89
DEWP_1,1.16,1.25,0.94,1.35,1.22,0.62,1.36,0.99,1.29,0.88,1.13,0.67,1.41,1.35,0.72,0.99,1.11,0.93,1.17,0.91,13.4,0.19,5.08,0.25,140.09,0.1,,1.92,5.54,0.85
DEWP_0,0.86,0.8,1.07,0.72,0.8,1.54,0.69,1.01,0.74,1.15,0.87,1.45,0.66,0.69,1.35,1.01,0.9,1.07,0.86,1.11,0.21,12.14,0.26,5.89,0.09,109.18,0.48,,0.52,1.2
RAIN_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0
RAIN_1,1.43,0.93,0.94,1.16,,,0.93,0.82,0.97,,,,0.87,1.57,,,1.68,0.9,2.36,0.66,,,11.36,,,,,42.7,1.08,1.81
WSPM_0,1.19,1.21,1.11,1.19,1.05,0.74,1.07,1.04,1.16,0.92,1.03,0.78,1.12,1.13,0.78,0.99,0.81,1.09,0.84,1.06,1.06,0.91,1.03,0.96,1.13,0.84,4.67,1.09,4.89,0.72
WSPM_1,0.55,0.52,0.69,0.53,0.84,2.42,0.79,0.87,0.55,1.33,0.9,2.07,0.65,0.62,2.02,1.05,3.73,0.72,2.51,0.81,0.83,1.39,0.9,1.16,0.65,1.93,0.26,0.69,0.25,5.6
