,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
WSW,1.22,1.16,1.24,1.01,1.18,1.01,0.87,1.27,1.21,1.51,0.83,0.9,0.92,0.8,0.71,0.68,2.12,1.49,2.12,1.45,2.23,2.23,,2.23,,2.23,,2.1,1.48
N,1.18,1.11,1.03,0.97,1.52,1.71,0.94,1.04,1.41,0.99,1.33,0.85,0.88,0.84,0.86,0.85,2.13,1.57,2.13,1.5,2.25,2.25,,2.24,,2.24,,2.12,1.13
NW,1.14,1.22,1.5,1.31,1.93,1.34,1.19,1.15,1.56,1.33,1.26,0.99,0.79,0.82,0.73,0.82,2.28,2.94,2.3,2.28,2.42,2.42,,2.43,,2.42,,2.34,1.42
NNW,1.43,1.4,1.57,1.26,1.72,1.75,1.02,1.52,,1.29,1.62,1.07,0.87,0.82,0.86,1.11,2.4,2.78,2.43,2.36,2.56,2.58,,2.59,,2.56,,2.46,1.34
WNW,1.29,1.32,1.29,1.31,1.68,1.36,1.34,1.6,1.87,1.35,1.33,1.1,0.93,0.85,0.84,1.07,2.54,2.22,2.56,1.94,2.67,2.67,,2.67,,2.67,,2.58,1.48
W,1.43,1.1,1.3,0.9,1.62,1.5,1.09,1.25,1.73,1.49,1.26,1.21,1.2,1.12,0.79,0.86,2.59,1.98,2.59,2.07,2.7,2.7,,2.69,,2.69,,2.56,2.02
PM2.5_0,0.56,0.55,0.53,0.52,0.52,0.51,0.48,0.49,0.49,0.49,0.47,0.47,0.45,0.43,0.41,0.4,0.98,0.74,1.0,0.64,1.05,1.05,0.28,1.04,0.35,1.04,0.34,0.99,0.63
PM2.5_1,0.98,0.99,0.88,0.97,0.82,0.86,0.89,0.8,0.74,0.71,0.89,0.75,0.61,0.56,0.71,0.85,1.96,0.81,1.81,0.81,1.8,1.8,,1.79,,1.79,,1.7,0.88
PM10_0,0.56,0.55,0.53,0.52,0.51,0.5,0.48,0.48,0.48,0.48,0.47,0.47,0.45,0.43,0.4,0.4,0.98,0.71,0.99,0.65,1.04,1.04,0.28,1.03,0.35,1.03,0.33,0.98,0.62
PM10_1,1.01,0.99,0.91,0.96,0.95,1.05,0.88,0.83,0.9,0.78,1.06,0.77,0.62,0.59,0.76,0.72,2.03,0.84,1.96,0.8,1.89,1.89,,1.89,,1.89,,1.79,0.97
TEMP_1,0.54,0.53,0.5,0.5,0.49,0.49,0.47,0.46,0.46,0.45,0.46,0.45,0.43,0.41,0.39,0.39,0.96,0.62,0.96,0.58,1.0,1.0,0.28,1.0,0.34,1.0,0.29,0.95,0.59
PRES_0,0.54,0.53,0.51,0.5,0.49,0.49,0.47,0.46,0.46,0.45,0.46,0.45,0.43,0.41,0.39,0.39,0.96,0.62,0.96,0.58,1.0,1.0,,1.0,0.34,1.0,0.29,0.95,0.59
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.54,0.53,0.51,0.5,0.49,0.49,0.47,0.46,0.46,0.45,0.46,0.45,0.44,0.41,0.39,0.39,0.96,0.62,0.96,0.58,1.0,1.0,0.28,1.0,0.37,1.0,0.29,0.95,0.59
DEWP_0,2.61,,,,,,,,,,,,1.57,1.74,,,4.41,,4.47,,4.69,4.69,,5.56,0.62,4.69,,4.63,2.03
RAIN_0,0.54,0.53,0.51,0.5,0.49,0.49,0.47,0.46,0.46,0.45,0.46,0.45,0.44,0.41,0.39,0.39,0.96,0.62,0.96,0.57,1.0,1.0,0.28,1.0,0.34,1.0,0.3,0.95,0.59
RAIN_1,,2.2,,1.91,,,,,,,,,,,,,4.07,,4.17,,4.38,4.38,,4.38,,4.45,0.67,4.22,3.24
WSPM_0,0.55,0.54,0.52,0.5,0.52,0.52,0.48,0.48,0.49,0.47,0.48,0.46,0.46,0.43,0.41,0.41,1.0,0.62,1.01,0.59,1.04,1.04,0.28,1.04,0.37,1.04,0.33,0.98,0.64
WSPM_1,1.03,1.05,0.91,1.1,0.77,0.74,0.95,0.77,0.74,0.8,0.72,0.93,0.66,0.67,0.65,0.58,1.59,1.47,1.6,1.12,1.69,1.69,,1.69,0.48,1.69,0.35,1.63,0.86
