,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
SSE,1.2,1.12,1.26,1.05,1.01,1.22,0.9,1.17,0.85,1.14,0.95,1.11,0.85,0.79,1.01,0.81,2.26,1.4,2.24,1.45,2.03,2.08,1.98,2.24,1.97,2.17,2.38,0.39,2.17,1.59
WNW,1.33,1.3,1.23,1.3,1.05,0.96,1.14,1.03,1.23,0.95,0.99,0.85,1.11,1.14,0.77,0.84,2.18,2.68,2.16,2.15,2.14,1.97,2.2,1.97,2.39,1.92,2.41,,2.27,1.4
W,1.17,1.15,1.15,1.15,1.24,1.24,1.16,0.99,1.09,1.1,1.03,1.16,1.18,1.11,0.91,0.79,2.41,1.68,2.39,1.64,2.27,2.14,2.25,2.29,2.26,2.17,2.62,,2.4,1.76
PM2.5_0,0.52,0.5,0.51,0.47,0.46,0.5,0.43,0.43,0.42,0.44,0.42,0.44,0.4,0.39,0.42,0.36,0.98,0.78,0.97,0.75,0.92,0.9,0.93,0.92,0.93,0.92,1.07,0.23,0.97,0.67
PM2.5_1,0.74,0.73,0.72,0.68,0.77,0.58,0.72,0.6,0.66,0.56,0.77,0.53,0.66,0.62,0.49,0.61,1.6,0.84,1.53,0.89,1.41,1.27,1.36,1.29,1.37,1.31,1.56,0.16,1.43,0.91
PM10_0,0.52,0.5,0.51,0.47,0.46,0.51,0.43,0.43,0.43,0.44,0.42,0.44,0.4,0.39,0.42,0.36,0.98,0.79,0.97,0.77,0.93,0.91,0.93,0.93,0.93,0.93,1.07,0.23,0.98,0.67
PM10_1,0.72,0.71,0.7,0.66,0.77,0.58,0.71,0.59,0.63,0.55,0.78,0.53,0.65,0.6,0.5,0.6,1.53,0.83,1.51,0.85,1.36,1.23,1.32,1.26,1.34,1.27,1.52,,1.39,0.9
TEMP_1,0.58,0.56,0.58,0.51,0.51,0.57,0.47,0.49,0.47,0.49,0.47,0.5,0.44,0.43,0.47,0.41,1.09,0.81,1.09,0.8,0.94,1.26,0.95,1.22,0.94,1.23,1.18,0.21,1.08,0.73
TEMP_0,0.59,0.57,0.57,0.55,0.57,0.54,0.54,0.48,0.5,0.49,0.52,0.48,0.5,0.49,0.46,0.43,1.16,0.78,1.15,0.8,1.36,0.92,1.28,0.95,1.37,0.95,1.23,,1.13,0.77
PRES_0,0.57,0.56,0.57,0.51,0.54,0.55,0.49,0.47,0.48,0.47,0.49,0.48,0.46,0.44,0.45,0.41,1.11,0.8,1.1,0.79,0.96,1.2,0.93,1.39,0.95,1.22,1.19,0.22,1.09,0.73
PRES_1,0.59,0.57,0.57,0.54,0.53,0.56,0.51,0.5,0.49,0.5,0.49,0.49,0.47,0.47,0.47,0.43,1.14,0.79,1.13,0.81,1.24,0.93,1.41,0.92,1.28,0.95,1.22,0.37,1.11,0.77
DEWP_1,0.57,0.55,0.57,0.51,0.53,0.55,0.49,0.47,0.47,0.48,0.5,0.49,0.45,0.44,0.46,0.42,1.11,0.79,1.1,0.8,0.95,1.25,0.96,1.21,0.93,1.42,1.19,0.21,1.09,0.74
DEWP_0,0.59,0.58,0.57,0.54,0.54,0.55,0.51,0.5,0.5,0.5,0.49,0.49,0.49,0.47,0.46,0.42,1.14,0.81,1.13,0.8,1.26,0.92,1.23,0.95,1.48,0.92,1.22,,1.11,0.76
RAIN_0,0.48,0.47,0.47,0.44,0.44,0.46,0.41,0.4,0.4,0.4,0.41,0.41,0.39,0.37,0.38,0.35,0.93,0.66,0.92,0.66,0.87,0.84,0.87,0.86,0.87,0.86,1.0,0.2,0.91,0.62
RAIN_1,2.76,2.71,2.34,2.59,,,,1.69,2.64,,,,,,,,5.36,,5.36,,4.69,,4.62,,4.56,,5.86,0.6,5.29,4.24
WSPM_0,0.5,0.49,0.5,0.46,0.48,0.51,0.44,0.42,0.42,0.43,0.44,0.45,0.41,0.39,0.42,0.37,1.0,0.66,0.99,0.68,0.92,0.91,0.92,0.92,0.91,0.94,1.07,0.21,0.97,0.68
WSPM_1,0.81,0.8,0.78,0.73,0.65,0.64,0.65,0.65,0.66,0.62,0.59,0.57,0.62,0.63,0.55,0.51,1.37,1.57,1.36,1.22,1.34,1.23,1.37,1.26,1.44,1.22,1.5,0.32,1.39,0.87
