,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
PM2.5_1,1.07,1.05,1.01,0.98,0.85,0.84,0.9,0.92,0.82,0.84,0.86,0.78,0.53,0.53,0.7,0.83,1.42,1.0,1.4,1.0,1.45,1.45,,1.45,,1.45,,1.42,0.83
PM10_0,0.71,0.7,0.68,0.67,0.65,0.65,0.64,0.63,0.63,0.62,0.61,0.62,0.6,0.58,0.55,0.55,0.99,0.73,1.0,0.68,1.02,1.02,0.32,1.02,0.41,1.02,0.44,1.0,0.75
PM10_1,1.08,1.03,1.02,0.96,0.98,1.02,0.88,0.95,0.96,0.9,0.99,0.77,0.54,0.56,0.7,0.69,1.48,0.99,1.46,1.0,1.49,1.49,,1.49,,1.49,,1.45,0.9
TEMP_1,0.7,0.69,0.67,0.65,0.64,0.64,0.62,0.62,0.62,0.61,0.6,0.6,0.57,0.55,0.54,0.54,0.97,0.69,0.98,0.67,1.0,1.0,0.32,1.0,0.39,1.0,0.39,0.97,0.72
PRES_0,0.7,0.69,0.67,0.65,0.64,0.64,0.62,0.62,0.62,0.61,0.6,0.6,0.57,0.55,0.54,0.54,0.97,0.69,0.98,0.67,1.0,1.0,,1.0,0.39,1.0,0.39,0.97,0.72
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.7,0.69,0.67,0.65,0.64,0.64,0.62,0.62,0.62,0.61,0.6,0.6,0.57,0.55,0.54,0.54,0.97,0.69,0.98,0.67,1.0,1.0,0.32,1.0,0.37,1.0,0.39,0.97,0.72
DEWP_0,1.9,,,,,,,,,,,,1.49,1.83,,,2.62,,2.63,,2.69,2.69,,2.84,1.07,2.69,,2.55,1.7
RAIN_0,0.7,0.69,0.67,0.65,0.64,0.64,0.62,0.62,0.62,0.6,0.6,0.6,0.57,0.55,0.54,0.54,0.97,0.69,0.98,0.67,1.0,1.0,0.32,1.0,0.39,1.0,0.39,0.97,0.72
RAIN_1,,1.75,,1.61,,,,,,,,,,,,,2.39,,2.44,,2.54,2.54,,2.53,,2.53,1.0,2.43,2.5
WSPM_0,0.71,0.7,0.68,0.66,0.66,0.66,0.63,0.64,0.64,0.62,0.63,0.61,0.59,0.56,0.55,0.56,1.0,0.68,1.01,0.68,1.03,1.03,0.32,1.03,0.37,1.03,0.44,1.0,0.74
WSPM_1,1.01,1.04,0.94,1.1,0.87,0.85,0.98,0.82,0.83,0.89,0.79,0.97,0.79,0.81,0.77,0.65,1.34,1.28,1.35,1.04,1.39,1.39,,1.39,0.6,1.39,0.42,1.35,1.0
