,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
SSE,0.87,1.28,0.69,2.16,1.2,0.3,1.85,0.71,2.42,0.59,0.81,0.36,2.8,3.07,0.36,0.62,0.94,1.27,1.06,1.26,1.98,0.61,1.71,0.65,1.69,0.61,,0.92,45.12,0.98
WNW,0.45,0.42,0.55,0.43,0.58,6.32,0.46,0.85,0.38,1.5,1.04,2.59,0.39,0.38,5.65,2.12,2.11,0.63,1.72,0.7,0.77,1.48,0.89,1.22,0.56,2.12,,,0.23,2.68
W,0.5,0.54,0.55,0.7,1.94,1.56,1.23,0.65,0.65,0.99,3.27,1.2,0.88,0.79,2.15,3.21,3.1,0.53,2.47,0.57,1.0,1.05,1.05,0.96,0.85,1.24,,,1.73,1.53
PM2.5_0,0.87,0.84,0.91,0.85,1.02,1.22,0.99,1.03,0.87,1.11,1.09,1.2,0.94,0.9,1.2,1.11,15.07,0.44,7.68,0.56,1.13,0.89,1.05,0.93,1.03,1.0,0.79,1.18,0.79,1.35
PM2.5_1,1.83,2.1,1.46,1.87,0.9,0.32,1.04,0.92,1.7,0.64,0.66,0.37,1.21,1.44,0.34,0.56,0.13,34.88,0.15,17.9,0.59,1.84,0.77,1.46,0.81,1.1,,,43.23,0.28
PM10_0,0.88,0.86,0.92,0.86,0.97,1.2,0.95,1.04,0.86,1.14,1.05,1.2,0.93,0.88,1.18,1.08,5.86,0.5,13.25,0.5,1.1,0.87,1.03,0.93,1.05,0.94,0.77,1.21,0.82,1.3
PM10_1,1.58,1.77,1.34,1.67,1.08,0.43,1.19,0.87,1.63,0.61,0.83,0.43,1.23,1.46,0.45,0.7,0.18,8.63,0.16,22.4,0.69,1.83,0.87,1.39,0.78,1.32,,,3.4,0.39
TEMP_1,1.02,1.11,0.88,1.18,1.17,0.79,1.31,1.02,1.15,0.93,1.12,0.82,1.31,1.27,0.91,1.04,1.5,0.8,1.5,0.85,65.34,0.15,5.73,0.24,7.72,0.21,,1.81,1.77,1.07
TEMP_0,0.98,0.89,1.16,0.82,0.82,1.27,0.7,0.98,0.84,1.09,0.87,1.23,0.7,0.73,1.1,0.95,0.7,1.27,0.7,1.2,0.13,61.92,0.2,8.18,0.15,9.57,0.46,0.08,0.66,0.93
PRES_0,0.99,1.11,0.82,1.15,1.25,0.76,1.41,0.95,1.19,0.87,1.2,0.78,1.38,1.31,0.91,1.12,1.28,0.91,1.22,0.96,8.11,0.22,91.14,0.1,5.27,0.27,,1.81,1.8,1.08
PRES_1,1.02,0.9,1.24,0.86,0.77,1.3,0.65,1.05,0.82,1.15,0.8,1.27,0.67,0.71,1.1,0.88,0.8,1.1,0.83,1.04,0.23,7.42,0.1,107.38,0.23,4.97,0.48,0.15,0.67,0.92
DEWP_1,1.14,1.23,0.94,1.33,1.21,0.61,1.35,1.0,1.27,0.87,1.12,0.65,1.38,1.34,0.71,0.99,1.09,0.94,1.17,0.91,12.11,0.18,5.0,0.25,129.19,0.09,,1.92,4.28,0.82
DEWP_0,0.87,0.81,1.07,0.73,0.81,1.54,0.69,1.0,0.75,1.15,0.88,1.45,0.66,0.7,1.36,1.01,0.92,1.07,0.86,1.11,0.21,10.49,0.26,5.73,0.08,107.55,0.48,,0.54,1.24
RAIN_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0
RAIN_1,1.38,0.99,0.99,1.42,,,1.02,0.76,1.08,,,,1.04,1.6,,,1.9,0.9,2.7,0.67,,,11.75,,,,,50.8,0.5,2.01
WSPM_0,1.2,1.22,1.12,1.2,1.04,0.72,1.05,1.05,1.16,0.92,1.03,0.77,1.11,1.12,0.76,0.99,0.81,1.11,0.84,1.07,1.05,0.93,1.04,0.96,1.14,0.83,3.89,1.09,4.64,0.69
WSPM_1,0.53,0.5,0.66,0.5,0.88,2.52,0.84,0.84,0.53,1.33,0.91,2.13,0.66,0.63,2.08,1.02,3.74,0.68,2.55,0.77,0.85,1.32,0.89,1.17,0.63,1.96,0.28,0.69,0.24,5.88
