,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
WSW,0.86,0.81,0.82,0.75,0.75,0.73,0.71,0.8,0.76,0.76,0.67,0.72,0.72,0.69,0.61,0.63,1.44,1.05,1.45,0.87,1.51,1.51,,1.5,,1.51,0.58,1.44,0.87
N,0.84,0.81,0.8,0.78,0.82,0.82,0.69,0.73,0.73,0.76,0.74,0.67,0.69,0.63,0.65,0.61,1.46,1.1,1.46,0.96,1.52,1.52,,1.52,,1.52,0.68,1.45,0.92
NW,0.84,0.83,0.86,0.74,0.89,0.89,0.69,0.78,0.86,0.83,0.76,0.7,0.64,0.64,0.59,0.61,1.51,2.25,1.52,1.46,1.58,1.58,,1.57,,1.57,0.8,1.51,0.92
NNW,0.9,0.88,0.93,0.81,0.97,0.95,0.76,0.78,0.89,0.84,0.78,0.7,0.67,0.65,0.6,0.62,1.57,1.83,1.59,1.34,1.64,1.64,,1.64,0.49,1.64,0.81,1.57,0.97
WNW,0.96,0.88,0.93,0.79,0.91,0.85,0.79,0.97,0.91,0.83,0.75,0.73,0.69,0.65,0.64,0.7,1.58,1.52,1.6,1.31,1.66,1.66,,1.66,,1.66,0.65,1.58,0.96
W,0.93,0.9,0.88,0.81,0.88,0.89,0.81,0.8,0.83,0.77,0.77,0.78,0.79,0.69,0.66,0.65,1.59,1.33,1.6,1.07,1.66,1.66,,1.66,,1.66,0.57,1.59,1.01
PM2.5_0,0.57,0.56,0.54,0.53,0.52,0.51,0.5,0.49,0.49,0.48,0.48,0.48,0.48,0.46,0.44,0.41,0.98,0.69,0.99,0.63,1.02,1.02,0.42,1.02,0.46,1.02,0.37,0.98,0.61
PM2.5_1,0.76,0.73,0.71,0.7,0.71,0.72,0.63,0.73,0.72,0.65,0.68,0.57,0.41,0.46,0.46,0.58,1.3,0.72,1.3,0.7,1.35,1.35,,1.35,,1.35,0.33,1.29,0.76
PM10_0,0.57,0.56,0.53,0.52,0.52,0.51,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.45,0.44,0.41,0.97,0.69,0.98,0.63,1.02,1.02,0.42,1.02,0.48,1.02,0.38,0.97,0.6
PM10_1,0.76,0.74,0.71,0.72,0.72,0.72,0.67,0.71,0.75,0.67,0.74,0.62,0.44,0.5,0.48,0.59,1.35,0.73,1.34,0.71,1.38,1.38,,1.38,0.66,1.38,0.29,1.32,0.77
TEMP_1,0.55,0.54,0.52,0.51,0.51,0.51,0.49,0.48,0.48,0.47,0.48,0.47,0.46,0.44,0.42,0.41,0.96,0.65,0.97,0.6,1.0,1.0,0.42,1.0,0.48,1.0,0.35,0.96,0.59
PRES_0,0.56,0.54,0.52,0.52,0.51,0.51,0.49,0.48,0.48,0.47,0.48,0.47,0.46,0.44,0.42,0.41,0.96,0.65,0.97,0.6,1.0,1.0,0.45,1.0,0.48,1.0,0.35,0.96,0.59
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.55,0.54,0.52,0.51,0.51,0.51,0.49,0.48,0.48,0.47,0.48,0.47,0.46,0.44,0.42,0.41,0.96,0.65,0.97,0.6,1.0,1.0,0.42,1.0,0.5,1.0,0.35,0.96,0.59
DEWP_0,1.23,1.21,1.02,1.33,,,1.23,1.02,1.13,,0.85,,1.31,1.09,0.94,,2.14,,2.16,1.13,2.24,2.24,,2.24,0.47,2.24,,2.14,1.27
RAIN_0,0.55,0.54,0.52,0.52,0.51,0.51,0.49,0.48,0.48,0.47,0.48,0.47,0.46,0.44,0.42,0.41,0.96,0.65,0.97,0.6,1.0,1.0,0.42,1.0,0.48,1.0,0.35,0.96,0.59
RAIN_1,1.42,1.13,1.14,0.94,,1.28,0.96,1.02,1.13,1.17,,0.74,,0.59,0.97,,2.06,,2.08,,2.13,2.13,,2.13,,2.13,0.52,2.03,1.4
WSPM_0,0.57,0.56,0.53,0.53,0.52,0.51,0.5,0.49,0.49,0.47,0.49,0.48,0.48,0.45,0.43,0.42,0.98,0.65,0.99,0.6,1.02,1.02,0.6,1.02,0.48,1.02,0.35,0.98,0.61
WSPM_1,0.73,0.7,0.71,0.66,0.7,0.69,0.62,0.67,0.67,0.7,0.63,0.61,0.57,0.54,0.54,0.54,1.25,1.03,1.27,0.9,1.31,1.31,,1.31,0.59,1.31,0.48,1.25,0.76
