,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
WNW,0.36,0.36,0.41,0.39,0.52,6.97,0.41,0.68,0.33,1.17,0.99,2.1,0.32,0.3,7.02,2.55,2.21,0.5,1.7,0.62,0.77,1.36,0.86,1.24,0.51,2.18,,,0.22,2.75
W,0.39,0.48,0.43,0.56,2.16,1.41,1.31,0.5,0.61,0.81,4.38,0.88,0.91,0.73,2.17,4.59,2.77,0.51,1.96,0.6,1.04,1.08,1.08,0.92,0.85,1.23,,,1.26,1.22
PM2.5_0,0.86,0.84,0.91,0.86,1.04,1.21,1.02,1.02,0.89,1.09,1.09,1.19,0.97,0.92,1.18,1.1,13.97,0.31,6.1,0.45,1.13,0.88,1.05,0.94,1.02,1.0,0.79,1.17,0.79,1.29
PM2.5_1,1.78,1.91,1.43,1.69,0.8,0.3,0.89,0.93,1.5,0.69,0.64,0.35,1.07,1.33,0.34,0.62,0.09,36.86,0.11,19.67,0.58,1.82,0.78,1.4,0.86,1.11,,,19.24,0.27
PM10_0,0.88,0.85,0.92,0.87,1.02,1.18,1.0,1.04,0.89,1.12,1.08,1.19,0.97,0.9,1.16,1.08,5.51,0.39,11.24,0.37,1.11,0.88,1.03,0.94,1.04,0.95,0.77,1.21,0.84,1.25
PM10_1,1.57,1.71,1.32,1.52,0.92,0.43,0.99,0.86,1.45,0.65,0.73,0.41,1.08,1.34,0.46,0.7,0.15,9.57,0.12,24.19,0.66,1.72,0.87,1.29,0.81,1.26,,,2.69,0.39
TEMP_1,0.95,1.04,0.83,1.13,1.2,0.76,1.34,1.0,1.13,0.9,1.1,0.82,1.32,1.26,0.89,1.0,1.43,0.76,1.45,0.8,51.51,0.09,5.34,0.22,6.35,0.2,1.39,1.82,1.31,1.05
TEMP_0,1.06,0.95,1.22,0.86,0.79,1.3,0.65,1.0,0.85,1.13,0.89,1.23,0.67,0.73,1.14,1.0,0.72,1.33,0.71,1.26,0.08,53.38,0.18,7.4,0.14,8.06,1.0,,0.78,0.95
PRES_0,0.95,1.07,0.8,1.13,1.23,0.73,1.38,0.96,1.16,0.86,1.18,0.76,1.33,1.29,0.9,1.09,1.2,0.89,1.17,0.94,7.04,0.19,73.35,0.07,4.81,0.25,1.34,1.83,1.41,1.01
PRES_1,1.06,0.93,1.24,0.87,0.77,1.32,0.64,1.05,0.84,1.16,0.82,1.29,0.68,0.72,1.11,0.91,0.84,1.12,0.86,1.06,0.21,6.54,0.06,83.93,0.22,4.82,1.04,0.12,0.75,0.99
DEWP_1,1.09,1.19,0.94,1.28,1.18,0.56,1.3,1.01,1.22,0.87,1.09,0.62,1.32,1.3,0.68,0.98,1.05,0.94,1.15,0.9,8.62,0.17,4.71,0.23,96.44,0.06,1.34,1.93,2.76,0.74
DEWP_0,0.91,0.82,1.06,0.75,0.82,1.57,0.71,0.99,0.78,1.15,0.91,1.46,0.69,0.71,1.38,1.02,0.95,1.07,0.88,1.11,0.19,7.29,0.24,5.26,0.05,99.61,1.05,,0.57,1.35
RAIN_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.62,0.91,1.0,1.0
RAIN_1,1.73,0.91,1.43,1.51,,,1.4,,,,,,,,,,1.56,1.01,1.97,0.71,,,13.01,,,,0.01,96.08,0.53,3.02
WSPM_0,1.24,1.24,1.18,1.19,0.96,0.63,0.98,1.08,1.16,0.94,1.01,0.71,1.08,1.1,0.72,1.03,0.82,1.16,0.84,1.11,1.03,0.97,1.04,0.96,1.18,0.83,3.37,1.08,4.71,0.58
WSPM_1,0.39,0.38,0.5,0.45,1.14,2.89,1.06,0.74,0.51,1.23,0.98,2.28,0.74,0.67,2.19,0.89,3.23,0.53,2.39,0.67,0.92,1.1,0.87,1.17,0.57,2.03,0.29,0.72,0.21,8.02
