,ENE,NW,NE,E,NNW,N,ESE,NNE,WNW,WSW,SE,SW,SSW,W,S,SSE,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,RAIN_0,WSPM_0,WSPM_1
SE,1.34,1.14,1.31,1.19,1.04,1.32,1.07,1.24,0.83,0.99,1.0,1.04,0.97,1.01,1.0,0.98,1.68,1.23,1.7,1.3,1.75,,1.75,0.96,1.74,,1.75,1.66,1.41
SW,1.11,1.49,1.12,1.15,1.32,1.34,1.18,1.13,1.27,0.91,1.03,1.0,1.08,0.83,1.08,1.09,1.73,1.0,1.71,0.93,1.76,,1.76,0.91,1.76,,1.76,1.68,1.47
SSW,1.37,1.51,1.23,1.22,1.37,1.75,1.14,1.14,1.66,1.01,1.09,1.09,1.03,0.99,1.07,1.12,1.78,0.99,1.78,1.02,1.84,,1.84,1.06,1.84,,1.84,1.75,1.6
W,1.12,1.44,1.04,1.03,1.52,1.38,1.13,0.95,1.16,1.25,0.89,1.17,1.1,1.0,0.94,0.95,1.72,1.19,1.75,1.12,1.81,,1.78,0.95,1.81,,1.81,1.74,1.71
S,1.37,1.51,1.27,1.26,1.23,1.28,1.16,1.18,1.33,1.07,1.07,1.06,0.97,1.08,1.0,1.02,1.77,1.18,1.81,1.17,1.85,,1.86,1.17,1.85,,1.85,1.75,1.59
SSE,1.4,1.45,1.56,1.43,1.41,1.42,1.22,1.4,0.91,1.07,1.09,0.95,0.93,0.87,1.09,1.0,1.86,1.28,1.93,1.25,1.91,,1.9,0.98,1.91,,1.91,1.82,1.59
PM2.5_0,0.74,0.76,0.73,0.7,0.7,0.7,0.64,0.67,0.67,0.58,0.57,0.57,0.54,0.57,0.52,0.51,1.0,0.83,1.0,0.83,1.05,0.32,1.04,0.71,1.05,,1.05,1.0,0.87
PM2.5_1,0.88,0.62,0.85,0.89,0.59,0.63,0.84,0.7,0.52,0.96,0.8,0.9,0.93,0.74,0.84,0.77,1.21,1.0,1.21,0.99,1.26,,1.25,0.75,1.26,0.38,1.26,1.21,0.79
PM10_0,0.74,0.75,0.73,0.7,0.69,0.69,0.64,0.67,0.67,0.57,0.57,0.56,0.53,0.56,0.53,0.51,1.0,0.82,1.0,0.82,1.05,0.32,1.04,0.68,1.05,,1.05,0.99,0.86
PM10_1,0.9,0.7,0.85,0.9,0.66,0.66,0.85,0.71,0.55,1.02,0.81,0.94,0.99,0.8,0.84,0.78,1.22,1.02,1.21,1.0,1.28,,1.25,0.79,1.28,0.37,1.28,1.22,0.84
TEMP_0,0.7,0.69,0.69,0.68,0.64,0.63,0.63,0.61,0.61,0.58,0.57,0.57,0.55,0.55,0.54,0.52,0.95,0.79,0.95,0.78,1.0,0.32,0.99,0.64,1.0,0.37,1.0,0.95,0.8
TEMP_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1,0.71,0.71,0.69,0.69,0.66,0.65,0.63,0.62,0.61,0.59,0.57,0.56,0.55,0.55,0.54,0.52,0.96,0.8,0.96,0.79,1.01,0.32,1.0,0.64,1.01,0.38,1.01,0.96,0.81
PRES_0,1.1,0.91,1.09,1.13,0.77,0.76,1.05,0.9,0.92,1.02,1.08,1.16,0.96,1.02,0.96,0.98,1.47,1.3,1.5,1.22,1.57,,1.55,1.0,1.57,0.55,1.57,1.51,1.06
DEWP_0,0.7,0.69,0.69,0.68,0.64,0.64,0.63,0.61,0.61,0.58,0.57,0.57,0.55,0.55,0.54,0.52,0.95,0.79,0.95,0.78,1.0,0.32,0.99,0.63,1.0,0.37,1.0,0.95,0.8
DEWP_1,,1.79,,,,,,,,,,,,,,,,2.4,,2.46,2.7,,2.66,,2.69,1.0,2.7,2.71,
RAIN_0,0.7,0.69,0.69,0.68,0.64,0.63,0.63,0.61,0.61,0.58,0.57,0.57,0.55,0.55,0.54,0.52,0.95,0.79,0.95,0.78,1.0,0.32,0.99,0.64,1.0,0.37,1.0,0.95,0.8
WSPM_0,0.73,0.73,0.71,0.71,0.68,0.67,0.66,0.65,0.63,0.63,0.6,0.61,0.58,0.58,0.57,0.55,1.0,0.79,1.01,0.79,1.05,0.33,1.04,0.63,1.05,0.34,1.05,1.0,0.84
WSPM_1,0.93,0.86,0.93,0.87,0.79,0.8,0.83,0.75,0.77,0.68,0.8,0.67,0.7,0.69,0.68,0.7,1.19,1.63,1.18,1.43,1.26,,1.23,1.04,1.26,,1.26,1.19,1.0
