,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
PM2.5_1,0.81,0.78,0.74,0.77,0.69,0.74,0.72,0.77,0.73,0.65,0.73,0.65,0.41,0.49,0.53,0.73,1.36,0.73,1.33,0.73,1.35,1.35,,1.35,,1.35,,1.29,0.76
PM10_0,0.6,0.59,0.57,0.57,0.56,0.56,0.54,0.53,0.53,0.53,0.53,0.52,0.53,0.5,0.48,0.46,0.97,0.75,0.98,0.69,1.02,1.02,0.46,1.02,0.52,1.02,0.45,0.97,0.65
PM10_1,0.8,0.78,0.75,0.76,0.76,0.8,0.75,0.75,0.8,0.69,0.83,0.66,0.43,0.52,0.59,0.77,1.41,0.74,1.37,0.71,1.38,1.38,,1.38,,1.38,,1.32,0.79
TEMP_1,0.59,0.58,0.56,0.56,0.56,0.55,0.53,0.52,0.53,0.52,0.52,0.51,0.51,0.48,0.47,0.46,0.96,0.7,0.97,0.65,1.0,1.0,0.46,1.0,0.51,1.0,0.4,0.96,0.63
PRES_0,0.59,0.58,0.56,0.56,0.56,0.55,0.53,0.52,0.53,0.52,0.52,0.51,0.51,0.48,0.47,0.46,0.96,0.7,0.97,0.65,1.0,1.0,0.52,1.0,0.51,1.0,0.4,0.96,0.63
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.59,0.58,0.56,0.56,0.56,0.55,0.53,0.52,0.53,0.52,0.52,0.51,0.51,0.48,0.47,0.46,0.96,0.69,0.97,0.65,1.0,1.0,0.46,1.0,0.53,1.0,0.4,0.96,0.63
DEWP_0,1.26,1.51,,1.5,,,0.84,,,,,,1.25,1.21,0.72,,2.24,,2.26,,2.35,2.35,,2.43,0.5,2.35,,2.22,1.24
RAIN_0,0.59,0.58,0.56,0.56,0.56,0.55,0.53,0.52,0.53,0.52,0.52,0.51,0.51,0.48,0.47,0.46,0.96,0.7,0.97,0.65,1.0,1.0,0.46,1.0,0.51,1.0,0.4,0.96,0.63
RAIN_1,1.34,1.21,1.17,0.95,,,0.78,1.3,,,,,,,,,2.03,,2.07,,2.13,2.13,,2.13,,2.13,0.52,2.01,1.5
WSPM_0,0.59,0.58,0.57,0.56,0.57,0.57,0.53,0.53,0.54,0.52,0.54,0.52,0.53,0.49,0.48,0.47,0.98,0.68,0.99,0.65,1.02,1.02,0.52,1.02,0.52,1.02,0.41,0.98,0.65
WSPM_1,0.83,0.82,0.77,0.79,0.68,0.67,0.78,0.71,0.66,0.73,0.63,0.75,0.62,0.63,0.6,0.56,1.26,1.22,1.27,0.97,1.31,1.31,,1.31,0.63,1.31,0.48,1.26,0.78
