,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
NW,,1.98,,1.59,,,1.39,,,,,1.31,0.83,0.85,0.78,1.15,1.87,,1.88,,1.95,1.95,,1.95,,1.96,,2.01,1.27
NNW,1.45,1.65,,1.63,,,1.08,,,,,1.24,0.97,0.88,1.11,,1.93,2.27,1.96,,2.03,2.04,,2.06,,2.02,,2.06,1.37
WNW,,,1.46,,,1.44,,,,,,1.37,1.09,1.0,0.88,1.33,2.01,1.86,2.01,,2.1,2.1,,2.1,,2.1,,2.13,1.41
W,1.22,,,,1.91,1.83,,,,,1.27,,1.14,,0.78,0.93,2.02,1.91,2.01,,2.12,2.11,,2.11,,2.11,,2.05,1.72
PM2.5_0,0.78,0.77,0.76,0.72,0.72,0.72,0.7,0.72,0.72,0.7,0.68,0.68,0.65,0.64,0.62,0.63,0.98,1.09,1.0,0.85,1.03,1.03,,1.03,0.47,1.03,0.52,1.01,0.8
PM2.5_1,1.15,1.16,1.04,1.27,1.11,1.09,1.1,0.95,0.95,0.99,1.15,1.09,,0.89,1.05,0.99,2.18,0.78,1.68,0.82,1.56,1.56,,1.56,,1.56,,1.55,1.05
PM10_0,0.78,0.76,0.74,0.72,0.72,0.7,0.69,0.71,0.7,0.69,0.68,0.69,0.65,0.64,0.62,0.64,0.98,0.94,0.99,0.96,1.03,1.03,,1.03,0.47,1.03,0.51,1.01,0.79
PM10_1,1.16,1.19,1.16,1.24,1.1,1.54,1.21,0.95,1.12,1.03,1.14,1.0,,,,,2.17,0.8,2.05,0.78,1.62,1.62,,1.62,,1.62,,1.59,1.22
TEMP_1,0.75,0.74,0.72,0.71,0.7,0.7,0.68,0.68,0.68,0.67,0.67,0.67,0.64,0.62,0.61,0.61,0.98,0.74,0.98,0.72,1.0,1.0,,1.0,0.47,1.0,0.47,0.98,0.77
PRES_0,0.75,0.74,0.72,0.71,0.7,0.7,0.68,0.68,0.68,0.67,0.67,0.67,0.64,0.62,0.61,0.61,0.98,0.74,0.98,0.72,1.0,1.0,,1.0,0.47,1.0,0.47,0.98,0.77
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.75,0.74,0.72,0.71,0.7,0.7,0.68,0.68,0.68,0.67,0.67,0.67,0.64,0.62,0.61,0.61,0.98,0.74,0.98,0.72,1.0,1.0,,1.0,,1.0,0.47,0.98,0.77
DEWP_0,,,,,,,,,,,,,,,,,2.91,,2.94,,3.07,3.07,,,0.51,3.07,,3.47,1.79
RAIN_0,0.75,0.74,0.72,0.71,0.7,0.7,0.68,0.68,0.68,0.67,0.67,0.67,0.64,0.63,0.61,0.61,0.98,0.74,0.98,0.72,1.0,1.0,,1.0,0.47,1.0,0.52,0.98,0.77
RAIN_1,,,,,,,,,,,,,,,,,2.8,,2.87,,3.05,3.05,,3.05,,3.33,0.6,2.62,2.58
WSPM_0,0.76,0.75,0.74,0.72,0.75,0.77,0.7,0.7,0.69,0.7,0.7,0.68,0.68,0.66,0.63,0.63,1.01,0.74,1.02,0.73,1.03,1.03,,1.03,0.58,1.03,0.66,1.0,0.89
WSPM_1,1.34,1.29,1.13,1.28,0.91,0.83,1.11,1.0,1.14,0.95,0.9,1.14,0.85,0.83,0.87,0.86,1.41,1.43,1.44,1.24,1.48,1.48,,1.49,0.52,1.49,0.43,1.63,0.89
