,ENE,NW,NE,E,NNW,N,ESE,NNE,WNW,WSW,SE,SW,SSW,W,S,SSE,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,RAIN_0,WSPM_0,WSPM_1
PM10_0,0.74,0.74,0.73,0.7,0.68,0.69,0.65,0.67,0.66,0.58,0.58,0.57,0.54,0.56,0.55,0.52,1.0,0.82,1.0,0.82,1.05,0.32,1.04,0.67,1.05,,1.05,0.99,0.85
PM10_1,0.88,0.72,0.84,0.9,0.66,0.67,0.84,0.71,0.58,0.97,0.77,0.92,0.99,0.81,0.79,0.76,1.22,1.01,1.22,1.0,1.28,,1.25,0.8,1.28,0.38,1.28,1.23,0.86
TEMP_0,0.7,0.69,0.69,0.68,0.64,0.63,0.63,0.61,0.61,0.59,0.57,0.57,0.55,0.55,0.54,0.52,0.95,0.79,0.95,0.78,1.0,0.32,0.99,0.64,1.0,0.37,1.0,0.95,0.8
TEMP_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1,0.71,0.7,0.69,0.69,0.65,0.65,0.64,0.62,0.61,0.59,0.57,0.57,0.56,0.56,0.55,0.53,0.96,0.8,0.96,0.79,1.01,0.32,1.0,0.64,1.01,0.39,1.01,0.96,0.81
PRES_0,1.11,0.97,1.09,1.12,0.86,0.77,1.03,0.96,0.95,1.0,1.01,1.05,0.92,0.92,0.92,0.89,1.47,1.27,1.5,1.2,1.57,,1.55,1.0,1.58,,1.57,1.52,1.13
DEWP_0,0.7,0.69,0.69,0.68,0.64,0.64,0.63,0.61,0.61,0.58,0.57,0.57,0.55,0.55,0.54,0.52,0.95,0.79,0.95,0.78,1.0,0.32,0.99,0.63,1.0,0.37,1.0,0.95,0.8
DEWP_1,,,,,,,,,,,,,,,,,,2.4,,2.46,2.7,,2.35,,2.69,1.0,2.7,2.71,
RAIN_0,0.7,0.69,0.69,0.68,0.64,0.63,0.63,0.61,0.61,0.59,0.57,0.57,0.55,0.55,0.54,0.52,0.95,0.79,0.95,0.78,1.0,0.32,0.99,0.64,1.0,0.37,1.0,0.95,0.8
WSPM_0,0.73,0.73,0.71,0.71,0.67,0.67,0.66,0.65,0.63,0.63,0.6,0.61,0.58,0.59,0.57,0.55,1.0,0.81,1.01,0.8,1.05,0.33,1.04,0.64,1.05,0.35,1.05,1.0,0.84
WSPM_1,0.96,0.87,0.97,0.98,0.8,0.8,0.82,0.74,0.77,0.68,0.85,0.68,0.69,0.68,0.69,0.7,1.18,1.52,1.19,1.33,1.26,,1.24,0.96,1.26,,1.26,1.19,1.0
