,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
TEMP_1,0.86,0.88,0.8,0.83,0.77,0.65,0.77,0.75,0.75,0.7,0.69,0.64,0.75,0.72,0.61,0.61,1.06,0.67,1.06,0.73,1.14,0.44,1.08,0.6,1.09,0.58,1.09,0.3,1.08,0.88
TEMP_0,0.88,0.85,0.89,0.78,0.71,0.77,0.64,0.74,0.7,0.75,0.67,0.73,0.61,0.63,0.68,0.62,1.04,0.8,1.04,0.84,0.46,1.18,0.59,1.12,0.54,1.13,1.11,,1.09,0.88
PRES_0,0.85,0.88,0.78,0.83,0.8,0.62,0.8,0.73,0.77,0.68,0.72,0.61,0.76,0.74,0.61,0.63,1.06,0.71,1.06,0.76,1.11,0.55,1.15,0.39,1.08,0.62,1.09,0.3,1.09,0.88
PRES_1,0.89,0.85,0.9,0.79,0.67,0.78,0.6,0.76,0.69,0.77,0.62,0.75,0.6,0.6,0.68,0.59,1.05,0.76,1.05,0.8,0.63,1.12,0.41,1.17,0.62,1.09,1.1,0.1,1.08,0.88
DEWP_1,0.88,0.9,0.82,0.87,0.79,0.56,0.78,0.73,0.78,0.68,0.71,0.56,0.76,0.74,0.55,0.61,1.05,0.72,1.06,0.75,1.12,0.54,1.08,0.6,1.15,0.36,1.09,0.3,1.1,0.81
DEWP_0,0.85,0.82,0.86,0.74,0.68,0.83,0.63,0.75,0.67,0.77,0.65,0.79,0.61,0.6,0.73,0.62,1.05,0.76,1.05,0.81,0.61,1.12,0.64,1.1,0.37,1.17,1.1,,1.06,0.95
RAIN_0,0.79,0.79,0.77,0.74,0.67,0.64,0.65,0.68,0.67,0.66,0.62,0.62,0.63,0.62,0.59,0.56,0.96,0.67,0.96,0.71,0.84,0.81,0.83,0.81,0.83,0.81,1.0,0.21,0.99,0.8
RAIN_1,2.15,1.8,1.98,2.07,,,,,,,,,,,,,2.32,,2.36,,2.57,,2.5,,2.56,,2.36,2.75,2.31,2.81
WSPM_0,0.86,0.86,0.82,0.8,0.69,0.56,0.67,0.71,0.72,0.66,0.65,0.57,0.67,0.66,0.53,0.59,0.98,0.71,0.98,0.75,0.88,0.83,0.86,0.83,0.88,0.81,1.03,0.24,1.05,0.72
WSPM_1,0.76,0.76,0.81,0.72,0.85,1.08,0.82,0.77,0.65,0.88,0.72,1.0,0.7,0.67,0.95,0.64,1.22,0.8,1.21,0.84,1.02,1.01,1.0,1.03,0.92,1.12,1.23,0.2,1.09,1.31
