,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
NNW,0.51,0.45,0.8,0.32,0.28,4.51,0.26,1.32,0.29,3.11,0.44,6.41,0.24,0.24,2.25,0.73,2.45,0.53,2.24,0.64,0.58,1.7,0.58,1.71,0.48,2.25,0.18,1.23,0.28,3.07
S,0.6,0.83,0.42,1.34,1.97,0.27,3.52,0.48,2.1,0.39,1.16,0.35,4.2,3.16,0.38,0.73,1.09,1.04,1.1,0.94,2.03,0.55,1.63,0.63,1.78,0.56,,,8.27,1.16
SSE,0.64,1.07,0.5,2.07,1.18,0.27,2.06,0.55,2.91,0.48,0.8,0.27,3.41,3.71,0.29,0.6,0.96,1.28,0.98,1.26,1.91,0.53,1.69,0.62,1.67,0.61,,,6.07,0.95
WNW,0.39,0.37,0.45,0.39,0.55,6.94,0.42,0.74,0.33,1.27,1.01,2.29,0.34,0.32,6.86,2.38,2.16,0.53,1.67,0.63,0.76,1.4,0.86,1.23,0.53,2.18,,,0.22,2.7
W,0.41,0.49,0.45,0.58,2.22,1.4,1.35,0.54,0.65,0.86,4.02,0.93,0.92,0.77,2.23,4.2,2.71,0.52,2.09,0.61,1.06,1.07,1.08,0.94,0.84,1.25,,,1.34,1.31
PM2.5_0,0.86,0.84,0.91,0.86,1.04,1.21,1.02,1.02,0.88,1.1,1.1,1.19,0.96,0.91,1.19,1.1,14.07,0.35,6.57,0.48,1.13,0.89,1.05,0.93,1.02,1.0,0.79,1.17,0.79,1.3
PM2.5_1,1.78,1.96,1.45,1.72,0.83,0.31,0.92,0.92,1.55,0.68,0.64,0.36,1.11,1.36,0.34,0.6,0.1,36.19,0.12,19.38,0.58,1.82,0.78,1.42,0.85,1.1,,,24.71,0.27
PM10_0,0.88,0.85,0.92,0.87,1.01,1.18,0.99,1.05,0.88,1.12,1.07,1.19,0.96,0.9,1.17,1.08,5.54,0.42,12.04,0.41,1.11,0.88,1.03,0.94,1.05,0.95,0.77,1.21,0.84,1.26
PM10_1,1.56,1.72,1.32,1.54,0.97,0.43,1.04,0.86,1.5,0.64,0.77,0.42,1.11,1.36,0.45,0.71,0.15,9.4,0.13,23.31,0.67,1.74,0.87,1.31,0.81,1.27,,,2.74,0.39
TEMP_1,0.96,1.06,0.84,1.14,1.19,0.77,1.33,1.0,1.13,0.9,1.1,0.82,1.32,1.26,0.9,1.01,1.45,0.77,1.47,0.81,53.79,0.11,5.44,0.22,6.61,0.21,1.48,1.82,1.38,1.05
TEMP_0,1.05,0.94,1.2,0.85,0.8,1.29,0.67,1.0,0.85,1.12,0.89,1.22,0.68,0.73,1.13,0.99,0.72,1.31,0.71,1.25,0.09,54.44,0.18,7.55,0.14,8.3,0.73,,0.75,0.94
PRES_0,0.96,1.08,0.81,1.13,1.24,0.74,1.39,0.96,1.17,0.86,1.19,0.77,1.34,1.29,0.9,1.1,1.21,0.9,1.18,0.95,7.27,0.2,77.03,0.07,4.91,0.25,1.42,1.83,1.48,1.03
PRES_1,1.05,0.92,1.24,0.87,0.77,1.31,0.65,1.05,0.83,1.16,0.81,1.28,0.68,0.72,1.11,0.9,0.83,1.12,0.85,1.06,0.21,6.76,0.07,89.78,0.22,4.85,0.76,0.12,0.73,0.97
DEWP_1,1.1,1.2,0.94,1.29,1.18,0.57,1.31,1.0,1.23,0.87,1.1,0.63,1.33,1.3,0.69,0.99,1.06,0.94,1.15,0.9,9.26,0.17,4.78,0.24,101.11,0.06,1.42,1.92,3.03,0.76
DEWP_0,0.91,0.82,1.06,0.74,0.82,1.56,0.71,1.0,0.77,1.15,0.9,1.46,0.69,0.71,1.37,1.01,0.94,1.07,0.87,1.11,0.19,7.82,0.24,5.36,0.06,102.89,0.76,,0.56,1.33
RAIN_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.22,0.92,1.0,1.0
RAIN_1,1.57,0.83,1.21,1.76,,,1.33,,0.98,,,,1.24,,,,1.44,1.04,1.79,0.73,,,12.71,,,,0.01,81.59,0.51,3.19
WSPM_0,1.23,1.24,1.17,1.2,0.98,0.66,1.0,1.08,1.16,0.93,1.01,0.73,1.09,1.1,0.73,1.02,0.82,1.15,0.84,1.1,1.03,0.96,1.04,0.96,1.17,0.83,4.28,1.08,4.85,0.61
WSPM_1,0.42,0.41,0.54,0.46,1.06,2.8,1.0,0.75,0.52,1.26,0.96,2.24,0.72,0.66,2.18,0.93,3.32,0.56,2.48,0.69,0.9,1.15,0.87,1.17,0.58,2.02,0.27,0.72,0.21,7.54
