,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
PM2.5_0,0.85,0.83,0.83,0.8,0.8,0.8,0.78,0.8,0.8,0.79,0.77,0.77,0.74,0.74,0.73,0.73,0.98,1.18,0.99,0.93,1.02,1.02,,1.02,0.59,1.02,0.66,1.01,0.87
PM2.5_1,1.1,1.11,1.01,1.23,1.08,1.06,1.08,0.93,0.93,0.98,1.14,1.08,,0.9,1.06,1.01,1.9,0.74,1.47,0.78,1.35,1.35,,1.35,,1.35,,1.35,0.99
PM10_0,0.85,0.83,0.82,0.8,0.8,0.78,0.78,0.8,0.79,0.78,0.77,0.77,0.75,0.73,0.72,0.74,0.98,1.02,0.99,1.05,1.02,1.02,,1.02,0.6,1.02,0.64,1.0,0.85
PM10_1,1.09,1.12,1.1,1.18,1.06,1.48,1.18,0.92,1.09,1.0,1.11,0.98,,,,,1.87,0.76,1.76,0.74,1.39,1.39,,1.38,,1.39,,1.37,1.13
TEMP_1,0.82,0.82,0.8,0.79,0.79,0.78,0.77,0.77,0.77,0.76,0.76,0.76,0.74,0.73,0.72,0.71,0.98,0.82,0.99,0.8,1.0,1.0,,1.0,0.6,1.0,0.6,0.99,0.84
PRES_0,0.82,0.82,0.8,0.79,0.79,0.78,0.77,0.77,0.77,0.76,0.76,0.76,0.74,0.73,0.72,0.71,0.99,0.82,0.99,0.8,1.0,1.0,,1.0,0.6,1.0,0.6,0.99,0.84
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.82,0.82,0.8,0.79,0.79,0.78,0.77,0.77,0.77,0.76,0.76,0.76,0.74,0.72,0.72,0.71,0.99,0.82,0.99,0.8,1.0,1.0,,1.0,,1.0,0.6,0.99,0.84
DEWP_0,,,,,,,,,,,,,,,,,2.05,,2.07,,2.15,2.15,,,0.45,2.14,,2.44,1.36
RAIN_0,0.82,0.82,0.8,0.79,0.78,0.78,0.77,0.77,0.77,0.76,0.76,0.76,0.74,0.73,0.72,0.71,0.99,0.82,0.99,0.8,1.0,1.0,,1.0,0.6,1.0,0.66,0.99,0.84
RAIN_1,,,,,,,,,,,,,,,,,1.96,,2.01,,2.13,2.13,,2.13,,2.32,0.53,1.84,1.96
WSPM_0,0.82,0.82,0.81,0.79,0.83,0.86,0.78,0.79,0.77,0.78,0.79,0.76,0.78,0.76,0.74,0.73,1.01,0.81,1.01,0.81,1.02,1.02,,1.02,0.73,1.02,0.83,0.99,0.96
WSPM_1,1.3,1.25,1.11,1.26,0.9,0.83,1.1,1.0,1.13,0.96,0.9,1.15,0.86,0.85,0.9,0.89,1.25,1.38,1.27,1.22,1.31,1.3,,1.31,0.58,1.31,0.48,1.44,0.85
