,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
NNW,1.21,1.23,1.16,1.14,1.13,0.91,1.17,0.89,1.22,0.82,0.95,0.78,1.13,1.12,0.82,0.7,2.06,2.74,2.03,2.27,2.07,1.81,2.2,1.82,2.32,1.79,2.26,,2.11,1.33
S,1.27,1.16,1.3,1.04,0.95,1.38,0.85,1.26,0.9,1.18,0.9,1.12,0.8,0.79,1.09,0.78,2.2,1.43,2.19,1.42,1.97,2.1,1.92,2.21,1.92,2.15,2.32,,2.12,1.57
SSE,1.26,1.14,1.31,1.07,1.02,1.23,0.9,1.23,0.86,1.21,0.96,1.17,0.86,0.8,1.03,0.82,2.27,1.42,2.26,1.47,2.04,2.09,1.98,2.25,1.97,2.19,2.38,0.45,2.17,1.64
WNW,1.38,1.35,1.29,1.32,1.07,0.97,1.16,1.08,1.3,0.98,1.01,0.87,1.15,1.2,0.77,0.86,2.18,2.72,2.16,2.16,2.14,1.98,2.2,1.98,2.41,1.92,2.41,,2.27,1.41
W,1.16,1.16,1.13,1.19,1.25,1.28,1.22,1.0,1.19,1.15,1.05,1.23,1.22,1.15,0.92,0.8,2.42,1.7,2.4,1.66,2.29,2.16,2.25,2.28,2.26,2.21,2.62,,2.41,1.82
PM2.5_0,0.53,0.51,0.52,0.48,0.48,0.51,0.44,0.44,0.43,0.45,0.43,0.45,0.41,0.41,0.43,0.37,0.98,0.81,0.97,0.77,0.92,0.91,0.93,0.92,0.93,0.92,1.07,0.24,0.98,0.68
PM2.5_1,0.75,0.74,0.73,0.7,0.79,0.61,0.73,0.62,0.67,0.57,0.79,0.55,0.68,0.63,0.51,0.63,1.63,0.84,1.55,0.89,1.43,1.28,1.37,1.3,1.38,1.31,1.56,,1.43,0.92
PM10_0,0.53,0.51,0.52,0.48,0.47,0.52,0.44,0.45,0.44,0.45,0.43,0.45,0.41,0.41,0.43,0.37,0.98,0.81,0.97,0.79,0.93,0.92,0.93,0.93,0.93,0.93,1.07,0.24,0.98,0.68
PM10_1,0.73,0.71,0.71,0.67,0.79,0.6,0.73,0.6,0.65,0.56,0.8,0.55,0.67,0.62,0.52,0.62,1.56,0.83,1.53,0.85,1.37,1.23,1.33,1.26,1.35,1.27,1.52,,1.39,0.92
TEMP_1,0.59,0.57,0.59,0.52,0.52,0.59,0.48,0.5,0.48,0.5,0.48,0.51,0.45,0.44,0.48,0.42,1.1,0.83,1.09,0.81,0.94,1.29,0.95,1.23,0.94,1.25,1.18,0.22,1.08,0.74
TEMP_0,0.6,0.58,0.57,0.56,0.58,0.55,0.56,0.49,0.52,0.5,0.54,0.49,0.52,0.5,0.47,0.44,1.16,0.79,1.15,0.81,1.4,0.92,1.3,0.95,1.38,0.95,1.23,,1.13,0.78
PRES_0,0.58,0.57,0.58,0.52,0.55,0.56,0.5,0.49,0.49,0.49,0.5,0.5,0.47,0.45,0.46,0.42,1.11,0.81,1.1,0.8,0.96,1.21,0.93,1.42,0.95,1.23,1.19,0.22,1.09,0.75
PRES_1,0.6,0.59,0.58,0.55,0.55,0.57,0.52,0.51,0.51,0.51,0.51,0.5,0.49,0.48,0.48,0.44,1.15,0.8,1.13,0.82,1.25,0.93,1.45,0.92,1.28,0.95,1.22,0.4,1.12,0.78
DEWP_1,0.58,0.56,0.58,0.52,0.55,0.57,0.5,0.48,0.48,0.49,0.51,0.5,0.46,0.45,0.48,0.43,1.11,0.8,1.1,0.81,0.95,1.26,0.96,1.22,0.93,1.46,1.19,0.22,1.09,0.76
DEWP_0,0.61,0.59,0.59,0.56,0.55,0.56,0.53,0.51,0.51,0.51,0.5,0.5,0.51,0.48,0.47,0.43,1.14,0.82,1.13,0.81,1.27,0.92,1.24,0.95,1.52,0.92,1.22,,1.12,0.77
RAIN_0,0.49,0.48,0.48,0.45,0.45,0.47,0.43,0.41,0.41,0.41,0.42,0.42,0.4,0.39,0.39,0.36,0.93,0.67,0.93,0.67,0.87,0.85,0.87,0.86,0.87,0.86,1.0,0.21,0.92,0.63
RAIN_1,2.75,2.8,2.35,2.87,,,,1.69,2.69,,,,,,,,5.36,,5.36,,4.69,,4.62,,4.56,,5.86,0.6,5.27,4.39
WSPM_0,0.51,0.5,0.5,0.47,0.49,0.52,0.45,0.43,0.43,0.44,0.46,0.46,0.42,0.4,0.43,0.38,1.01,0.67,1.0,0.69,0.93,0.91,0.92,0.92,0.91,0.94,1.07,0.22,0.97,0.7
WSPM_1,0.87,0.85,0.83,0.74,0.67,0.65,0.66,0.68,0.68,0.64,0.6,0.58,0.63,0.64,0.57,0.53,1.37,1.6,1.37,1.24,1.35,1.24,1.37,1.27,1.44,1.23,1.5,0.32,1.4,0.87
