,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
NNW,0.52,0.6,,0.89,,,1.59,,,,,2.33,6.2,7.32,2.96,,1.76,0.55,1.76,0.53,0.12,0.11,,0.18,,0.25,,0.49,2.02
WNW,,,0.69,,,0.66,,,,,1.19,1.12,6.51,2.51,7.56,4.45,1.89,0.5,2.35,,,,,0.55,,1.07,,0.62,1.63
W,0.37,,,,1.05,1.65,,,,,6.03,,1.57,,2.48,5.71,1.56,0.56,1.12,0.84,,,,,,1.04,,0.98,1.02
PM2.5_0,0.93,0.99,0.87,1.08,1.01,1.06,1.07,0.91,0.97,0.9,1.07,1.04,1.1,1.1,1.09,1.08,7.4,0.15,4.22,0.28,0.85,0.85,,0.85,1.18,0.92,1.08,0.94,1.06
PM2.5_1,1.41,1.2,1.97,0.61,0.81,0.46,0.66,1.53,1.05,1.67,0.59,0.94,,0.35,0.49,0.5,0.03,43.66,0.09,14.71,,,,,,,,1.8,0.56
PM10_0,0.96,0.99,0.92,1.05,1.01,1.02,1.03,0.91,0.97,0.91,1.07,1.05,1.08,1.07,1.1,1.07,2.39,0.47,4.42,0.27,0.88,0.88,,0.88,1.14,0.95,1.05,0.96,1.04
PM10_1,1.38,1.18,1.73,0.69,0.86,0.74,0.84,1.68,1.04,1.68,0.41,0.83,,,,,0.08,16.3,0.05,28.23,,,,,,3.86,,1.57,0.64
TEMP_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
PRES_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8,,1.0,1.0,1.0,1.0,1.0,1.0
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.97,1.0,1.0,0.99,1.01,0.99,1.0,1.0,1.0,,4.2,,1.0,1.0,1.02,0.98
DEWP_0,,,,,,,,,,,,,,,,,,,,,,,,,1056.96,,,0.11,9.45
RAIN_0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.46,0.65,1.01,0.99
RAIN_1,,,,,,,,,,,,,,,,,0.77,,0.72,,,,,,,0.01,128.64,0.14,6.95
WSPM_0,1.09,1.09,1.04,1.08,0.9,0.83,1.07,1.03,0.98,0.99,0.97,1.04,0.81,0.86,0.89,1.01,0.98,1.02,0.97,1.04,0.85,0.85,,1.89,0.46,1.17,0.82,1.88,0.53
WSPM_1,0.48,0.51,0.78,0.53,1.62,2.07,0.62,0.81,1.14,1.08,1.2,0.79,2.19,1.85,1.67,0.92,1.11,0.86,1.23,0.78,,,,0.26,4.23,0.54,2.06,0.16,6.24
