,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
PM10_0,0.48,0.47,0.44,0.43,0.42,0.41,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.34,0.32,0.31,0.97,0.58,0.99,0.52,1.04,1.04,0.23,1.03,0.3,1.03,0.24,0.98,0.52
PM10_1,0.86,0.83,0.79,0.79,0.78,0.78,0.71,0.75,0.8,0.7,0.78,0.65,0.45,0.5,0.47,0.59,1.82,0.82,1.81,0.78,1.89,1.89,,1.89,0.56,1.89,0.24,1.78,0.89
TEMP_1,0.46,0.45,0.42,0.41,0.41,0.4,0.38,0.38,0.38,0.36,0.37,0.36,0.35,0.32,0.31,0.3,0.94,0.54,0.95,0.49,1.0,1.0,0.23,1.0,0.3,1.0,0.21,0.94,0.5
PRES_0,0.46,0.45,0.42,0.41,0.41,0.4,0.38,0.38,0.38,0.37,0.37,0.36,0.35,0.32,0.31,0.3,0.94,0.54,0.96,0.49,1.0,1.0,0.25,1.0,0.3,1.0,0.21,0.94,0.5
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.46,0.45,0.42,0.41,0.41,0.4,0.38,0.38,0.38,0.37,0.37,0.36,0.35,0.32,0.31,0.3,0.95,0.54,0.96,0.49,1.0,1.0,0.23,1.0,0.31,1.0,0.21,0.94,0.5
DEWP_0,2.09,2.04,1.7,2.18,,,1.96,1.63,1.8,,1.34,,2.02,1.64,1.39,,4.31,,4.36,1.88,4.58,4.58,,4.58,0.6,4.58,,4.32,2.2
RAIN_0,0.46,0.45,0.42,0.41,0.41,0.4,0.38,0.38,0.38,0.37,0.37,0.36,0.35,0.32,0.31,0.3,0.95,0.54,0.96,0.49,1.0,1.0,0.23,1.0,0.3,1.0,0.22,0.94,0.5
RAIN_1,2.44,1.92,1.9,1.56,,2.09,1.54,1.64,1.81,1.86,,1.17,,0.89,1.45,,4.19,,4.24,,4.38,4.38,,4.38,,4.38,0.67,4.13,2.43
WSPM_0,0.48,0.47,0.44,0.43,0.42,0.42,0.4,0.39,0.39,0.37,0.38,0.38,0.37,0.34,0.32,0.31,0.98,0.55,1.0,0.5,1.04,1.04,0.34,1.04,0.31,1.04,0.22,0.98,0.52
WSPM_1,0.78,0.75,0.74,0.68,0.72,0.71,0.63,0.67,0.67,0.7,0.63,0.61,0.55,0.51,0.5,0.51,1.6,1.1,1.61,0.94,1.69,1.69,,1.69,0.47,1.69,0.38,1.59,0.82
