,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
NW,1.23,1.23,1.24,1.1,1.19,1.22,1.03,1.04,1.14,1.1,1.07,1.06,1.0,0.98,0.92,0.88,2.02,2.4,2.04,1.69,2.1,2.09,,2.09,,2.09,0.9,2.02,1.35
NNW,1.35,1.33,1.35,1.23,1.3,1.3,1.17,1.09,1.21,1.13,1.11,1.09,1.03,1.01,0.92,0.91,2.14,2.11,2.15,1.69,2.21,2.21,,2.21,0.53,2.21,0.95,2.14,1.45
WNW,1.46,1.36,1.4,1.21,1.28,1.24,1.21,1.37,1.28,1.15,1.11,1.14,1.08,0.99,1.0,1.05,2.19,1.84,2.21,1.64,2.27,2.27,,2.27,,2.27,0.78,2.2,1.45
W,1.43,1.38,1.34,1.24,1.32,1.35,1.22,1.19,1.24,1.15,1.19,1.18,1.16,1.01,0.99,1.0,2.21,1.58,2.22,1.4,2.29,2.28,,2.28,,2.28,0.64,2.21,1.52
PM2.5_0,0.64,0.64,0.6,0.59,0.57,0.57,0.55,0.54,0.54,0.52,0.53,0.54,0.51,0.49,0.47,0.45,1.0,0.63,1.01,0.61,1.04,1.04,0.23,1.04,0.3,1.04,0.31,1.0,0.67
PM2.5_1,1.04,0.98,0.98,0.9,0.95,0.92,0.8,0.99,0.96,0.88,0.84,0.72,0.45,0.53,0.55,0.68,1.57,1.0,1.58,0.96,1.63,1.63,,1.63,,1.63,0.34,1.57,0.98
PM10_0,0.64,0.63,0.6,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.52,0.53,0.51,0.48,0.46,0.45,0.99,0.63,1.0,0.6,1.03,1.03,0.22,1.03,0.3,1.03,0.31,0.99,0.67
PM10_1,1.05,1.02,1.0,0.96,0.98,0.96,0.87,0.98,1.02,0.92,0.94,0.8,0.5,0.6,0.58,0.73,1.65,1.0,1.65,1.0,1.7,1.7,,1.7,0.5,1.7,0.29,1.64,1.03
TEMP_1,0.62,0.61,0.58,0.57,0.55,0.55,0.53,0.53,0.53,0.51,0.51,0.51,0.48,0.45,0.44,0.44,0.96,0.61,0.97,0.59,1.0,1.0,0.22,1.0,0.3,1.0,0.29,0.97,0.65
PRES_0,0.62,0.61,0.58,0.57,0.55,0.55,0.53,0.53,0.53,0.51,0.51,0.51,0.48,0.45,0.44,0.44,0.96,0.61,0.97,0.59,1.0,1.0,0.22,1.0,0.3,1.0,0.29,0.97,0.65
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.62,0.61,0.58,0.57,0.55,0.55,0.53,0.53,0.53,0.51,0.51,0.51,0.48,0.45,0.44,0.44,0.96,0.61,0.97,0.59,1.0,1.0,0.22,1.0,0.29,1.0,0.29,0.97,0.65
DEWP_0,2.14,2.14,1.73,2.33,,,2.19,1.79,1.79,,1.42,,2.25,2.01,1.69,,3.32,,3.34,1.9,3.44,3.44,,3.44,1.02,3.44,,3.32,2.23
RAIN_0,0.62,0.61,0.58,0.57,0.55,0.55,0.53,0.53,0.53,0.51,0.51,0.51,0.48,0.46,0.44,0.44,0.96,0.61,0.97,0.59,1.0,1.0,0.22,1.0,0.3,1.0,0.29,0.97,0.65
RAIN_1,2.52,2.06,1.9,1.68,,2.03,1.76,1.71,1.81,1.89,,1.32,,1.05,1.58,,3.35,,3.37,,3.43,3.43,,3.42,,3.42,1.0,3.31,2.45
WSPM_0,0.64,0.63,0.6,0.59,0.57,0.57,0.55,0.54,0.54,0.52,0.53,0.53,0.5,0.47,0.46,0.45,1.0,0.62,1.0,0.6,1.04,1.03,0.3,1.03,0.29,1.03,0.3,1.0,0.67
WSPM_1,0.95,0.92,0.92,0.85,0.9,0.89,0.79,0.84,0.86,0.89,0.81,0.78,0.71,0.67,0.67,0.68,1.5,1.12,1.51,1.02,1.55,1.55,,1.55,0.51,1.55,0.47,1.5,1.0
