,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
WSW,0.87,0.91,0.85,0.88,0.92,1.13,0.99,0.84,0.91,0.94,0.74,1.0,0.97,0.93,0.83,0.63,1.73,1.19,1.73,1.13,1.65,1.55,1.59,1.72,1.57,1.72,1.84,0.58,1.69,1.4
NNW,1.09,1.11,1.05,1.04,1.03,0.83,1.09,0.83,1.13,0.77,0.89,0.73,1.06,1.06,0.77,0.67,1.71,2.41,1.68,1.99,1.74,1.54,1.85,1.54,1.96,1.51,1.85,,1.75,1.17
S,1.14,1.05,1.17,0.95,0.87,1.26,0.79,1.17,0.83,1.1,0.84,1.04,0.74,0.74,1.02,0.74,1.81,1.25,1.81,1.24,1.65,1.77,1.61,1.86,1.61,1.81,1.89,,1.74,1.37
SSE,1.12,1.02,1.17,0.97,0.93,1.12,0.83,1.13,0.8,1.11,0.88,1.08,0.79,0.75,0.96,0.77,1.85,1.24,1.85,1.28,1.69,1.75,1.65,1.88,1.64,1.83,1.93,0.48,1.78,1.42
WNW,1.23,1.2,1.15,1.19,0.97,0.88,1.06,0.99,1.19,0.9,0.93,0.8,1.06,1.12,0.72,0.81,1.78,2.35,1.76,1.86,1.77,1.66,1.82,1.65,2.0,1.6,1.94,,1.85,1.21
W,1.01,1.01,0.98,1.05,1.11,1.14,1.09,0.9,1.07,1.03,0.95,1.11,1.11,1.05,0.84,0.74,1.93,1.45,1.92,1.41,1.86,1.76,1.83,1.86,1.84,1.8,2.07,,1.93,1.54
PM2.5_0,0.57,0.55,0.57,0.52,0.53,0.56,0.5,0.5,0.49,0.51,0.49,0.51,0.47,0.46,0.49,0.43,0.97,0.85,0.97,0.81,0.93,0.92,0.94,0.94,0.94,0.94,1.05,0.31,0.97,0.71
PM2.5_1,0.74,0.73,0.72,0.7,0.8,0.61,0.75,0.63,0.69,0.58,0.81,0.56,0.7,0.65,0.53,0.66,1.48,0.81,1.41,0.86,1.31,1.18,1.27,1.2,1.27,1.21,1.4,,1.29,0.88
PM10_0,0.58,0.56,0.57,0.53,0.52,0.57,0.49,0.5,0.49,0.51,0.48,0.51,0.47,0.46,0.49,0.43,0.97,0.86,0.97,0.83,0.94,0.93,0.94,0.94,0.95,0.95,1.05,0.31,0.97,0.71
PM10_1,0.72,0.71,0.7,0.68,0.81,0.61,0.75,0.61,0.67,0.58,0.82,0.57,0.7,0.64,0.54,0.65,1.42,0.81,1.4,0.83,1.27,1.15,1.24,1.18,1.25,1.19,1.37,,1.27,0.89
TEMP_1,0.63,0.61,0.63,0.56,0.56,0.63,0.52,0.55,0.52,0.55,0.53,0.56,0.5,0.48,0.53,0.47,1.06,0.85,1.06,0.83,0.92,1.28,0.93,1.22,0.93,1.24,1.13,0.28,1.05,0.76
TEMP_0,0.62,0.61,0.6,0.6,0.62,0.59,0.6,0.53,0.56,0.54,0.58,0.53,0.57,0.55,0.52,0.49,1.12,0.81,1.11,0.82,1.36,0.91,1.27,0.93,1.35,0.93,1.17,,1.09,0.8
PRES_0,0.62,0.6,0.62,0.56,0.59,0.6,0.55,0.53,0.53,0.53,0.55,0.55,0.51,0.5,0.51,0.47,1.07,0.83,1.07,0.82,0.94,1.2,0.92,1.41,0.94,1.21,1.14,0.28,1.06,0.76
PRES_1,0.63,0.62,0.62,0.59,0.58,0.61,0.56,0.55,0.55,0.55,0.55,0.55,0.53,0.53,0.53,0.49,1.1,0.82,1.09,0.84,1.23,0.92,1.42,0.91,1.26,0.94,1.16,0.51,1.07,0.79
DEWP_1,0.61,0.6,0.61,0.56,0.59,0.61,0.54,0.52,0.53,0.53,0.56,0.55,0.5,0.49,0.53,0.48,1.08,0.82,1.07,0.83,0.94,1.25,0.94,1.2,0.92,1.44,1.14,0.28,1.05,0.78
DEWP_0,0.64,0.62,0.62,0.59,0.59,0.6,0.57,0.56,0.55,0.55,0.54,0.54,0.55,0.53,0.52,0.48,1.1,0.84,1.09,0.82,1.25,0.91,1.22,0.94,1.49,0.91,1.16,,1.08,0.78
RAIN_0,0.54,0.53,0.54,0.5,0.51,0.53,0.48,0.47,0.47,0.47,0.48,0.48,0.45,0.44,0.45,0.42,0.94,0.72,0.94,0.72,0.9,0.87,0.9,0.89,0.9,0.89,1.0,0.28,0.93,0.68
RAIN_1,1.97,2.01,1.69,2.09,,,,1.25,1.99,,,,,,,,3.51,,3.52,,3.13,,3.09,,3.05,,3.8,0.52,3.46,3.05
WSPM_0,0.55,0.54,0.55,0.51,0.54,0.58,0.5,0.48,0.48,0.49,0.51,0.51,0.47,0.46,0.48,0.44,1.0,0.71,0.99,0.72,0.94,0.93,0.93,0.94,0.93,0.96,1.05,0.29,0.97,0.74
WSPM_1,0.86,0.85,0.84,0.75,0.68,0.66,0.68,0.7,0.7,0.65,0.62,0.6,0.65,0.67,0.59,0.56,1.26,1.56,1.25,1.2,1.25,1.16,1.28,1.19,1.35,1.15,1.36,0.39,1.28,0.84
