,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
DEWP_1_0,0.93,1.05,1.06,0.87,1.43,,0.93,1.03,0.89,0.93,,1.05,,0.9,1.5,,,,,0.94,1.03,0.91,0.8,0.92,0.83,0.86,0.87,,,1.17,0.9
DEWP_0_0,1.24,1.09,1.97,0.94,,,1.43,1.11,1.12,0.9,,1.01,,1.91,0.81,,,,,1.24,1.09,1.24,1.3,0.85,0.86,0.81,0.78,0.71,,1.29,1.47
DEWP_1_1,1.39,2.5,0.85,,,,1.1,,1.15,,0.69,,,,,0.79,,,,1.2,1.02,1.51,1.2,0.98,0.9,0.99,1.15,,,1.33,1.39
DEWP_0_2,2.24,1.32,,,0.69,,1.89,1.21,1.64,1.0,,0.93,,,,,0.74,,,1.34,1.7,1.07,,1.08,1.12,0.96,0.99,0.69,,1.57,1.25
DEWP_0_1,2.27,1.25,,0.84,,,1.89,1.18,,,,0.77,,,,,,0.73,,1.38,1.5,1.31,1.22,1.11,1.22,0.97,0.84,0.7,,1.56,1.36
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.13,1.12,1.08,1.14,1.12,,1.11,1.11,1.11,1.0,0.85,1.06,,1.14,1.25,1.06,0.98,0.97,,0.83,,,,,1.24,,,,,1.29,1.09
WSPM_0_1,1.24,1.14,0.95,1.02,1.28,,1.13,1.12,1.08,1.12,0.82,0.93,,1.28,1.01,0.92,1.29,1.09,,,0.84,,,,0.88,1.37,,,,1.25,1.32
WSPM_0_3,1.28,1.18,1.27,1.11,0.76,,1.21,1.14,1.14,1.08,,0.89,,1.22,1.28,1.46,0.87,1.03,,,,0.8,,,1.43,,,,,1.47,1.01
WSPM_0_4,1.24,1.57,1.35,0.83,,,1.23,1.52,1.14,1.12,,0.9,,1.23,1.58,1.33,,1.1,,,,,0.76,,,,,,,1.59,1.09
WSPM_0_0,1.53,1.56,1.32,1.19,1.1,,1.52,1.52,1.39,1.17,1.1,1.29,,1.72,1.25,1.35,1.21,1.25,,,,,,0.77,0.81,1.12,1.38,,,1.6,2.05
WSPM_1_0,1.56,1.68,1.35,1.31,1.25,,1.45,1.6,1.53,1.34,1.19,1.37,,1.76,1.31,1.35,1.41,1.48,,1.63,1.59,1.83,,0.93,0.87,,,,,1.69,1.92
WSPM_1_1,1.53,1.72,1.61,1.43,1.27,,1.82,1.52,1.52,1.32,1.32,1.28,,2.27,1.25,1.66,1.31,1.2,,,2.01,,,1.18,,0.69,,,,1.72,
WSPM_1_2,1.72,1.57,1.96,1.29,1.34,,1.85,1.53,1.51,1.4,,1.28,,3.01,1.26,1.93,1.38,1.12,,,,,,1.27,,,0.66,,,1.76,
WSPM_1_3,2.15,2.05,,,1.13,,2.22,1.94,2.09,1.56,,1.44,,,1.74,,1.37,1.32,,,,,,,,,,0.57,,2.21,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.92,0.92,0.81,0.75,0.74,,0.91,0.9,0.83,0.79,0.7,0.74,,0.98,0.81,0.81,0.79,0.76,,0.87,0.84,0.9,0.86,0.71,0.69,0.66,0.65,0.56,,0.97,1.29
PM10_1,1.14,1.13,1.39,0.89,0.83,,1.08,1.11,1.18,1.02,1.12,0.84,,1.12,1.36,1.23,0.93,0.98,,1.11,1.39,0.93,0.88,1.03,1.02,,,,,1.92,0.85
