,ENE_0,NE_0,E_0,ESE_0,N_0,NW_0,NNW_0,WNW_0,NNE_0,SE_0,SW_0,WSW_0,SSW_0,W_0,NW_2,S_0,SSE_0,NW_1,ENE_1,NE_1,NNE_1,NW_3,E_1,NNW_1,NNW_2,N_1,WSW_1,WNW_1,ENE_2,SW_1,NNE_2,E_4,WSW_2,W_1,NE_2,NNW_3,WNW_2,S_1,NW_4,ENE_4,SSW_1,SE_1,N_2,ENE_6,ESE_2,ESE_1,WNW_5,SW_2,NNW_4,E_2,W_2,SSE_1,NE_3,E_3,WSW_3,ENE_3,ESE_3,N_3,WNW_3,SSW_2,NE_4,ESE_5,S_2,N_5,WNW_4,WSW_4,S_3,SE_2,nan_0,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,RAIN_0,WSPM_0,WSPM_1
SW_0,1.51,1.13,1.36,1.32,1.26,1.48,,1.26,1.06,1.1,1.0,0.9,1.0,0.85,,1.04,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,1.29,2.09,1.28,2.2,,2.18,1.02,2.2,,2.2,2.07,1.68
WSW_0,1.18,1.04,1.06,1.15,1.38,1.21,1.38,0.9,0.97,1.05,1.1,1.0,1.26,0.84,,1.17,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,1.49,2.13,1.34,2.2,,2.2,1.13,2.2,,2.2,2.07,1.95
SSW_0,1.29,1.44,1.34,1.34,,1.33,1.11,1.44,1.03,1.16,1.14,0.88,1.0,1.06,,1.08,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,1.13,2.18,1.17,2.27,,2.25,1.13,2.27,,2.27,2.14,1.73
W_0,1.07,0.96,1.14,1.17,1.28,1.23,1.27,1.05,1.01,0.96,1.19,1.25,1.01,1.0,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,1.58,2.21,1.46,2.29,,2.22,1.26,2.29,,2.29,2.17,1.91
NW_2,1.25,,,,0.95,1.35,1.22,1.16,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,,2.11,1.91,2.29,,2.28,,2.29,,2.29,1.89,1.72
S_0,1.75,1.62,1.51,1.39,1.43,,,1.18,1.28,1.07,0.93,0.96,0.93,1.05,,1.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,1.45,2.27,1.51,2.34,,2.32,1.32,2.34,,2.34,2.18,1.87
SSE_0,1.73,1.98,1.55,1.43,1.36,,,,,1.03,0.85,1.07,0.97,,,1.08,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,1.48,2.36,1.51,2.41,,2.37,1.19,2.41,,2.41,2.25,1.73
NW_1,,,,,1.52,1.22,1.22,1.09,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,2.3,,2.47,,2.43,,2.46,,2.47,2.31,1.8
ENE_1,1.59,1.4,1.55,2.01,1.59,,,,1.52,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,1.87,2.31,2.0,2.53,,2.49,,2.53,,2.53,2.4,1.61
NE_1,1.43,1.79,1.83,1.18,1.35,,,,1.71,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,1.66,2.44,1.93,2.62,,2.52,,2.62,,2.62,2.49,1.78
NNE_1,1.4,1.56,1.34,,1.29,1.95,1.56,,1.33,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.15,2.31,2.25,2.63,,2.56,,2.63,,2.63,2.37,1.98
NW_3,,,,,1.23,1.12,1.36,1.22,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,,2.52,,2.74,,2.7,,2.74,,2.75,2.82,2.0
E_1,1.91,1.47,1.42,1.7,,,,,,1.38,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,2.14,2.75,1.95,2.81,,2.76,,2.81,,2.81,2.62,
NNW_1,,2.04,,,1.23,1.52,1.34,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,,2.67,,2.9,,2.86,,2.9,,2.9,2.84,2.03
NNW_2,,,,,1.19,1.79,0.93,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,2.78,,2.96,,2.92,,2.96,,2.96,2.57,2.12
N_1,,1.68,,,1.99,,1.6,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,,2.84,,3.06,,3.01,,3.06,,3.06,3.24,2.26
WSW_1,,,,,,,,,,,1.94,1.33,,1.09,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34,1.42,3.5,,3.06,,3.01,,3.06,,3.06,2.86,2.66
WNW_1,,,,,,1.81,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,,2.94,,3.28,,3.23,,3.28,,3.28,,2.51
ENE_2,1.91,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,2.42,2.74,2.39,3.3,,3.42,,3.3,,3.31,3.09,
SW_1,,,,,,,,,,,,1.82,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,3.38,,3.35,,3.3,,3.35,,3.35,3.19,
NNE_2,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,3.27,,3.4,,3.35,,3.4,,3.41,2.95,
E_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56,,3.57,,3.46,,3.41,,3.46,,3.46,3.23,
WSW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,,3.31,,3.53,,3.47,,3.52,,3.53,3.45,3.43
W_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,,3.41,,3.63,,3.58,,3.63,,3.63,3.13,3.34
NE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,,,,3.67,,3.61,,3.67,,3.67,3.43,
NNW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,,3.45,,3.67,,3.61,,3.67,,3.67,,2.65
WNW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,,3.45,,3.67,,3.61,,3.67,,3.67,,2.96
S_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51,,3.53,,3.76,,3.7,,3.76,,3.76,3.51,
NW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31,,,,3.76,,3.26,,3.76,,3.76,,2.78
ENE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,2.72,3.76,,3.7,,3.76,,3.76,3.51,
SSW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12,,4.27,,4.12,,4.12,3.85,
SE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63,,3.65,,3.76,,3.7,,3.76,,3.76,3.51,
N_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,,3.24,,3.86,,3.65,,3.86,,3.86,3.12,2.98
ENE_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,,2.79,3.86,,3.8,,3.86,,3.86,3.61,
ESE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,,3.8,,3.86,,3.86,3.61,
ESE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92,,3.86,,3.92,,3.92,3.66,
WNW_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.27,,,,3.92,,3.86,,3.92,,3.92,,2.8
SW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,3.98,,4.05,,4.05,3.78,
NNW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.78,,3.8,,4.05,,3.98,,4.05,,4.05,,2.99
E_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,,2.98,4.12,,4.06,,4.12,,4.12,3.85,
W_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,,3.87,,4.12,,4.06,,4.12,,4.12,3.85,
SSE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,,,4.12,,4.06,,4.12,,4.12,3.85,
NE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92,,3.94,,4.2,,4.14,,4.2,,4.2,3.93,
E_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESE_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM2.5_0,0.64,0.63,0.6,0.55,0.58,0.57,0.56,0.53,0.53,0.48,0.47,0.47,0.44,0.46,0.47,0.43,0.42,0.45,0.43,0.39,0.44,0.41,0.38,0.38,0.36,0.37,0.28,0.35,0.34,0.3,0.32,0.29,0.28,0.28,0.32,0.29,0.28,0.27,0.32,,0.27,0.3,0.31,,0.28,0.33,0.32,,0.27,,0.24,,0.26,,0.25,,0.27,0.26,0.31,0.21,,0.24,0.21,0.23,,,,,0.19,1.0,0.78,1.01,0.77,1.07,0.22,1.05,0.61,1.07,,1.07,1.0,0.81
PM2.5_1,0.8,0.77,0.81,0.76,0.62,0.57,0.55,0.48,0.62,0.68,0.72,0.7,0.8,0.62,,0.69,0.65,,0.53,0.61,0.42,,0.49,,,,0.76,,0.4,,0.36,,,,0.32,,,,,0.39,0.41,,,0.33,0.35,0.3,,,,0.35,,0.36,,0.32,,0.35,,,,,,,,,,,,,,1.28,1.0,1.28,0.99,1.36,,1.34,0.73,1.36,0.31,1.36,1.28,0.8
PM10_0,0.63,0.63,0.6,0.55,0.57,0.57,0.55,0.53,0.52,0.49,0.47,0.47,0.44,0.45,0.47,0.44,0.43,0.45,0.44,0.4,0.43,0.41,0.35,0.37,0.36,0.36,0.29,0.35,0.34,0.28,0.32,0.29,0.3,0.29,0.34,0.29,0.29,0.25,0.28,,0.24,0.28,0.31,,0.25,0.4,0.31,,0.26,,0.25,0.23,0.25,,0.25,,0.25,0.26,0.27,0.24,,0.24,0.24,0.23,,,,,0.19,0.99,0.78,1.0,0.77,1.07,0.22,1.05,0.59,1.06,,1.07,0.99,0.8
PM10_1,0.82,0.78,0.83,0.76,0.63,0.61,0.58,0.51,0.63,0.68,0.73,0.75,0.82,0.69,0.49,0.66,0.64,,0.5,0.53,0.42,,0.55,,,,0.8,,0.4,,0.38,0.45,,,0.32,,,,0.37,0.4,,,,0.34,0.4,,,,,0.35,,0.37,,,,0.37,,,,,,,,,,,,,,1.3,1.02,1.3,1.0,1.38,,1.35,0.76,1.38,0.3,1.38,1.31,0.87
TEMP_0,0.59,0.58,0.58,0.53,0.52,0.52,0.51,0.48,0.48,0.47,0.46,0.45,0.44,0.44,0.44,0.43,0.42,0.41,0.4,0.38,0.38,0.36,0.36,0.34,0.34,0.33,0.33,0.3,0.3,0.3,0.29,0.29,0.28,0.29,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,,,,,0.18,0.93,0.73,0.94,0.72,1.0,,0.98,0.55,1.0,0.27,1.0,0.93,0.74
TEMP_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1,0.6,0.59,0.59,0.53,0.54,0.54,0.52,0.49,0.49,0.47,0.46,0.46,0.45,0.44,0.44,0.43,0.42,0.41,0.41,0.4,0.39,0.37,0.35,0.35,0.34,0.33,0.33,0.31,0.3,0.31,0.3,0.29,0.29,0.28,0.27,0.28,0.28,0.27,0.31,0.27,0.27,0.27,0.29,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,,0.22,,,,,0.18,0.95,0.74,0.95,0.74,1.02,0.23,1.0,0.56,1.02,0.29,1.02,0.95,0.75
PRES_0,1.08,1.08,1.07,1.01,0.75,0.86,0.82,0.88,0.91,0.96,0.95,0.9,0.84,0.82,,0.81,0.78,0.67,,0.56,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.36,1.71,1.28,1.82,,1.79,1.0,1.83,,1.82,1.73,1.25
DEWP_0,0.59,0.58,0.58,0.53,0.53,0.52,0.51,0.48,0.48,0.47,0.45,0.45,0.44,0.44,0.44,0.43,0.42,0.41,0.39,0.38,0.38,0.36,0.36,0.34,0.34,0.33,0.33,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,,,,,0.18,0.93,0.73,0.94,0.72,1.0,0.22,0.98,0.55,1.0,0.27,1.0,0.93,0.74
DEWP_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07,,3.13,3.72,,3.11,,3.71,1.0,3.72,3.67,
RAIN_0,0.59,0.58,0.58,0.53,0.52,0.52,0.51,0.48,0.48,0.47,0.45,0.45,0.44,0.44,0.44,0.43,0.42,0.41,0.4,0.38,0.38,0.36,0.36,0.34,0.34,0.33,0.33,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,,,,,0.18,0.93,0.73,0.94,0.72,1.0,0.22,0.98,0.55,1.0,0.27,1.0,0.93,0.74
WSPM_0,0.63,0.61,0.61,0.56,0.57,0.56,0.55,0.51,0.52,0.5,0.49,0.5,0.47,0.47,0.52,0.46,0.44,0.43,0.42,0.41,0.42,0.33,0.38,0.31,0.36,0.32,0.35,0.37,0.31,0.35,0.31,0.31,0.31,0.38,0.29,,0.35,0.29,,0.29,0.28,0.28,0.34,0.26,0.27,0.26,,0.23,,0.25,0.28,0.26,0.26,0.25,0.27,0.25,0.26,,,0.25,0.24,,0.22,,,,,,0.18,1.0,0.76,1.01,0.75,1.07,0.23,1.05,0.57,1.07,0.26,1.07,1.0,0.79
WSPM_1,0.84,0.87,0.89,0.77,0.69,0.71,0.68,0.66,0.63,0.75,0.6,0.56,0.6,0.59,0.57,0.6,0.58,0.55,0.59,0.53,0.45,0.52,,0.51,0.46,0.48,0.42,0.4,,,0.42,,0.36,0.24,,0.42,0.33,,0.39,,,,,,,,0.35,,0.31,,,,,,,,,0.34,0.34,,,,,,,,,,,1.25,1.47,1.26,1.29,1.35,,1.33,0.86,1.35,,1.35,1.26,1.0
