,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.86,0.94,1.12,0.82,0.9,0.75,0.85,0.96,0.82,0.91,,0.84,0.75,0.9,0.9,,,,0.75,0.87,0.9,0.86,0.79,0.57,0.49,0.53,0.5,,0.75,1.09,0.79
DEWP_0_0,1.07,0.98,2.48,0.94,,,1.25,1.13,1.06,0.87,,1.01,,1.19,0.81,,,,,1.12,1.01,1.08,1.09,0.74,0.61,0.71,0.74,0.68,,1.28,1.04
DEWP_1_1,1.27,1.37,0.85,,,,1.02,,0.97,,0.72,,,,,0.79,,,,1.09,0.93,1.42,1.16,0.66,0.55,0.68,0.98,,,1.29,1.02
DEWP_0_2,1.84,1.34,,,0.69,,1.54,1.18,1.39,1.06,,0.82,,,,,0.75,,,1.3,1.32,1.03,,0.83,0.71,0.78,0.91,0.53,,1.51,1.1
DEWP_0_1,1.68,1.24,,0.84,,,1.4,1.16,,,,0.77,,4.07,2.06,,,0.73,,1.31,1.22,1.23,1.08,0.73,0.68,0.73,0.75,0.64,,1.5,1.18
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.02,1.06,1.11,0.91,1.12,,0.93,1.05,1.0,0.95,0.85,0.84,,1.08,1.06,1.06,0.92,0.9,,0.83,1.41,0.84,1.9,0.6,0.62,0.51,0.44,,,1.23,0.87
WSPM_0_1,1.09,1.04,0.95,1.02,1.28,,1.05,1.12,0.95,1.12,0.86,0.93,,1.19,0.89,0.93,1.29,0.97,,0.85,0.83,1.18,1.52,0.73,0.5,0.76,0.89,0.75,,1.22,0.97
WSPM_0_3,1.07,1.17,1.27,1.11,0.72,,1.01,1.1,1.07,1.1,,0.89,,1.18,1.12,1.29,0.89,1.03,,2.75,1.36,0.81,,0.75,0.7,0.79,,,,1.33,0.88
WSPM_0_4,1.17,1.34,1.21,0.83,,,1.06,1.35,1.02,1.18,,0.81,,1.19,1.21,1.33,,1.1,,1.86,1.2,,0.76,0.91,0.85,0.94,,,,1.45,0.95
WSPM_0_0,1.52,1.37,1.32,1.19,1.04,,1.75,1.54,1.21,1.11,1.09,1.29,,1.68,1.23,1.36,1.1,1.25,,1.73,1.19,1.33,1.33,0.72,0.64,0.89,0.82,,,1.57,1.89
WSPM_1_0,1.49,1.39,1.38,1.31,1.25,,1.59,1.57,1.36,1.28,1.22,1.37,,1.7,1.23,1.38,1.3,1.48,,1.41,1.26,1.63,1.64,0.85,0.71,1.14,1.02,,,1.65,1.56
WSPM_1_1,1.5,1.34,1.48,1.43,1.51,,2.06,1.51,1.45,1.34,1.12,1.28,,2.03,1.22,1.58,1.41,1.19,,2.26,0.98,1.66,1.66,0.79,0.7,0.69,1.32,,,1.74,2.03
WSPM_1_2,1.76,1.26,1.96,1.29,1.34,,1.97,1.53,1.52,1.4,,1.28,,2.59,1.23,1.93,1.38,1.12,,3.1,1.11,,,0.7,0.78,0.6,0.66,,,1.77,4.08
WSPM_1_3,2.13,2.04,,,1.13,,1.92,1.94,1.69,1.56,,1.44,,,1.74,,1.37,1.32,,,1.55,,,1.07,0.65,,,0.57,,2.17,2.34
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.85,0.83,0.81,0.75,0.74,1.04,0.83,0.89,0.76,0.77,0.7,0.74,1.04,0.94,0.77,0.81,0.78,0.73,1.04,0.81,0.76,0.82,0.81,0.54,0.45,0.53,0.59,0.51,1.04,0.96,0.78
PM10_1,1.03,1.1,1.15,0.84,0.78,,0.94,1.03,1.01,1.05,0.96,0.72,,1.08,0.92,1.16,0.92,0.94,,1.06,1.02,0.92,0.86,0.47,0.5,0.46,0.28,,,1.29,0.84
