,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
PRES_0_1,,,1.19,,,,,,,,1.0,,,,,1.18,,,,1.26,1.24,,,1.01,0.97,0.94,,,,1.52,1.24
PRES_1_3,,,,1.05,1.01,,,,,,,1.0,,1.45,1.22,,1.11,1.08,,1.31,1.27,1.22,1.15,1.0,0.99,0.96,0.94,0.76,,1.55,1.29
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.96,0.96,0.86,0.73,0.7,,0.92,0.92,0.87,0.8,,0.69,,1.0,0.89,,,,,0.91,0.9,0.86,0.81,0.73,0.69,0.62,0.54,,,1.09,0.9
DEWP_0_0,1.12,1.1,0.96,0.85,,,1.07,1.07,1.01,0.92,,0.81,,1.13,1.0,,,,,1.0,1.04,0.99,0.9,0.82,0.81,0.8,0.79,0.64,,1.26,1.04
DEWP_1_1,1.12,1.08,1.01,,,,1.09,,1.02,,0.84,,,,,1.0,,,,1.06,1.05,1.01,0.95,0.85,0.82,0.77,0.77,,,1.28,1.06
DEWP_0_2,1.24,1.23,,,0.91,,1.2,1.19,1.13,1.03,,0.9,,,,,1.0,,,1.17,1.14,1.11,,0.94,0.89,0.86,0.85,0.71,,1.41,1.16
DEWP_0_1,1.26,1.25,,0.96,,,1.2,1.21,,,,0.92,,,,,,1.0,,1.19,1.17,1.12,1.05,0.94,0.91,0.9,0.86,0.73,,1.43,1.18
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.06,1.06,0.95,0.8,0.78,,1.02,1.03,0.98,0.88,0.79,0.76,,1.1,1.0,0.94,0.86,0.84,,1.0,,,,,0.87,,,,,1.21,0.99
WSPM_0_1,1.07,1.06,0.96,0.82,0.78,,1.04,1.03,0.96,0.89,0.8,0.78,,1.12,0.96,0.95,0.87,0.85,,,1.0,,,,0.75,0.83,,,,1.22,0.97
WSPM_0_3,1.11,1.11,1.0,0.85,0.82,,1.07,1.08,1.02,0.93,,0.82,,1.16,1.01,0.98,0.9,0.89,,,,1.0,,,0.88,,,,,1.27,1.04
WSPM_0_4,1.19,1.18,1.06,0.91,,,1.15,1.14,1.08,1.0,,0.87,,1.24,1.1,1.05,,0.95,,,,,1.0,,,,,,,1.36,1.11
WSPM_0_0,1.32,1.33,1.19,1.02,0.95,,1.28,1.27,1.2,1.11,0.99,0.97,,1.37,1.21,1.18,1.06,1.05,,,,,,1.0,0.94,0.97,1.04,,,1.5,1.4
WSPM_1_0,1.41,1.32,1.24,1.06,0.99,,1.28,1.35,1.32,1.15,1.03,1.01,,1.45,1.24,1.23,1.12,1.1,,1.15,1.34,1.13,,1.07,1.0,,,,,1.56,1.38
WSPM_1_1,1.39,1.47,1.27,1.09,1.07,,1.43,1.36,1.28,1.2,1.06,1.04,,1.63,1.24,1.29,1.17,1.11,,,1.21,,,1.03,,1.0,,,,1.62,
WSPM_1_2,1.49,1.43,1.3,1.12,1.07,,1.49,1.38,1.29,1.22,,1.07,,1.86,1.27,1.29,1.18,1.16,,,,,,0.96,,,1.0,,,1.64,
WSPM_1_3,1.67,1.76,,,1.28,,1.67,1.66,1.57,1.44,,1.31,,,1.56,,1.42,1.37,,,,,,,,,,1.0,,1.98,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.87,0.88,0.79,0.67,0.64,,0.85,0.85,0.8,0.73,0.66,0.64,,0.91,0.79,0.78,0.71,0.7,,0.82,0.82,0.78,0.73,0.67,0.64,0.62,0.61,0.5,,1.0,0.82
PM10_1,1.08,1.05,0.94,0.81,0.78,,1.03,1.03,0.97,0.9,0.8,0.78,,1.12,0.96,0.94,0.86,0.85,,1.01,1.02,0.96,0.9,0.71,0.73,,,,,1.22,1.0
