,E_0,ENE_0,ESE_0,NE_0,SW_0,SSW_0,S_0,SE_0,SSE_0,N_0,WSW_0,NNE_0,NW_0,NNW_0,W_0,WNW_0,NNE_1,ENE_1,E_1,NNE_2,E_2,SSW_1,SE_1,NE_1,SW_2,SW_1,ESE_1,NW_1,ENE_2,WSW_1,SSW_2,WSW_2,S_2,SSE_1,SW_3,E_3,N_1,S_1,ESE_2,SSW_3,NE_2,E_4,NNW_1,NW_2,SSW_6,N_5,ENE_3,ESE_3,WSW_4,NNW_2,SSW_4,N_4,NW_4,WSW_3,W_1,WNW_1,WSW_5,WNW_2,NE_4,SE_2,SSE_2,N_2,ESE_5,WNW_4,S_3,ESE_4,SSE_3,SE_4,NE_3,NNW_3,N_3,W_2,nan_0,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
NNE_1,0.87,0.91,0.92,0.85,0.98,0.96,0.87,0.79,0.82,0.8,0.89,0.7,0.9,0.81,0.69,0.85,0.58,0.55,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,1.68,1.73,1.37,1.8,1.8,,1.8,,1.8,,1.72,1.2
ENE_1,0.91,0.98,0.92,0.84,0.77,0.88,0.82,0.8,1.14,0.82,0.88,0.6,0.78,0.61,0.83,0.64,0.84,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,1.11,1.71,1.1,1.79,1.79,,1.79,,1.79,,1.71,1.16
E_1,0.97,0.97,0.94,0.89,0.82,0.93,1.07,0.82,0.78,0.8,0.76,0.82,0.81,0.93,0.64,0.7,0.63,,0.55,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.21,1.77,1.1,1.84,1.84,,1.84,,1.84,,1.76,1.01
NNE_2,1.01,0.92,0.93,0.85,0.93,0.88,0.91,0.97,0.94,0.85,0.83,0.83,0.88,0.82,0.75,0.75,0.82,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,,1.84,1.6,1.91,1.91,,1.9,,1.9,,1.82,1.07
E_2,0.99,0.97,0.96,0.95,0.78,1.03,0.89,0.95,1.04,0.93,0.86,0.94,1.07,0.84,0.83,1.23,0.92,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.41,1.92,1.4,1.93,1.93,,1.92,,1.92,,1.84,1.06
SSW_1,1.13,1.06,0.98,0.92,0.94,0.96,0.88,0.97,0.94,0.87,0.81,0.91,0.69,0.67,0.74,0.91,,,,,,0.51,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,1.05,1.86,0.99,1.93,1.93,,1.93,,1.93,,1.84,1.05
SE_1,0.94,0.92,0.96,0.99,1.22,1.06,1.02,0.95,0.88,1.35,1.19,1.22,1.02,,,0.94,,,0.78,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,1.2,1.84,1.02,1.91,1.91,,1.91,,1.91,,1.82,1.2
NE_1,0.91,1.0,0.88,0.96,1.11,1.09,0.78,0.97,0.99,0.84,1.06,0.75,1.62,0.96,1.13,1.68,0.81,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,1.13,1.88,1.63,1.95,1.95,,1.95,,1.95,,1.87,1.23
SW_2,0.99,1.02,1.02,1.03,0.69,0.88,0.91,1.07,0.85,0.79,0.63,1.14,0.8,0.88,0.55,0.74,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,0.93,1.9,0.88,1.97,1.97,,1.97,,1.97,,1.89,1.15
SW_1,1.08,1.1,1.02,0.91,0.99,1.09,1.11,1.02,1.38,0.7,0.7,0.6,0.75,0.64,0.73,0.78,,,,,,0.75,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,1.4,1.9,1.05,1.98,1.98,,1.98,,1.98,,1.89,1.24
ESE_1,0.93,0.98,0.98,0.89,0.89,0.81,0.96,0.82,0.89,1.16,0.97,1.06,0.83,0.76,1.06,1.06,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,0.98,1.9,0.92,1.99,1.99,,1.99,,1.99,,1.9,1.24
NW_1,0.83,1.04,1.12,1.01,1.26,1.07,1.08,,1.25,0.76,0.75,0.92,0.68,0.8,0.74,0.72,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,,1.96,,2.04,2.04,,2.03,,2.03,,1.95,1.17
ENE_2,1.0,1.22,1.01,1.16,1.03,0.77,0.91,1.11,,1.03,0.82,0.73,,0.62,0.85,0.58,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,1.17,1.98,1.12,2.05,2.05,,2.05,,2.05,,1.96,1.19
WSW_1,0.97,1.17,1.14,0.95,0.95,0.84,1.0,1.09,1.17,0.95,0.92,0.93,0.63,0.78,0.81,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,,1.99,0.86,2.07,2.07,,2.07,,2.07,,1.98,1.17
SSW_2,1.32,1.17,0.8,,0.93,0.92,0.9,0.99,0.85,,0.7,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,2.0,1.14,2.08,2.08,,2.08,,2.08,,1.99,1.21
WSW_2,1.1,1.22,1.11,1.1,0.83,0.85,1.01,1.15,0.86,1.43,1.12,0.97,1.06,,,0.82,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,2.0,0.99,2.08,2.08,,2.08,,2.08,,1.99,1.17
S_2,1.1,1.64,1.18,1.16,1.0,0.96,0.88,0.86,1.02,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,,1.99,0.88,2.14,2.14,,2.13,,2.13,,2.04,1.28
SSE_1,1.08,1.07,1.09,1.09,1.08,1.36,0.94,0.94,0.83,0.86,,,,,0.98,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,1.23,2.17,,2.14,2.14,,2.13,,2.13,,2.04,1.41
SW_3,0.89,1.34,1.02,1.2,0.93,1.1,1.14,0.79,0.66,,1.31,,,,,,,,,,,0.66,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,1.39,2.06,1.22,2.14,2.14,,2.14,,2.14,,2.05,1.19
E_3,1.24,1.0,0.89,0.96,0.99,,,0.89,1.27,1.04,0.82,1.02,,0.98,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,1.4,2.06,1.17,2.14,2.14,,2.14,,2.14,,2.05,1.07
N_1,1.1,1.16,1.17,1.22,,,,,,0.71,,0.82,0.9,0.75,,,0.85,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,,2.2,,2.29,2.29,,2.29,,2.29,,2.19,1.49
S_1,1.03,1.31,0.85,1.6,0.9,0.91,0.78,0.77,0.89,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,1.2,2.17,1.3,2.16,2.16,,2.16,,2.16,,2.07,1.34
ESE_2,0.99,0.95,0.94,,0.92,1.17,0.86,0.91,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,1.09,2.15,1.18,2.06,2.06,,2.06,,2.06,,1.97,1.06
SSW_3,1.3,1.4,1.0,1.16,1.01,1.26,0.99,,0.67,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,1.34,2.11,,2.19,2.19,,2.19,,2.19,,2.09,1.11
NE_2,1.32,1.0,0.93,1.13,1.23,0.92,,,,,,1.18,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,,2.18,,2.26,2.26,,2.26,,2.26,,2.16,1.2
E_4,1.01,1.0,0.86,0.97,,,,0.87,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,,1.94,1.02,2.26,2.26,,2.26,,2.26,,2.16,1.45
NNW_1,1.2,1.41,,0.85,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,,2.36,,2.45,2.45,,2.44,,2.45,,2.34,1.58
NW_2,1.54,1.12,,0.87,,,,,,1.22,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,2.22,,2.3,2.3,,2.3,,2.3,,2.2,1.15
SSW_6,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,,2.28,,2.37,2.37,,2.37,,2.37,,2.26,1.35
N_5,1.1,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,2.3,,2.39,2.39,,2.39,,2.39,,2.28,1.47
ENE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,2.32,,2.41,2.41,,2.41,,2.41,,2.3,1.37
ESE_3,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,2.32,,2.41,2.41,,2.41,,2.41,,2.3,
WSW_4,,,,,1.03,,1.01,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,2.32,,2.34,,2.43,2.43,,2.43,,2.43,,2.33,
NNW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,,2.39,,2.49,2.49,,2.48,,2.48,,2.38,1.41
SSW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,,2.39,,2.49,2.49,,2.48,,2.48,,2.38,
N_4,1.25,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,2.39,,2.49,2.49,,2.48,,2.48,,2.38,
NW_4,,,,,,,,,,,,,0.89,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,2.42,,2.52,2.52,,2.51,,2.51,,2.4,1.43
WSW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSW_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESE_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM2.5_0,0.53,0.53,0.51,0.51,0.48,0.48,0.47,0.46,0.47,0.46,0.45,0.44,0.45,0.44,0.41,0.43,0.44,0.46,0.43,0.43,0.46,0.42,0.43,0.43,0.42,0.41,0.42,0.44,0.44,0.4,0.41,0.42,0.46,0.39,0.47,0.43,0.43,0.39,0.4,0.41,0.38,0.45,0.42,0.42,0.43,0.42,0.39,0.42,0.46,0.41,0.37,0.35,0.43,0.38,0.33,0.42,0.44,0.41,0.4,0.38,0.35,0.46,0.38,0.38,0.37,0.3,0.26,,0.35,0.36,0.35,0.33,0.22,0.98,0.69,0.99,0.63,1.02,1.02,0.42,1.02,0.46,1.02,0.37,0.98,0.61
PM2.5_1,0.71,0.69,0.68,0.66,0.65,0.65,0.69,0.7,0.62,0.55,0.62,0.56,0.38,0.44,0.57,0.45,0.48,0.54,0.62,0.63,0.57,0.62,0.59,0.48,0.99,0.55,0.49,,0.45,0.6,0.89,0.66,0.83,0.74,0.49,0.6,,0.56,0.54,0.51,,,,,,,,,0.42,,,0.66,,,,,,,,,,,,,,,,,,,,,,1.3,0.72,1.3,0.7,1.35,1.35,,1.35,,1.35,0.33,1.29,0.76
PM10_0,0.53,0.53,0.51,0.5,0.48,0.48,0.47,0.47,0.47,0.46,0.45,0.44,0.45,0.43,0.41,0.42,0.43,0.46,0.43,0.44,0.45,0.42,0.44,0.43,0.43,0.41,0.41,0.44,0.45,0.39,0.41,0.41,0.45,0.39,0.45,0.44,0.41,0.4,0.42,0.44,0.38,0.46,0.43,0.42,0.43,0.42,0.37,0.4,0.43,0.41,0.37,0.38,0.43,0.38,0.33,0.35,0.42,0.41,0.4,0.37,0.34,0.46,0.41,0.37,0.36,0.31,0.34,,0.36,0.35,0.35,0.33,0.22,0.97,0.69,0.98,0.63,1.02,1.02,0.42,1.02,0.48,1.02,0.38,0.97,0.6
PM10_1,0.71,0.7,0.68,0.69,0.67,0.66,0.71,0.68,0.64,0.6,0.67,0.6,0.41,0.49,0.58,0.47,0.56,0.49,0.65,0.57,0.58,0.64,0.53,0.46,0.71,0.86,0.58,,0.39,0.96,1.09,0.85,1.03,0.85,0.68,0.51,,0.49,0.44,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,0.73,1.34,0.71,1.38,1.38,,1.38,0.66,1.38,0.29,1.32,0.77
TEMP_1,0.52,0.52,0.5,0.49,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.43,0.43,0.42,0.4,0.41,0.42,0.44,0.43,0.44,0.44,0.42,0.43,0.42,0.44,0.41,0.41,0.42,0.42,0.4,0.43,0.42,0.41,0.39,0.45,0.43,0.4,0.39,0.42,0.43,0.38,0.42,0.39,0.39,0.43,0.43,0.39,0.39,0.41,0.37,0.4,0.4,0.43,0.38,0.34,0.34,0.41,0.36,0.4,0.36,0.36,0.36,0.39,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.34,0.25,0.96,0.65,0.97,0.6,1.0,1.0,0.42,1.0,0.48,1.0,0.35,0.96,0.59
PRES_0,0.52,0.52,0.5,0.49,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.43,0.43,0.42,0.4,0.41,0.42,0.44,0.43,0.44,0.44,0.42,0.43,0.42,0.44,0.41,0.41,0.42,0.42,0.4,0.43,0.42,0.41,0.39,0.45,0.43,0.4,0.39,0.42,0.43,0.38,0.42,0.39,0.4,0.43,0.43,0.39,0.39,0.41,0.36,0.4,0.4,0.43,0.38,0.34,0.34,0.41,0.36,0.4,0.36,0.36,0.36,0.39,0.37,0.37,0.37,0.37,0.37,0.3,0.36,0.36,0.34,0.27,0.96,0.65,0.97,0.6,1.0,1.0,0.45,1.0,0.48,1.0,0.35,0.96,0.59
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
