,E_0,ENE_0,ESE_0,NE_0,SW_0,SSW_0,S_0,SE_0,SSE_0,N_0,WSW_0,NNE_0,NW_0,NNW_0,W_0,WNW_0,NNE_1,ENE_1,E_1,NNE_2,E_2,SSW_1,SE_1,NE_1,SW_2,SW_1,ESE_1,NW_1,ENE_2,WSW_1,SSW_2,WSW_2,S_2,SSE_1,SW_3,E_3,N_1,S_1,ESE_2,SSW_3,NE_2,E_4,NNW_1,NW_2,SSW_6,N_5,ENE_3,ESE_3,WSW_4,NNW_2,SSW_4,N_4,NW_4,WSW_3,W_1,WNW_1,WSW_5,WNW_2,NE_4,SE_2,SSE_2,N_2,ESE_5,WNW_4,S_3,ESE_4,SSE_3,SE_4,NE_3,NNW_3,N_3,W_2,nan_0,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
NNW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSW_4,,,,,,,22.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSW_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESE_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM2.5_0,0.94,1.02,0.91,1.05,1.02,0.99,0.96,0.93,0.92,1.09,1.07,1.05,1.12,1.12,1.07,1.11,1.12,0.97,0.93,1.13,0.98,1.09,0.87,1.07,0.94,1.11,0.75,1.17,0.92,0.99,1.13,1.14,0.9,0.85,1.11,0.93,1.18,0.82,0.82,0.69,1.18,0.37,1.17,1.18,1.18,1.18,0.98,1.04,0.7,1.18,0.67,0.59,1.18,1.18,1.18,1.08,1.18,1.18,1.18,0.82,1.18,0.91,1.18,1.18,1.18,0.94,,,1.18,1.18,1.18,1.18,0.94,9.43,0.58,12.08,0.68,1.0,0.99,1.18,0.94,1.18,1.0,1.06,0.91,1.08
PM2.5_1,1.75,0.89,2.02,0.75,0.68,0.98,1.21,1.63,1.62,0.6,0.57,0.71,0.18,0.33,0.47,0.42,0.45,1.31,1.38,,1.03,0.37,2.38,0.57,1.62,,2.71,,1.94,1.17,,,1.13,1.73,,1.9,,,1.54,1.9,,1.61,,,,,,,3.6,,3.84,4.44,,,,,,,,,,,,,,,,,,,,,,0.17,30.16,0.24,11.06,0.74,0.8,,1.14,,0.74,,2.46,0.56
PM10_0,0.96,1.01,0.94,1.04,0.99,0.97,0.96,0.92,0.92,1.09,1.04,1.04,1.09,1.08,1.04,1.07,1.1,0.99,1.0,1.09,0.99,1.08,0.92,1.04,0.92,1.09,0.84,1.13,0.99,0.98,1.02,1.1,0.88,0.86,0.88,0.92,1.13,0.77,0.88,1.05,1.14,0.64,1.13,1.14,1.14,1.14,0.84,1.03,1.14,1.14,0.8,0.76,1.14,1.14,1.14,1.14,1.14,1.14,1.14,0.88,1.14,1.1,1.14,1.14,1.14,1.06,0.91,,1.14,1.14,1.14,1.14,0.95,2.75,0.73,9.67,0.71,1.14,1.12,1.14,1.03,1.11,1.14,1.03,0.94,1.04
PM10_1,1.5,0.88,1.67,0.74,0.83,1.2,1.3,1.99,1.7,0.56,0.73,0.66,0.22,0.41,0.57,0.45,0.41,1.16,1.07,0.4,0.86,0.56,2.07,0.74,1.93,0.46,2.77,,1.38,1.19,1.11,,1.37,1.72,2.43,2.09,,1.02,,,,1.97,,,,,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,9.39,0.2,16.96,0.41,0.44,,0.62,,0.41,,1.35,0.66
TEMP_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRES_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.01,1.0,1.0,1.0,0.99,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92,0.97,1.0,1.0,1.0,1.0,1.0,0.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.08,1.07,1.0,1.53,0.61,1.08,1.0,1.1,1.0
DEWP_0,0.4,1.03,,1.1,,,,,,,,1.15,4.7,8.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,,1.48,,0.06,0.06,,0.01,565.46,0.06,,0.04,2.97
RAIN_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,0.87,1.0,1.0,1.0,1.0,1.0,0.84,1.0,1.0,1.0,1.0,1.0,1.0,0.97,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.07,1.0
RAIN_1,0.69,1.45,0.58,1.35,,0.85,,0.96,1.08,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,0.68,,,,,,,,21.31,0.06,2.78
WSPM_0,1.05,1.03,1.04,1.01,1.0,1.0,1.01,1.06,1.01,0.99,1.01,0.99,0.96,0.94,1.02,0.96,1.01,1.08,1.01,0.99,1.04,0.89,1.07,1.0,0.96,0.95,1.08,0.73,0.99,1.1,1.04,1.05,1.04,1.09,0.63,0.94,0.91,1.06,0.99,0.95,0.9,1.03,0.7,0.71,0.94,0.82,0.86,1.06,1.06,0.69,0.86,1.17,,1.09,1.14,0.75,0.71,0.94,,1.12,1.17,1.17,,,1.17,0.94,1.09,0.94,1.0,,1.17,1.08,1.13,0.95,0.98,0.95,1.0,0.85,0.85,1.17,1.01,0.66,0.85,1.01,1.6,0.84
WSPM_1,0.77,0.83,0.8,0.95,0.99,1.0,0.95,0.7,0.93,1.03,0.95,1.08,1.26,1.41,0.91,1.24,0.92,0.55,0.92,1.08,0.75,1.65,0.62,0.99,1.26,1.3,0.53,2.63,1.06,0.42,0.76,0.72,0.76,,3.26,1.34,1.54,0.66,1.07,1.32,1.6,,2.81,2.75,,,1.81,,,2.85,,,4.52,,,2.51,,,,,,,,6.5,,,,,,,,,,1.47,1.1,1.42,1.0,,,,0.97,3.06,,0.93,0.31,3.3
