,ENE_0,E_0,NE_0,ESE_0,SW_0,SE_0,N_0,SSW_0,NW_0,S_0,NNW_0,NNE_0,SSE_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,NW_2,NE_1,E_1,NW_1,SW_1,SW_2,NNE_2,WSW_1,ESE_1,SSW_1,NW_3,NNW_1,SE_1,N_1,ENE_2,SW_3,WSW_2,E_2,NE_2,NNW_2,WNW_1,S_1,SSE_1,SSW_2,NW_4,ESE_2,NE_3,WSW_3,ENE_3,NE_4,WNW_2,SW_4,NE_6,WSW_4,nan_0,E_3,NE_5,S_2,NNW_3,E_4,N_2,SSW_3,W_1,ESE_3,ENE_4,W_2,SE_2,ESE_5,SE_4,N_3,NNW_4,WNW_3,ESE_4,WNW_4,SSW_6,SE_3,N_5,ENE_5,ENE_7,WSW_5,SSW_4,SSE_3,S_3,SSE_2,ENE_6,WNW_5,N_4,WNW_6,SSW_5,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
NNE_1,1.47,1.35,1.37,1.37,1.15,1.04,1.11,1.15,1.43,1.23,1.31,1.02,1.07,1.28,1.33,1.22,0.7,1.01,,0.72,,,,,0.8,,,,,0.94,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,2.5,2.92,2.55,2.74,2.84,2.86,2.7,2.88,2.77,3.24,,2.92,1.93
ENE_1,1.45,1.33,1.38,1.42,1.36,1.23,1.15,1.23,1.34,1.21,1.38,1.09,1.17,1.21,1.47,1.63,1.14,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,2.03,3.02,2.16,2.84,2.76,2.89,2.67,2.87,2.79,3.25,,2.96,2.04
NW_2,1.84,2.42,1.8,3.86,1.69,,1.2,,1.13,1.9,1.15,1.16,,1.25,1.0,1.17,0.91,,0.63,,,0.92,,,,,,,0.88,,,,,,,,,,1.03,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,5.22,3.02,3.55,3.16,2.56,3.83,2.66,4.14,2.65,3.37,,3.28,1.94
NE_1,1.3,1.45,1.46,1.25,1.75,1.29,1.14,1.27,1.52,1.21,1.39,1.19,1.29,1.26,1.4,1.54,1.67,,,0.65,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,2.35,3.14,2.35,3.18,2.75,3.22,2.74,3.16,2.8,3.4,,3.07,2.16
E_1,1.49,1.46,1.38,1.31,1.34,1.24,1.34,1.22,1.42,1.46,1.53,1.12,0.98,1.18,1.25,1.07,0.83,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32,2.03,3.26,1.99,2.91,2.96,2.79,2.89,2.88,3.19,3.42,,3.11,2.21
NW_1,2.07,1.92,1.75,2.18,1.64,1.51,1.14,2.12,1.13,1.64,1.0,1.52,2.0,1.31,1.05,1.3,0.91,,1.02,,,0.64,,,,,,,,1.1,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,,3.12,4.58,3.16,2.77,3.45,2.71,3.89,2.75,3.46,,3.25,1.99
SW_1,1.81,1.93,1.56,1.96,1.47,1.62,1.58,1.48,1.65,2.26,1.63,1.56,1.96,1.08,1.78,1.06,,,,,,,0.64,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,2.24,3.43,1.89,3.25,3.13,3.08,3.38,3.14,3.23,3.65,,3.42,2.41
SW_2,1.66,1.87,2.07,1.79,1.28,1.36,2.29,1.75,1.31,1.49,1.38,1.37,1.41,1.22,1.65,1.02,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,2.15,3.54,1.9,3.13,3.09,2.97,3.65,2.99,3.49,3.66,,3.33,2.29
NNE_2,1.69,2.1,1.56,1.98,1.78,2.16,1.29,1.4,1.28,,1.36,1.28,1.36,1.7,1.49,1.46,1.88,,,1.35,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52,3.81,3.48,3.98,3.38,3.52,3.3,3.51,3.43,3.22,3.89,,3.5,1.98
WSW_1,1.2,1.54,1.12,1.4,1.59,1.62,1.61,1.91,2.06,2.36,1.53,1.29,1.82,1.58,1.82,1.14,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74,1.99,3.74,1.92,3.62,3.06,3.29,3.57,3.11,3.46,3.89,,3.56,3.6
ESE_1,1.48,1.44,1.3,1.54,2.0,1.31,1.67,1.52,1.07,2.19,1.24,1.53,1.44,2.58,1.78,2.17,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,2.21,3.55,2.45,3.36,3.1,3.28,3.5,3.19,3.81,3.91,,3.55,2.66
SSW_1,2.01,2.02,1.9,1.93,1.37,1.91,1.87,1.44,1.91,1.41,1.89,1.79,1.75,1.27,2.29,1.13,,,,,,,0.97,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61,2.98,3.64,2.5,3.37,3.57,3.26,4.46,3.18,3.93,3.96,,3.63,2.67
NW_3,2.64,,2.04,,,1.74,1.19,,1.36,,1.1,1.57,,2.13,1.22,2.19,,,0.94,,,1.09,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69,,3.59,5.63,4.01,3.1,4.4,3.01,6.56,3.0,4.05,,4.06,2.27
NNW_1,2.73,2.79,1.97,2.69,2.49,,1.23,2.69,1.21,,1.06,1.49,,2.0,1.38,1.21,1.08,,,,,0.77,,,,,,,,0.61,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66,,3.64,5.71,4.13,3.2,4.89,3.1,4.89,3.08,4.08,,4.0,2.36
SE_1,1.48,1.61,1.48,1.56,2.45,1.72,1.54,2.34,,1.72,,2.1,1.39,2.41,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,2.9,3.78,2.99,3.63,3.76,3.37,3.69,3.43,4.0,4.15,,3.77,3.72
N_1,2.08,1.92,1.8,2.15,3.27,,1.24,1.87,1.38,2.82,1.43,1.29,,2.16,1.51,0.96,1.65,,,,,,,,,,,,,0.97,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,4.05,3.73,3.78,3.65,3.27,3.82,3.15,4.12,3.35,4.15,,3.81,2.5
ENE_2,2.05,1.77,1.86,1.8,2.13,1.49,1.92,1.29,1.46,1.78,1.8,1.22,2.23,1.54,,,,,,0.84,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76,2.61,3.79,3.07,3.7,3.69,3.66,3.39,3.63,3.59,4.15,,3.79,2.23
SW_3,2.58,2.16,2.18,2.03,1.39,1.33,,1.88,2.33,1.49,,,,1.46,,1.04,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,3.82,3.76,2.2,3.79,3.46,3.57,4.27,3.43,3.82,4.21,,3.69,2.72
WSW_2,1.51,1.5,1.44,1.42,1.81,2.43,1.69,2.38,1.81,2.24,2.05,1.43,1.94,1.69,1.51,1.29,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,,4.03,2.5,3.65,3.06,3.69,3.98,3.47,4.45,4.37,,3.82,3.47
E_2,1.88,1.71,2.04,1.77,1.91,1.47,2.41,1.52,,1.68,2.24,2.82,1.83,1.35,,,,1.2,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14,2.66,4.27,2.73,3.67,3.76,3.59,3.93,3.68,3.92,4.37,,3.98,3.05
NE_2,1.8,2.02,1.73,1.51,2.64,1.59,1.48,1.86,1.97,1.54,1.39,1.59,,2.96,2.51,1.9,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95,2.91,3.87,3.03,3.77,3.48,3.99,3.56,4.02,3.73,4.37,,3.99,2.81
NNW_2,2.61,2.26,1.81,2.28,1.44,,1.43,2.12,1.49,,1.42,1.37,,,1.44,1.38,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03,,3.97,,4.28,3.22,4.89,3.34,5.74,3.4,4.41,,4.09,2.57
WNW_1,3.14,3.31,2.41,,1.45,,1.73,,1.46,,1.39,2.26,,1.61,1.5,1.83,,,,,,1.23,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98,,4.01,4.63,3.94,3.72,4.07,3.63,4.45,3.34,4.46,,4.36,2.59
S_1,2.28,1.83,2.03,1.77,1.83,1.79,,1.7,,1.44,,1.96,1.56,1.54,,1.79,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39,3.11,4.43,3.4,3.88,4.08,4.0,4.05,3.77,4.03,4.54,,4.13,3.25
SSE_1,2.22,1.94,2.61,1.97,2.06,1.5,2.46,1.56,,1.79,,1.91,1.42,1.42,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,2.76,4.48,2.48,3.85,3.92,3.83,4.91,3.79,4.09,4.57,,4.16,3.98
SSW_2,1.91,1.71,2.42,1.78,1.93,1.65,,1.94,,1.37,,,1.77,2.13,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35,2.95,4.31,2.92,4.13,4.72,3.73,4.8,3.72,4.86,4.67,,4.21,3.8
NW_4,,,2.25,,,,1.83,,1.28,,1.31,,,,2.28,1.04,,,1.27,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,4.3,5.21,4.68,3.99,4.97,3.86,6.08,3.63,4.68,,5.15,2.6
ESE_2,2.38,2.24,1.84,2.22,2.16,1.76,,1.92,,1.43,,,1.72,,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67,3.19,4.44,3.91,4.17,4.57,4.12,3.93,4.0,4.16,4.76,,4.33,2.8
NE_3,2.31,2.91,2.38,,2.36,1.98,,,,,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,3.41,4.18,3.82,4.31,3.92,4.59,3.73,4.26,4.66,4.84,,4.49,2.58
WSW_3,1.16,1.41,,1.61,2.28,,,3.32,2.96,2.62,,,2.06,1.94,1.56,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76,3.19,4.73,2.57,4.62,3.38,4.06,3.98,4.18,4.45,4.86,,4.4,3.76
ENE_3,1.96,2.08,1.79,2.04,,1.31,2.28,2.19,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22,2.69,4.99,2.59,4.57,3.55,4.72,3.66,4.63,4.13,4.86,,4.42,3.08
NE_4,1.96,,2.75,,,1.7,3.4,,1.45,,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66,3.71,4.47,3.7,5.43,3.83,5.35,3.89,6.19,3.89,4.92,,4.45,3.14
WNW_2,2.92,,2.29,,,,2.57,,2.02,,1.54,1.53,,1.44,1.76,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61,,4.6,4.04,5.12,4.03,5.19,4.11,5.68,3.9,5.1,,4.72,2.94
SW_4,,,2.62,,,,,2.19,,,,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66,3.94,4.62,3.38,4.82,4.26,4.76,4.29,4.75,4.62,5.1,,4.67,3.21
NE_6,,,,,2.64,1.91,,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,3.61,4.86,4.37,4.37,3.91,5.6,4.0,4.79,3.79,5.1,,4.5,3.03
WSW_4,,1.29,,1.55,2.02,,,2.84,,1.84,,,,1.99,1.53,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81,2.64,4.85,2.63,4.24,3.45,4.37,4.76,4.4,6.16,5.11,,4.19,4.03
nan_0,2.39,2.34,1.99,2.41,3.31,2.25,2.07,,2.18,,,2.22,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,3.29,4.9,3.35,5.04,3.96,5.12,4.23,4.69,4.61,5.2,,4.71,3.2
E_3,2.04,2.52,2.32,2.08,2.15,2.01,1.87,3.2,,2.04,,,,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.31,2.87,5.14,3.06,4.11,4.71,4.35,5.19,4.29,4.97,5.25,,4.78,3.09
NE_5,,,,,,1.63,,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.57,5.78,4.57,6.18,,3.97,,4.03,,4.03,5.31,,5.09,2.91
S_2,3.47,2.67,3.27,2.46,2.53,1.94,,1.62,,1.48,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91,3.9,4.9,2.69,4.5,5.38,4.37,6.21,4.36,5.8,5.4,,4.91,3.65
NNW_3,,,,,,,1.62,,1.7,,1.46,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99,,4.95,,5.03,4.43,5.54,4.3,6.46,4.22,5.46,,5.53,3.0
E_4,1.8,1.81,2.43,1.76,,1.47,,,,,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,3.21,5.65,4.89,5.24,4.68,4.77,5.49,4.77,5.2,5.51,,5.01,3.45
N_2,2.41,2.85,2.52,2.5,,,1.43,,,,1.82,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,5.04,5.09,3.87,5.94,4.27,5.72,3.81,5.39,4.13,5.58,,5.47,3.33
SSW_3,2.79,2.5,,2.72,2.38,2.27,,2.34,,2.44,,,1.36,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17,4.71,4.89,4.79,4.55,,4.54,,4.68,,5.58,,5.06,2.89
W_1,2.03,2.12,1.64,2.23,2.49,,,,2.63,,2.34,,,1.86,2.08,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,5.11,,5.6,4.17,5.04,4.55,4.95,4.37,5.58,,5.1,4.66
ESE_3,2.38,2.45,3.57,2.36,,1.58,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,4.02,5.24,4.44,5.0,5.22,4.42,4.64,4.74,5.37,5.71,,5.04,4.21
ENE_4,2.41,2.72,2.57,2.56,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,6.62,3.54,6.57,3.76,4.97,4.39,,4.25,6.21,4.27,5.74,,5.28,3.39
