,ENE_0,NE_0,E_0,ESE_0,N_0,NW_0,NNW_0,WNW_0,NNE_0,SE_0,SW_0,WSW_0,SSW_0,W_0,NW_2,S_0,SSE_0,NW_1,ENE_1,NE_1,NNE_1,NW_3,E_1,NNW_1,NNW_2,N_1,WSW_1,WNW_1,ENE_2,SW_1,NNE_2,E_4,WSW_2,W_1,NE_2,NNW_3,WNW_2,S_1,NW_4,ENE_4,SSW_1,SE_1,N_2,ENE_6,ESE_2,ESE_1,WNW_5,SW_2,NNW_4,E_2,W_2,SSE_1,NE_3,E_3,WSW_3,ENE_3,ESE_3,N_3,WNW_3,SSW_2,NE_4,ESE_5,S_2,N_5,WNW_4,WSW_4,S_3,SE_2,nan_0,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,RAIN_0,WSPM_0,WSPM_1
NNW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,1.33,,1.0,,1.08,,1.0,,1.0,,3.06
WNW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,1.33,,1.0,,0.81,,1.0,,1.0,,3.06
S_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,0.96,,1.0,,1.08,,1.0,,1.0,1.28,
NW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,,,1.0,,0.84,,1.0,,1.0,,3.61
ENE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,,2.83,1.0,,1.08,,1.0,,1.0,1.13,
SSW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,1.11,,1.0,,0.9,,1.0,,1.0,1.05,
SE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,1.03,,1.0,,0.9,,1.0,,1.0,1.36,
N_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.59,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,0.91,,1.0,,0.81,,1.0,,1.0,,
ENE_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.36,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98,,4.24,1.0,,1.08,,1.0,,1.0,1.36,
ESE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.08,,1.0,,1.0,1.1,
ESE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.08,,1.0,,1.0,1.27,
WNW_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.44,,,,,,,,,,,,,,,,,,,,,,,1.09,,,,1.0,,1.08,,1.0,,1.0,,3.57
SW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.08,,1.0,,1.0,,
NNW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.95,,,,,,,,,,,,,,,,,,,,,1.36,,1.33,,1.0,,1.08,,1.0,,1.0,,
E_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98,,4.24,1.0,,1.08,,1.0,,1.0,1.36,
W_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,1.33,,1.0,,1.08,,1.0,,1.0,1.36,
SSE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.08,,1.0,,1.0,1.36,
NE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,,1.0,,1.08,,1.0,,1.0,,
E_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESE_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM2.5_0,0.82,0.84,0.76,0.79,1.17,1.26,1.28,1.26,0.97,0.9,1.06,1.05,1.09,1.01,1.34,0.94,0.97,1.36,0.73,1.03,0.97,1.36,0.7,1.36,1.36,1.36,0.79,1.36,0.68,1.09,1.07,0.84,1.3,1.36,0.75,1.36,1.36,1.13,1.36,,0.96,1.13,1.02,,,,1.27,,1.36,,1.25,,,,,,,,,,,,,,,,,,,1.31,0.11,1.27,0.17,1.0,,1.02,0.71,1.0,,1.0,0.89,1.3
PM2.5_1,1.5,1.46,1.68,1.56,0.53,0.23,0.22,0.25,1.06,1.27,0.82,0.83,0.78,0.95,,1.18,1.15,,1.82,0.88,1.04,,1.93,,,,1.68,,1.99,,,,,,,,,,,2.65,,,,3.98,,,,,,3.98,,,,,,,,,,,,,,,,,,,,0.11,3.62,0.24,3.46,1.0,,0.94,1.87,0.99,2.93,1.0,1.31,0.13
PM10_0,0.84,0.85,0.78,0.81,1.16,1.21,1.26,1.23,1.01,0.91,1.13,1.03,1.11,1.04,1.25,0.99,0.99,1.31,0.77,1.0,1.01,1.22,0.76,1.33,1.33,1.33,0.77,1.21,0.66,1.11,1.04,0.82,1.33,1.33,0.73,1.33,1.33,1.03,,,0.94,1.11,1.0,,,,,,1.33,,1.33,,1.33,,,,,,,,,,,,,,,,,1.27,0.25,1.28,0.14,1.0,,1.02,0.7,1.0,,1.0,0.91,1.24
PM10_1,1.5,1.46,1.67,1.53,0.52,0.29,0.22,0.26,0.96,1.29,0.6,0.93,0.71,0.85,,1.03,1.07,,1.74,0.94,0.92,,1.8,,,,1.79,,2.12,,,,,,,,,,,2.83,,,,4.24,,,,,,4.24,,,,,,,,,,,,,,,,,,,,0.18,3.43,0.14,3.77,1.0,,0.92,2.0,0.99,2.9,1.0,1.27,0.24
TEMP_0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TEMP_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1,0.99,1.01,0.98,0.98,1.03,1.01,1.03,0.95,1.0,0.97,0.99,0.95,0.97,0.98,1.04,0.99,0.98,1.01,1.04,1.0,1.05,1.07,0.98,1.07,1.07,1.0,1.05,0.98,0.91,1.07,0.96,1.07,0.94,1.07,0.97,1.07,0.86,1.07,0.96,1.07,0.89,0.9,0.81,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,,,,,,,,,,,,,,,,,1.02,0.93,1.02,0.93,1.0,,1.06,0.16,1.0,0.79,1.0,0.99,1.02
PRES_0,1.12,0.84,1.22,1.29,0.67,0.83,0.57,1.67,1.07,1.42,1.16,1.62,1.42,1.32,,1.17,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1.91,0.7,1.98,1.0,,0.16,12.2,0.99,,1.0,1.12,0.68
DEWP_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,0.99,1.0,0.99,1.0,,1.0,0.99,1.0,,1.0,1.0,1.0
DEWP_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77,,3.8,1.0,,0.74,,,234.0,1.0,1.14,
RAIN_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WSPM_0,1.29,1.25,1.28,1.29,0.85,0.49,0.58,0.54,1.13,1.29,1.06,1.12,1.16,1.09,0.21,1.19,1.27,0.23,1.26,1.2,1.15,,1.33,0.29,0.49,0.54,0.99,,1.31,1.08,0.97,1.3,0.9,0.9,1.35,,,1.28,,1.13,1.2,1.35,,1.35,1.1,1.08,,,,1.35,1.35,1.35,,,,,,,,,,,,,,,,,,0.9,1.29,0.92,1.25,1.0,,0.99,1.11,1.0,1.14,1.0,1.24,0.32
WSPM_1,0.18,0.3,0.21,0.18,1.42,2.44,2.18,2.3,0.63,,0.83,0.66,0.55,0.75,3.23,0.47,,3.17,,,0.56,3.46,,3.02,2.43,2.29,1.02,3.36,,,,,,,,3.44,2.49,,3.61,,,,,,,,3.82,,,,,,,,,,,,,,,,,,,,,,,1.28,0.19,1.22,0.28,1.0,,1.02,0.68,1.0,,1.0,0.32,2.91
