,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
PRES_0_1,,,1.74,,,,,,,,2.07,,,,,1.75,,,,1.15,1.25,,,1.02,1.21,0.76,,,,1.37,0.85
PRES_1_3,,,,1.87,1.15,,,,,,,2.14,,0.69,0.81,,1.04,1.55,,0.74,0.94,1.07,1.08,0.76,0.89,0.8,0.7,0.59,,1.22,1.17
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,1.07,0.87,0.57,0.51,0.17,,0.97,0.75,0.9,0.6,,0.29,,1.23,0.53,,,,,0.87,0.72,0.79,0.82,0.61,0.77,0.39,0.24,,,1.01,0.98
DEWP_0_0,0.99,1.21,0.23,0.69,,,0.69,1.0,0.85,0.96,,0.52,,0.66,1.53,,,,,0.67,1.05,0.65,0.44,1.06,1.11,0.98,0.91,0.53,,1.22,0.65
DEWP_1_1,0.73,0.21,1.45,,,,1.09,,0.87,,1.27,,,,,1.59,,,,0.87,1.19,0.47,0.6,0.86,1.09,0.57,0.38,,,1.24,0.82
DEWP_0_2,0.47,1.09,,,1.58,,0.67,1.17,0.71,1.1,,0.84,,,,,1.83,,,0.93,0.56,1.21,,0.96,0.96,0.81,0.69,0.76,,1.18,1.11
DEWP_0_1,0.52,1.28,,1.28,,,0.52,1.3,,,,1.33,,,,,,1.88,,0.93,0.79,0.85,0.78,0.95,0.87,0.93,1.01,0.81,,1.25,0.97
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.02,1.02,0.74,0.38,0.38,,0.9,0.9,0.84,0.69,0.7,0.39,,1.04,0.73,0.74,0.65,0.62,,1.44,0.51,,,0.37,0.82,0.27,,,,1.14,0.91
WSPM_0_1,0.88,0.94,0.97,0.53,0.3,,0.94,0.86,0.77,0.55,0.77,0.55,,0.88,0.92,1.0,0.39,0.52,,0.24,1.44,,,0.76,1.01,0.62,0.44,,,1.19,0.65
WSPM_0_3,0.9,1.04,0.63,0.5,0.94,,0.9,0.98,0.87,0.7,,0.69,,1.06,0.7,0.43,0.97,0.66,,,0.29,1.56,,0.41,0.64,0.39,,,,1.03,1.18
WSPM_0_4,1.16,0.79,0.65,1.11,,,1.06,0.64,1.06,0.81,,0.8,,1.26,0.62,0.66,,0.71,,,,,1.72,0.36,0.57,,,,,1.08,1.24
WSPM_0_0,1.06,1.05,0.96,0.74,0.69,,1.01,0.9,0.98,0.99,0.82,0.55,,0.91,1.16,0.92,0.8,0.76,,0.58,0.81,0.44,,1.86,1.76,1.12,0.8,,,1.35,0.86
WSPM_1_0,1.2,0.99,1.06,0.69,0.62,,1.04,0.95,1.14,0.85,0.82,0.55,,1.05,1.15,1.03,0.69,0.61,,0.64,1.19,0.59,0.51,1.62,1.67,0.76,0.62,,,1.39,0.99
WSPM_1_1,1.14,1.25,0.8,0.64,0.79,,1.05,1.1,0.95,1.01,0.69,0.69,,1.11,1.26,0.83,0.95,0.95,,1.01,0.84,0.67,,1.45,0.99,2.16,,,,1.44,
WSPM_1_2,1.16,1.25,0.58,0.83,0.68,,1.12,1.11,0.98,0.92,,0.74,,0.97,1.29,0.58,0.86,1.23,,,0.67,,,1.05,0.72,,2.31,,,1.44,
WSPM_1_3,0.97,1.37,,,1.65,,1.07,1.23,0.92,1.23,,1.09,,,1.25,,1.5,1.48,,,,,,1.04,,,,3.05,,1.62,0.78
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.82,0.84,0.75,0.53,0.48,,0.78,0.76,0.79,0.62,0.58,0.49,,0.83,0.8,0.73,0.57,0.58,,0.76,0.84,0.61,0.55,0.81,0.9,0.66,0.59,0.42,,1.07,0.57
PM10_1,1.06,0.99,0.42,0.68,0.69,,1.0,0.89,0.73,0.71,0.4,0.66,,1.12,0.55,0.55,0.74,0.64,,0.86,0.58,1.03,0.94,0.37,0.53,0.18,,,,0.8,1.42
