,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
DEWP_0_0,1.16,1.04,2.39,0.93,,,1.41,1.18,1.1,0.89,,1.0,,1.32,0.84,,,,,1.19,1.05,1.16,1.17,0.73,0.61,0.71,0.74,0.6,,1.41,1.14
DEWP_1_1,1.39,1.62,0.88,,,,1.1,,1.03,,0.71,,,,,0.82,,,,1.17,1.0,1.5,1.2,0.69,0.56,0.71,0.98,,,1.44,1.11
DEWP_0_2,2.08,1.47,,,0.7,,1.71,1.3,1.53,1.11,,0.87,,,,,0.79,,,1.43,1.5,1.12,,0.87,0.75,0.81,0.91,0.54,,1.74,1.22
DEWP_0_1,1.93,1.38,,0.87,,,1.63,1.29,,,,0.79,,5.32,2.17,,,0.77,,1.47,1.4,1.35,1.19,0.8,0.73,0.78,0.77,0.64,,1.73,1.33
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.08,1.12,1.12,0.94,1.09,,0.99,1.12,1.05,0.96,0.82,0.86,,1.16,1.14,1.08,0.93,0.91,,0.86,1.63,0.94,,0.63,0.64,0.51,0.39,,,1.34,0.9
WSPM_0_1,1.14,1.11,0.97,1.0,1.24,,1.09,1.17,0.99,1.12,0.83,0.91,,1.28,0.93,0.94,1.28,0.99,,0.89,0.85,1.24,1.58,0.72,0.49,0.76,0.83,,,1.32,1.04
WSPM_0_3,1.17,1.24,1.33,1.11,0.72,,1.09,1.17,1.12,1.11,,0.87,,1.27,1.2,1.4,0.89,1.04,,3.23,1.61,0.83,,0.79,0.74,0.81,,,,1.48,0.93
WSPM_0_4,1.29,1.47,1.32,0.84,,,1.18,1.51,1.11,1.22,,0.84,,1.33,1.33,1.41,,1.13,,,1.5,,0.8,0.99,0.93,1.0,,,,1.66,1.04
WSPM_0_0,1.74,1.55,1.47,1.27,1.09,,2.03,1.71,1.38,1.22,1.16,1.36,,1.96,1.36,1.52,1.2,1.34,,1.98,1.34,1.48,1.67,0.77,0.68,0.89,0.92,,,1.85,2.22
WSPM_1_0,1.76,1.6,1.56,1.42,1.34,,1.85,1.79,1.54,1.42,1.34,1.47,,1.99,1.37,1.55,1.45,1.62,,1.59,1.43,1.97,2.06,0.91,0.78,1.23,1.12,,,1.99,1.9
WSPM_1_1,1.8,1.61,1.69,1.56,1.64,,2.37,1.74,1.61,1.56,1.22,1.39,,2.51,1.38,1.8,1.57,1.32,,3.22,1.16,2.0,2.08,0.93,0.79,0.74,1.96,,,2.11,2.61
WSPM_1_2,2.06,1.54,2.26,1.43,1.47,,2.38,1.73,1.73,1.59,,1.4,,3.05,1.4,2.21,1.55,1.26,,5.28,1.41,,,0.79,0.92,0.61,0.71,,,2.16,5.44
WSPM_1_3,2.7,2.65,,,1.32,,2.48,2.43,2.08,1.89,,1.68,,,2.14,,1.65,1.58,,,,,,1.33,0.8,,,0.63,,2.84,2.91
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.83,0.81,0.76,0.68,0.66,0.78,0.82,0.86,0.73,0.72,0.63,0.66,0.78,0.93,0.74,0.76,0.72,0.68,0.78,0.78,0.74,0.79,0.77,0.5,0.42,0.49,0.54,0.44,0.78,0.97,0.77
PM10_1,1.09,1.15,1.24,0.83,0.78,,1.0,1.09,1.06,1.06,0.97,0.73,,1.15,0.99,1.21,0.91,0.93,,1.12,1.16,0.95,0.87,0.5,0.51,0.45,,,,1.43,0.86
