,ENE_0,E_0,NE_0,ESE_0,SW_0,SE_0,N_0,SSW_0,NW_0,S_0,NNW_0,NNE_0,SSE_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,NW_2,NE_1,E_1,NW_1,SW_1,SW_2,NNE_2,WSW_1,ESE_1,SSW_1,NW_3,NNW_1,SE_1,N_1,ENE_2,SW_3,WSW_2,E_2,NE_2,NNW_2,WNW_1,S_1,SSE_1,SSW_2,NW_4,ESE_2,NE_3,WSW_3,ENE_3,NE_4,WNW_2,SW_4,NE_6,WSW_4,nan_0,E_3,NE_5,S_2,NNW_3,E_4,N_2,SSW_3,W_1,ESE_3,ENE_4,W_2,SE_2,ESE_5,SE_4,N_3,NNW_4,WNW_3,ESE_4,WNW_4,SSW_6,SE_3,N_5,ENE_5,ENE_7,WSW_5,SSW_4,SSE_3,S_3,SSE_2,ENE_6,WNW_5,N_4,WNW_6,SSW_5,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
NNW_0,1.2,1.26,1.18,1.04,1.07,1.16,1.05,0.95,1.04,0.96,1.0,0.96,1.07,1.0,0.95,0.84,0.72,0.77,0.74,,,0.8,,,0.61,,,,0.72,0.94,,0.6,,,,,,0.61,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,1.87,1.97,1.83,1.8,1.81,1.84,1.78,1.89,1.76,2.11,,1.99,1.49
NNE_0,1.24,1.23,1.21,1.06,1.04,0.93,1.01,0.88,1.03,0.82,1.03,1.0,0.9,0.97,0.93,0.98,0.82,0.94,0.89,0.73,0.92,0.62,,,0.73,,,,,0.59,,0.87,0.73,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.49,1.97,1.54,1.78,1.85,1.83,1.78,1.85,1.76,2.12,,1.98,1.32
SSE_0,1.26,1.29,1.34,1.28,0.96,1.05,1.21,0.99,1.06,1.02,0.92,1.17,1.0,0.88,0.88,0.83,1.1,0.73,,,1.23,,0.5,,,,0.64,0.53,,,0.66,,,,,,,,,0.58,0.61,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,1.39,2.03,1.42,1.86,1.71,1.81,1.83,1.81,1.83,2.12,,2.01,1.51
WSW_0,1.15,1.16,1.09,1.14,1.11,1.14,1.14,1.17,1.05,1.16,0.97,0.99,1.19,1.0,0.9,0.87,0.76,1.08,,,,0.89,0.88,0.74,,0.56,,0.84,,,,,,0.69,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,1.41,2.03,1.42,1.88,1.79,1.82,1.88,1.79,1.87,2.14,,2.04,1.61
WNW_0,1.28,1.28,1.21,1.21,1.08,1.25,1.14,1.12,1.08,1.15,1.03,1.07,1.13,1.1,1.0,1.07,0.63,,0.76,,,0.79,,,,0.59,,,0.82,0.61,,,,,,,,0.64,0.49,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,1.91,2.04,1.79,1.92,1.88,1.93,1.84,1.96,1.86,2.21,,2.11,1.54
W_0,1.1,1.12,1.02,1.18,1.25,1.15,1.22,1.25,1.1,1.27,1.14,0.98,1.24,1.17,0.95,1.0,0.67,,,,,0.88,1.14,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,1.49,2.19,1.55,2.03,1.92,1.97,1.95,1.93,1.95,2.3,,2.18,1.81
NNE_1,1.61,1.38,1.5,1.59,1.07,0.99,1.29,,1.57,1.16,1.38,1.21,0.97,1.42,1.46,1.33,1.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,1.93,2.5,1.93,2.27,2.29,2.31,2.19,2.33,2.2,2.66,,2.48,1.81
ENE_1,1.58,1.46,1.55,1.68,0.95,1.24,1.24,1.56,1.27,1.07,1.15,1.11,1.14,0.92,,1.58,1.11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,1.89,2.49,2.07,2.27,2.28,2.3,2.26,2.28,2.28,2.67,,2.51,1.84
NW_2,1.4,1.69,1.71,,1.27,,1.1,,1.42,,1.53,1.22,,1.15,1.26,1.06,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,,2.56,3.14,2.26,2.3,2.6,2.32,2.54,2.34,2.76,,2.48,2.0
NE_1,1.45,1.51,1.55,1.37,,1.27,1.33,1.48,1.39,1.01,1.13,1.31,,0.9,,1.9,,,,1.0,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,1.99,2.62,1.96,2.43,2.31,2.4,2.33,2.38,2.33,2.77,,2.6,1.94
E_1,1.67,1.79,1.46,1.54,1.18,1.48,1.3,1.15,1.3,1.34,,1.04,0.72,0.9,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,1.82,2.68,1.77,2.4,2.36,2.38,2.31,2.4,2.31,2.78,,2.64,1.94
NW_1,2.49,2.12,2.01,1.77,1.6,,1.25,,1.22,,1.26,1.78,,1.29,1.34,1.17,,,,,,1.0,,,,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,2.65,3.07,2.4,2.4,2.5,2.38,2.75,2.37,2.82,,2.75,2.01
SW_1,1.52,1.84,2.02,1.7,1.64,1.49,,1.6,1.1,2.34,,,1.87,1.25,,0.95,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,2.03,2.87,1.82,2.69,2.4,2.51,2.6,2.57,2.53,2.94,,2.8,2.27
SW_2,1.83,1.47,1.92,1.65,1.58,0.99,,2.17,,1.5,,,1.75,1.36,,1.05,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,1.78,2.87,1.68,2.61,2.35,2.5,2.62,2.38,2.66,2.95,,2.77,2.22
NNE_2,1.48,1.91,1.61,1.5,,,1.59,,1.69,,1.78,1.53,,,1.47,,,,,1.28,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,2.84,2.85,2.89,2.66,2.79,2.64,2.64,2.75,2.51,3.1,,2.91,1.79
WSW_1,0.97,1.56,,1.28,1.79,1.28,0.9,1.96,2.06,2.44,1.32,,2.01,1.65,1.62,1.21,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,1.59,3.01,1.8,2.9,2.38,2.64,2.75,2.48,2.78,3.1,,2.89,3.08
ESE_1,1.44,1.55,1.26,1.62,,1.56,,1.42,,2.85,,1.52,1.46,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,1.95,2.82,2.23,2.81,2.27,2.67,2.59,2.7,2.7,3.11,,2.93,2.25
SSW_1,2.23,1.97,1.7,2.32,1.58,1.83,,1.69,,1.77,,,1.87,1.21,,1.04,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,2.44,2.97,2.01,2.81,2.39,2.76,2.84,2.63,2.85,3.15,,3.01,2.47
NW_3,,,1.89,,,,1.56,,1.52,,1.45,,,,1.32,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,,2.95,3.2,2.66,2.72,3.13,2.56,,2.64,3.21,,3.33,2.22
NNW_1,2.16,2.5,2.03,,,,1.34,,1.46,,1.1,1.5,,,1.84,1.41,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,,2.99,3.27,2.91,2.67,3.33,2.63,3.61,2.66,3.23,,3.3,2.28
SE_1,1.23,1.62,,1.96,,1.97,,3.0,,1.71,,,1.62,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07,2.56,3.13,2.46,2.9,2.71,2.8,2.67,2.83,2.92,3.27,,3.05,2.91
N_1,2.31,1.93,1.98,1.87,,,1.45,,1.55,,1.69,1.29,,,,,1.78,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99,3.0,2.97,2.93,2.85,2.73,2.8,2.73,3.04,2.71,3.27,,3.04,2.35
ENE_2,2.03,1.96,2.03,1.42,,1.41,1.95,,,,1.55,1.51,,,,,,,,0.95,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,2.26,2.98,2.46,2.8,2.9,2.82,2.68,2.76,2.78,3.27,,3.14,1.72
SW_3,,,,,1.44,1.41,,1.97,,,,,,1.49,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14,2.28,3.12,2.01,3.05,2.57,2.83,2.99,2.64,3.0,3.31,,2.79,2.53
WSW_2,,,,,1.86,,1.83,2.83,,2.23,,,,1.89,,1.24,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,,3.3,,3.0,2.21,2.95,2.95,2.84,3.24,3.42,,3.0,3.08
E_2,1.84,1.51,2.06,1.93,,1.6,,,,1.43,,,1.84,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,2.21,3.27,2.38,2.96,2.79,2.82,2.93,2.95,2.79,3.42,,3.23,2.52
NE_2,1.72,1.69,1.97,1.48,,,1.49,,1.52,,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,2.36,3.18,2.47,2.73,2.89,2.95,2.87,3.0,2.94,3.43,,3.23,2.44
NNW_2,,,1.88,,,,1.6,,1.74,,1.54,,,,1.61,1.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,,3.19,,3.02,2.64,3.04,2.89,3.63,2.92,3.44,,3.29,2.53
WNW_1,,,2.1,,,,1.53,,1.8,,1.44,,,1.31,1.98,1.99,,,,,,1.51,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,,3.14,,2.98,2.9,3.21,2.92,3.18,2.82,3.47,,3.41,2.34
S_1,2.1,1.79,,1.94,1.89,1.66,,1.94,,1.67,,,1.83,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,2.58,3.44,2.63,3.12,2.87,3.06,3.12,3.07,2.78,3.53,,3.34,2.66
SSE_1,2.34,1.51,,2.17,2.08,1.82,,1.67,,1.91,,,1.61,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53,2.23,3.56,2.19,3.15,2.68,2.97,3.23,3.07,2.98,3.55,,3.35,3.2
SSW_2,,,,1.59,2.15,1.59,,2.03,,1.49,,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,2.6,3.54,2.63,3.3,3.17,3.06,3.17,2.95,3.39,3.61,,3.2,3.22
NW_4,,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,3.4,3.16,3.34,3.14,3.34,2.95,3.42,3.08,3.59,,3.89,2.53
ESE_2,2.54,2.44,1.95,2.16,,1.64,,,,2.05,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35,2.73,3.42,3.3,3.17,3.29,3.17,2.99,3.23,2.99,3.67,,3.42,2.76
NE_3,2.14,2.19,2.39,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51,2.51,3.41,2.63,3.03,3.13,3.21,3.16,3.21,3.29,3.72,,3.44,2.5
WSW_3,,,,,2.47,,,,,,,,,2.05,1.89,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74,2.23,3.67,2.14,3.77,2.54,3.1,3.33,3.18,3.4,3.74,,3.27,3.81
ENE_3,1.48,2.34,1.88,1.66,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63,2.27,3.72,2.27,3.47,3.02,3.37,3.0,3.39,3.14,3.68,,3.53,2.77
NE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41,2.8,3.45,2.96,3.28,3.17,3.25,3.2,3.51,3.2,3.77,,3.43,2.54
WNW_2,,,,,,,,,2.29,,1.58,,,,1.85,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,,3.58,2.38,3.68,3.21,3.77,3.3,3.55,3.25,3.89,,2.94,2.91
SW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68,,3.67,2.74,3.38,3.27,3.35,3.3,3.3,3.46,3.89,,3.54,3.03
NE_6,,,,,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,2.91,3.58,3.11,3.26,3.33,,3.38,3.73,3.11,3.89,,3.54,2.54
WSW_4,,,,,2.71,,,,,,,,,2.47,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97,2.26,3.92,2.27,3.39,2.8,3.36,3.36,3.33,4.29,3.9,,2.85,3.6
nan_0,1.93,,1.84,,,2.23,,,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69,2.79,3.7,3.05,4.05,3.27,3.78,3.29,3.46,3.39,4.0,,3.74,2.81
E_3,1.94,2.48,1.77,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,2.6,3.85,2.81,3.26,3.35,3.44,3.38,3.37,3.53,3.99,,3.79,2.29
NE_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61,3.92,3.63,,,3.38,,3.42,,3.42,4.02,,3.97,2.43
S_2,,,,2.73,2.58,1.94,,1.98,,1.82,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,2.81,3.91,,3.54,3.43,3.51,3.57,3.51,3.46,4.07,,3.85,3.05
NNW_3,,,,,,,2.83,,1.97,,1.69,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,3.88,,3.77,3.51,3.55,3.34,3.78,3.5,4.12,,4.62,2.77
E_4,,,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,2.48,4.19,3.35,3.6,3.49,3.58,3.78,3.52,3.7,4.15,,3.86,2.3
N_2,1.83,,2.41,,,,1.64,,,,2.34,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78,3.54,3.92,3.09,4.14,3.57,4.4,3.08,3.77,3.48,4.19,,4.16,3.02
SSW_3,,,,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97,,3.75,,3.64,,3.61,,3.68,,4.19,,3.78,2.91
W_1,,,,,2.67,,,,,,,,,1.76,2.11,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97,,3.99,,3.97,3.2,3.35,3.56,3.38,3.52,4.19,,3.79,3.63
ESE_3,,2.29,,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.89,3.97,3.92,3.02,3.81,4.15,3.34,3.63,3.68,3.63,4.27,,3.92,3.45
ENE_4,2.57,2.88,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.64,3.05,4.56,3.27,,3.61,,3.64,4.05,3.41,4.29,,4.23,2.73
W_2,,,,,,,,,,,,,,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.21,,4.07,,3.58,3.35,3.72,3.66,3.65,3.94,4.31,,4.04,3.93
SE_2,,,,2.94,,,,,,,,,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.44,2.71,4.59,2.82,4.14,3.3,3.67,3.74,3.6,3.74,4.41,,4.17,3.47
ESE_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,4.29,,4.15,,4.23,3.3,4.01,3.7,4.95,3.49,4.64,,3.77,3.56
SE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,4.43,,4.34,,4.54,3.43,4.03,3.97,4.2,3.77,4.67,,4.42,
N_3,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.49,,4.47,,4.11,3.91,,4.02,,4.02,4.73,,3.82,3.16
NNW_4,,,,,,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,4.61,,4.59,,,4.25,,4.13,,4.13,4.86,,4.77,3.41
WNW_3,,,,,,,,,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.49,,4.62,,4.41,3.57,,4.16,,4.09,4.9,,3.88,3.43
ESE_4,,2.4,,,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4.64,,4.62,,4.08,4.12,4.36,3.95,4.13,3.6,4.9,,4.39,4.23
WNW_4,,,,,,,,,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.64,,4.62,,4.26,4.39,4.63,3.76,,4.16,4.9,,3.94,3.31
