,ENE_0,NE_0,E_0,ESE_0,SE_0,N_0,SW_0,NNE_0,NW_0,SSW_0,SSE_0,NNW_0,S_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,E_1,NE_1,NW_2,NW_1,NE_3,ESE_1,SW_1,SW_2,NNE_2,NE_6,NNW_1,WSW_1,SE_1,WNW_1,S_1,WSW_2,ENE_2,N_1,ENE_3,ESE_2,NW_3,nan_0,NE_2,NE_4,E_2,WNW_2,SSE_1,SSW_1,WSW_4,SW_3,NW_4,WNW_3,S_2,WSW_3,ENE_7,SE_4,ENE_4,N_2,W_1,ENE_5,WNW_4,SSW_2,NNW_2,WNW_6,ESE_3,E_3,NNW_3,SSW_3,W_2,ESE_5,S_3,NNW_4,SE_3,N_3,SE_2,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
NW_2,,,,,,,,,1.63,,,1.95,,,1.28,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,,2.81,,2.02,2.66,2.59,2.31,2.47,2.45,3.02,,3.21,1.9
NW_1,,,,,,1.23,,,1.25,,,1.4,,,1.47,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,,2.72,,2.76,2.41,2.6,2.71,2.76,2.35,2.92,,2.81,2.0
NE_3,1.85,2.17,,,,,,1.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,1.98,2.74,2.22,2.43,2.59,2.79,2.41,2.75,,3.06,,3.01,1.84
ESE_1,1.63,1.73,1.52,1.75,1.74,,,,,,1.73,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,1.95,2.71,2.19,2.72,2.62,2.82,2.34,2.78,,3.1,,2.99,
SW_1,,,,,1.41,,1.58,,,1.87,1.47,,1.69,1.42,,1.17,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08,2.23,3.07,1.76,2.8,2.56,2.96,2.28,2.71,2.4,3.14,,3.03,2.13
SW_2,,,,,,,1.6,,,2.37,,,1.47,1.89,,1.45,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.86,2.96,1.77,2.96,2.37,2.82,2.44,2.74,2.93,3.15,,2.98,2.12
NNE_2,1.83,1.86,2.26,,,1.65,,,,,,1.49,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,,2.97,,2.61,2.95,3.08,2.43,3.06,2.38,3.17,,3.0,1.89
NE_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,,2.89,,2.66,2.68,3.02,2.5,3.21,2.26,3.18,,2.88,1.88
NNW_1,,,,,,1.22,,1.43,1.53,,,1.31,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,,2.92,,2.76,2.39,2.79,,,2.5,3.18,,3.26,2.14
WSW_1,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,,3.1,,3.43,2.41,3.04,2.57,2.43,2.63,3.27,,3.16,
SE_1,,,1.52,1.84,1.73,,,,,,1.13,,1.44,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,,3.03,2.37,2.74,2.86,2.85,2.3,2.99,2.82,3.27,,3.16,
WNW_1,,,,,,,,,1.71,,,1.3,,,1.51,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,,3.0,,2.6,2.8,2.82,,3.09,2.4,3.27,,3.58,2.05
S_1,,,,,1.64,,1.97,,,1.53,1.34,,1.28,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,,3.14,,2.99,2.61,3.02,2.78,3.01,,3.27,,3.16,2.06
WSW_2,,,,,,,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,3.23,,2.89,,3.11,2.58,2.6,3.16,3.29,,3.1,2.41
ENE_2,2.1,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31,2.02,3.12,2.29,2.55,2.77,3.06,,2.95,2.43,3.29,,3.17,
N_1,2.53,1.64,2.07,,,1.71,,1.39,,,,1.63,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,2.72,2.91,2.61,2.74,2.7,2.83,2.7,3.05,2.29,3.3,,3.22,
ENE_3,,1.61,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,1.89,2.89,1.96,2.72,2.64,2.89,,3.3,2.61,3.36,,3.28,
ESE_2,,,2.03,1.6,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,2.82,2.99,2.88,3.25,2.97,3.07,2.7,3.32,2.33,3.44,,3.32,2.3
NW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,,3.27,,,3.24,2.93,,,2.68,3.48,,2.6,2.19
nan_0,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,,3.27,3.04,3.49,2.72,2.88,2.96,3.18,,3.48,,3.36,
NE_2,1.95,2.76,2.1,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32,,3.31,,2.57,2.98,3.0,2.67,3.02,3.05,3.53,,3.41,
NE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37,,3.36,,,3.02,3.26,,,2.89,3.58,,3.16,2.44
E_2,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,,3.66,,3.16,3.07,3.31,,3.27,2.54,3.64,,3.51,
WNW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,,3.16,,,3.01,3.31,,,2.76,3.64,,2.64,2.36
SSE_1,,,,,1.43,,,,,,,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61,,3.52,,3.32,,3.66,2.88,3.16,,3.67,,3.54,
SSW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,,3.3,,3.25,,3.76,2.88,3.05,,3.67,,3.54,
WSW_4,,,,,,,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83,,3.73,,3.24,3.03,3.57,,3.35,3.01,3.73,,3.53,
SW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.65,,3.64,,4.12,,4.01,,3.48,,3.88,,3.75,
NW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,3.68,,,3.23,3.57,,,3.16,3.92,,3.57,2.55
WNW_3,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.7,,3.68,,3.52,,3.57,,,3.08,3.92,,,2.55
S_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.6,,3.68,,3.4,,3.99,3.09,3.52,,3.92,,3.79,
WSW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,4.17,,3.98,,,,,,,,3.92,,3.79,
ENE_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.74,,3.72,,,,3.61,,,3.2,3.97,,3.83,
SE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.74,,3.72,,,3.35,3.61,,3.66,,3.97,,3.83,
ENE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.19,,3.25,,3.39,3.66,,3.95,,4.02,,4.56,
N_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.89,,3.87,,,,3.38,,3.7,,4.13,,4.8,2.57
W_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.94,,3.93,,,,3.81,,,3.52,4.19,,4.04,
ENE_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.86,,3.99,,,3.18,3.87,,3.82,,4.25,,3.8,
WNW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,,4.13,,3.82,,,,,3.55,4.4,,,2.86
SSW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99,,,,,,4.4,,4.25,
NNW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,,4.13,,,,4.01,,,3.55,4.4,,,
WNW_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,,4.21,,3.89,,,3.53,,3.62,4.49,,,2.92
ESE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESE_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM2.5_0,0.62,0.61,0.6,0.57,0.52,0.53,0.52,0.52,0.52,0.51,0.49,0.51,0.48,0.48,0.49,0.47,0.41,0.41,0.39,0.41,0.37,0.39,0.32,0.35,0.33,0.32,0.36,0.34,0.35,0.32,0.34,0.34,0.33,0.31,0.3,0.34,0.29,0.33,0.32,0.31,0.31,0.3,0.29,0.31,0.28,0.3,0.26,0.29,0.27,0.28,0.3,0.25,0.29,0.29,0.24,0.24,0.26,0.29,0.24,0.21,0.24,0.24,0.23,,0.23,0.24,0.23,,0.21,0.21,,,,1.0,0.75,1.0,0.75,0.92,0.89,0.97,0.83,0.95,0.86,1.06,0.26,1.02,0.71
PM2.5_1,0.83,0.8,0.83,0.78,0.76,0.65,0.72,0.67,0.57,0.7,0.73,0.57,0.72,0.69,0.51,0.64,0.56,0.51,0.61,0.51,,,0.51,0.45,0.49,,,,,,0.33,,0.41,,0.53,0.37,0.44,0.37,,0.38,,,0.4,,0.43,0.36,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,1.33,1.0,1.26,1.04,1.24,1.19,1.26,1.12,1.26,1.1,1.41,,1.36,0.67
PM10_0,0.62,0.62,0.61,0.57,0.53,0.54,0.52,0.53,0.53,0.5,0.49,0.52,0.48,0.48,0.5,0.47,0.41,0.41,0.38,0.41,0.38,0.39,0.34,0.35,0.32,0.32,0.35,0.35,0.35,0.32,0.33,0.35,0.33,0.31,0.32,0.35,0.3,0.34,0.32,0.31,0.3,0.3,0.29,0.31,0.29,0.27,0.27,0.27,0.28,0.28,0.29,0.26,0.29,0.29,,0.24,0.26,0.28,0.26,0.19,0.24,0.24,0.24,0.23,0.23,0.25,0.23,,0.21,0.21,,,,1.0,0.81,1.0,0.77,0.92,0.9,0.97,0.84,0.96,0.86,1.07,0.26,1.03,0.71
PM10_1,0.83,0.79,0.81,0.76,0.73,0.64,0.73,0.65,0.57,0.71,0.7,0.55,0.71,0.69,0.51,0.64,0.56,0.5,0.61,0.5,,,0.43,0.43,0.6,0.58,,,,0.48,0.42,,0.39,,0.44,0.35,0.44,0.34,,0.36,,,0.39,,0.39,0.48,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,1.34,0.95,1.29,1.0,1.23,1.16,1.25,1.09,1.23,1.09,1.38,,1.34,0.67
TEMP_1,0.7,0.68,0.69,0.63,0.57,0.59,0.55,0.6,0.55,0.53,0.52,0.54,0.52,0.5,0.52,0.5,0.46,0.5,0.45,0.43,0.45,0.39,0.4,0.37,0.36,0.34,0.4,0.37,0.34,0.3,0.35,0.36,0.33,0.3,0.37,0.35,0.33,0.33,0.41,0.3,0.36,0.32,0.31,0.26,0.3,0.3,0.3,0.28,,0.26,0.29,0.28,,0.26,0.32,0.26,0.22,,0.28,0.24,,0.26,0.25,,,,0.26,,0.22,,,,,1.09,0.81,1.09,0.83,1.0,0.96,1.05,0.91,1.03,0.91,1.15,0.26,1.11,0.75
TEMP_0,0.67,0.67,0.65,0.63,0.6,0.57,0.61,0.55,0.57,0.59,0.59,0.55,0.59,0.56,0.53,0.54,0.44,0.41,0.43,0.47,0.35,0.41,0.36,0.39,0.38,0.46,0.34,0.36,0.39,0.49,0.37,0.36,0.42,,0.35,0.35,0.35,0.35,0.31,0.37,0.32,0.33,0.33,0.34,0.41,0.37,0.32,,0.33,,0.3,0.32,0.34,0.32,0.27,0.3,0.33,0.3,,,0.33,,,,,,,0.24,,0.23,,,,1.12,0.85,1.11,0.86,1.03,1.0,1.07,0.93,1.07,0.96,1.19,,1.15,0.76
PRES_1,0.64,0.64,0.63,0.6,0.56,0.56,0.52,0.54,0.54,0.51,0.51,0.52,0.49,0.48,0.51,0.48,0.44,0.41,0.41,0.41,0.39,0.39,0.36,0.35,0.32,0.35,0.33,0.35,0.37,0.33,0.33,0.36,0.34,0.32,0.32,0.33,0.32,0.32,0.34,0.36,0.32,0.31,0.29,0.31,0.29,0.29,0.29,0.26,0.28,0.27,0.27,0.28,0.29,0.28,0.27,0.3,0.26,0.26,,,0.25,,,,0.25,,,0.22,,0.21,,,,1.03,0.79,1.03,0.8,0.95,0.93,1.0,0.87,0.99,0.88,1.1,,1.06,0.71
PRES_0,0.75,0.71,0.74,0.69,0.63,0.6,0.66,0.61,0.57,0.63,0.61,0.59,0.63,0.61,0.54,0.57,0.48,0.51,0.5,0.51,0.33,0.41,0.41,0.41,0.46,0.41,0.43,0.4,0.3,0.39,0.4,0.3,0.38,0.4,,0.37,,0.37,,0.32,0.35,0.35,,,0.36,0.37,,,,,0.34,0.32,,0.32,0.32,,,,,0.31,,0.31,0.26,,,,,,0.25,,,,,1.2,0.88,1.2,0.91,1.1,1.04,1.13,1.0,1.14,1.02,1.27,0.29,1.23,0.83
DEWP_1,0.65,0.64,0.64,0.6,0.57,0.55,0.57,0.54,0.51,0.55,0.53,0.5,0.53,0.52,0.49,0.51,0.43,0.43,0.42,0.42,0.37,0.38,0.37,0.36,0.35,0.36,0.33,0.32,0.26,0.36,0.34,0.28,0.33,0.38,0.33,0.32,0.31,0.3,,0.32,0.33,0.28,0.28,,0.31,0.32,0.3,0.31,,,0.28,0.28,,0.28,0.24,0.27,,0.26,,0.29,,,0.24,0.24,,,,,0.22,,,,,1.05,0.79,1.04,0.8,0.97,0.94,1.01,0.88,1.0,0.88,1.11,0.25,1.08,0.7
DEWP_0,0.73,0.71,0.7,0.68,0.61,0.63,0.57,0.62,0.62,0.57,0.56,0.6,0.55,0.54,0.58,0.53,0.5,0.44,0.48,0.49,0.42,0.43,0.36,0.36,0.39,0.35,0.44,0.48,0.43,0.36,0.38,0.42,0.44,0.3,0.39,0.4,0.39,0.42,0.38,0.36,0.33,0.37,0.37,0.35,,0.31,0.33,0.3,0.32,0.35,,0.32,0.34,,,0.3,0.27,,0.31,,0.28,0.28,,,0.27,,,,,0.24,,,,1.17,0.9,1.17,0.9,1.07,1.04,1.13,0.98,1.12,1.0,1.24,,1.19,0.83
