,ENE_0,NE_0,E_0,ESE_0,N_0,NW_0,NNW_0,WNW_0,NNE_0,SE_0,SW_0,WSW_0,SSW_0,W_0,NW_2,S_0,SSE_0,NW_1,ENE_1,NE_1,NNE_1,NW_3,E_1,NNW_1,NNW_2,N_1,WSW_1,WNW_1,ENE_2,SW_1,NNE_2,E_4,WSW_2,W_1,NE_2,NNW_3,WNW_2,S_1,NW_4,ENE_4,SSW_1,SE_1,N_2,ENE_6,ESE_2,ESE_1,WNW_5,SW_2,NNW_4,E_2,W_2,SSE_1,NE_3,E_3,WSW_3,ENE_3,ESE_3,N_3,WNW_3,SSW_2,NE_4,ESE_5,S_2,N_5,WNW_4,WSW_4,S_3,SE_2,nan_0,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,RAIN_0,WSPM_0,WSPM_1
SSW_0,1.2,1.35,1.26,1.28,,1.28,1.07,1.41,1.01,1.15,1.13,0.87,1.0,1.07,,1.09,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.0,1.81,1.04,1.86,,1.85,1.07,1.86,,1.86,1.78,1.53
W_0,0.99,0.9,1.06,1.12,1.23,1.17,1.22,1.02,0.99,0.94,1.18,1.23,1.01,1.0,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.39,1.83,1.29,1.87,,1.82,1.19,1.87,,1.87,1.8,1.68
NW_2,1.16,,,,0.91,1.3,1.18,1.13,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,,1.75,1.69,1.87,,1.87,,1.87,,1.87,1.56,1.52
S_0,1.61,1.5,1.41,1.32,1.36,,,1.14,1.24,1.04,0.92,0.95,0.93,1.05,,1.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,1.27,1.87,1.33,1.9,,1.89,1.24,1.9,,1.9,1.8,1.63
SSE_0,1.59,1.82,1.43,1.35,1.29,,,,,1.0,0.83,1.04,0.96,,,1.07,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,1.29,1.94,1.32,1.94,,1.92,1.11,1.94,,1.94,1.84,1.51
NW_1,,,,,1.42,1.15,1.15,1.04,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,,1.87,,1.98,,1.96,,1.97,,1.98,1.88,1.56
ENE_1,1.44,1.28,1.41,1.87,1.48,,,,1.45,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.61,1.87,1.73,2.02,,1.99,,2.02,,2.02,1.94,1.38
NE_1,1.28,1.62,1.66,1.09,1.25,,,,1.61,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,1.42,1.96,1.66,2.07,,2.0,,2.07,,2.07,2.0,1.52
NNE_1,1.26,1.41,1.21,,1.19,1.8,1.45,,1.25,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.83,1.85,1.92,2.08,,2.03,,2.08,,2.08,1.9,1.68
NW_3,,,,,1.13,1.03,1.25,1.14,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,,2.0,,2.14,,2.12,,2.14,,2.14,2.24,1.68
E_1,1.69,1.3,1.26,1.55,,,,,,1.29,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,1.79,2.17,1.64,2.18,,2.16,,2.18,,2.18,2.07,
NNW_1,,1.79,,,1.11,1.37,1.22,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,,2.09,,2.24,,2.21,,2.24,,2.24,2.22,1.68
NNW_2,,,,,1.06,1.61,0.84,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,,2.17,,2.27,,2.24,,2.27,,2.27,2.0,1.75
N_1,,1.46,,,1.78,,1.43,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,,2.19,,2.33,,2.3,,2.33,,2.33,2.5,1.85
WSW_1,,,,,,,,,,,1.79,1.23,,1.02,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,1.16,2.7,,2.33,,2.3,,2.33,,2.33,2.21,2.18
WNW_1,,,,,,1.59,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,,2.23,,2.45,,2.42,,2.45,,2.45,,2.02
ENE_2,1.62,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,1.95,2.08,1.93,2.47,,2.56,,2.47,,2.47,2.34,
SW_1,,,,,,,,,,,,1.64,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,,2.55,,2.49,,2.46,,2.49,,2.49,2.41,
NNE_2,,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,,2.46,,2.52,,2.49,,2.52,,2.52,2.22,
E_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,,2.68,,2.56,,2.53,,2.55,,2.56,2.43,
WSW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,,2.47,,2.59,,2.56,,2.59,,2.59,2.58,2.71
W_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,,2.53,,2.65,,2.62,,2.65,,2.65,2.32,2.62
NE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,,,,2.67,,2.64,,2.67,,2.67,2.54,
NNW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,,2.55,,2.67,,2.64,,2.67,,2.67,,2.07
WNW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,,2.55,,2.67,,2.64,,2.67,,2.67,,2.32
S_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,,2.59,,2.72,,2.69,,2.72,,2.72,2.58,
NW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,,,,2.72,,2.37,,2.72,,2.72,,2.17
ENE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,,2.13,2.72,,2.69,,2.72,,2.72,2.58,
SSW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,,3.1,,2.98,,2.98,2.83,
SE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,,2.68,,2.72,,2.69,,2.72,,2.72,2.58,
N_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,,2.37,,2.78,,2.63,,2.77,,2.78,2.28,2.31
ENE_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,2.17,2.78,,2.74,,2.77,,2.78,2.64,
ESE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,2.74,,2.77,,2.78,2.64,
ESE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,,2.77,,2.81,,2.81,2.67,
WNW_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.38,,,,2.81,,2.77,,2.81,,2.81,,2.16
SW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,,2.84,,2.87,,2.88,2.73,
NNW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.73,,2.74,,2.88,,2.84,,2.87,,2.88,,2.29
E_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,,2.28,2.91,,2.88,,2.91,,2.92,2.77,
W_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,2.78,,2.91,,2.88,,2.91,,2.92,2.77,
SSE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,,,2.91,,2.88,,2.91,,2.92,2.77,
NE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,,2.82,,2.96,,2.92,,2.96,,2.96,2.81,
E_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESE_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM2.5_0,0.71,0.71,0.68,0.63,0.67,0.66,0.65,0.63,0.62,0.57,0.56,0.56,0.53,0.55,0.57,0.52,0.51,0.56,0.52,0.49,0.55,0.52,0.48,0.48,0.47,0.48,0.36,0.46,0.44,0.39,0.43,0.39,0.38,0.38,0.43,0.39,0.38,0.37,0.44,,0.36,0.41,0.42,,0.38,0.45,0.44,,0.38,,0.33,,0.37,,0.35,,0.38,0.36,0.43,0.3,,0.34,0.29,0.33,,,,,0.29,1.0,0.83,1.0,0.82,1.05,0.32,1.04,0.69,1.05,,1.05,1.0,0.86
PM2.5_1,0.84,0.81,0.86,0.83,0.67,0.62,0.61,0.53,0.68,0.75,0.81,0.79,0.91,0.71,,0.79,0.75,,0.61,0.71,0.5,,0.59,,,,0.93,,0.5,,0.45,,,,0.41,,,,,0.5,0.52,,,0.43,0.46,0.39,,,,0.45,,0.48,,0.42,,0.46,,,,,,,,,,,,,,1.21,1.0,1.21,0.99,1.26,,1.25,0.78,1.26,0.4,1.26,1.21,0.8
PM10_0,0.71,0.71,0.68,0.63,0.66,0.66,0.64,0.63,0.62,0.58,0.56,0.56,0.53,0.54,0.57,0.53,0.52,0.56,0.55,0.5,0.54,0.51,0.45,0.48,0.46,0.46,0.37,0.46,0.45,0.38,0.42,0.39,0.4,0.39,0.45,0.39,0.39,0.34,0.39,,0.32,0.39,0.42,,0.35,0.55,0.43,,0.36,,0.34,0.32,0.35,,0.35,,0.35,0.36,0.38,0.34,,0.34,0.34,0.33,,,,,0.28,1.0,0.82,1.0,0.82,1.05,0.31,1.04,0.67,1.05,,1.05,0.99,0.85
PM10_1,0.86,0.82,0.87,0.83,0.68,0.66,0.63,0.57,0.7,0.75,0.82,0.84,0.93,0.78,0.55,0.75,0.74,,0.58,0.62,0.49,,0.65,,,,0.97,,0.49,,0.47,0.56,,,0.41,,,,0.47,0.51,,,,0.43,0.51,,,,,0.46,,0.48,,,,0.49,,,,,,,,,,,,,,1.22,1.01,1.22,1.0,1.28,,1.25,0.81,1.28,0.39,1.28,1.23,0.86
TEMP_0,0.67,0.66,0.66,0.62,0.61,0.61,0.6,0.58,0.57,0.56,0.55,0.55,0.54,0.54,0.53,0.53,0.52,0.51,0.5,0.48,0.48,0.47,0.46,0.45,0.44,0.43,0.43,0.41,0.41,0.4,0.4,0.39,0.39,0.39,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,,,,,0.27,0.95,0.79,0.95,0.78,1.0,,0.99,0.64,1.0,0.37,1.0,0.95,0.8
TEMP_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1,0.68,0.67,0.67,0.62,0.63,0.62,0.61,0.58,0.58,0.56,0.55,0.55,0.54,0.54,0.54,0.53,0.52,0.51,0.51,0.5,0.49,0.47,0.45,0.45,0.45,0.43,0.43,0.41,0.4,0.41,0.4,0.4,0.39,0.38,0.36,0.38,0.38,0.37,0.43,0.37,0.37,0.37,0.4,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.32,0.32,,0.32,,,,,0.27,0.96,0.8,0.96,0.79,1.01,0.32,1.0,0.64,1.01,0.39,1.01,0.96,0.81
PRES_0,1.06,1.07,1.06,1.02,0.76,0.87,0.84,0.91,0.93,0.99,0.99,0.95,0.89,0.87,,0.86,0.84,0.73,,0.61,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.27,1.5,1.2,1.57,,1.55,1.0,1.58,,1.57,1.52,1.17
DEWP_0,0.67,0.66,0.66,0.62,0.62,0.61,0.6,0.58,0.58,0.56,0.55,0.55,0.54,0.54,0.54,0.53,0.51,0.51,0.5,0.48,0.48,0.47,0.46,0.45,0.44,0.43,0.43,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,,,,,0.27,0.95,0.79,0.95,0.78,1.0,0.32,0.99,0.63,1.0,0.37,1.0,0.95,0.8
DEWP_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,2.46,2.7,,2.26,,2.69,1.0,2.7,2.71,
RAIN_0,0.67,0.66,0.66,0.62,0.61,0.61,0.6,0.58,0.58,0.56,0.55,0.55,0.54,0.54,0.53,0.53,0.51,0.51,0.5,0.48,0.48,0.47,0.46,0.45,0.44,0.43,0.43,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,,,,,0.27,0.95,0.79,0.95,0.78,1.0,0.32,0.99,0.64,1.0,0.37,1.0,0.95,0.8
WSPM_0,0.71,0.69,0.69,0.65,0.65,0.65,0.64,0.6,0.61,0.59,0.58,0.59,0.57,0.56,0.63,0.55,0.54,0.53,0.52,0.51,0.52,0.41,0.48,0.39,0.46,0.41,0.46,0.48,0.41,0.46,0.41,0.42,0.42,0.51,0.39,,0.48,0.39,,0.39,0.38,0.38,0.46,0.35,0.37,0.35,,0.32,,0.35,0.39,0.37,0.37,0.35,0.38,0.35,0.37,,,0.35,0.34,,0.32,,,,,,0.27,1.0,0.81,1.01,0.8,1.05,0.33,1.04,0.65,1.05,0.35,1.05,1.0,0.84
WSPM_1,0.89,0.92,0.95,0.84,0.76,0.77,0.74,0.74,0.7,0.84,0.67,0.64,0.67,0.67,0.65,0.68,0.67,0.63,0.69,0.62,0.53,0.62,,0.61,0.55,0.59,0.51,0.5,,,0.53,,0.45,0.31,,0.54,0.43,,0.5,,,,,,,,0.45,,0.41,,,,,,,,,0.45,0.45,,,,,,,,,,,1.18,1.47,1.19,1.29,1.26,,1.24,0.93,1.26,,1.26,1.19,1.0
