,ENE_0,NE_0,E_0,ESE_0,N_0,NW_0,NNW_0,WNW_0,NNE_0,SE_0,SW_0,WSW_0,SSW_0,W_0,NW_2,S_0,SSE_0,NW_1,ENE_1,NE_1,NNE_1,NW_3,E_1,NNW_1,NNW_2,N_1,WSW_1,WNW_1,ENE_2,SW_1,NNE_2,E_4,WSW_2,W_1,NE_2,NNW_3,WNW_2,S_1,NW_4,ENE_4,SSW_1,SE_1,N_2,ENE_6,ESE_2,ESE_1,WNW_5,SW_2,NNW_4,E_2,W_2,SSE_1,NE_3,E_3,WSW_3,ENE_3,ESE_3,N_3,WNW_3,SSW_2,NE_4,ESE_5,S_2,N_5,WNW_4,WSW_4,S_3,SE_2,nan_0,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,RAIN_0,WSPM_0,WSPM_1
SW_0,1.07,0.97,0.98,0.98,1.35,1.4,1.18,1.17,0.93,0.89,0.73,0.66,0.73,0.64,,0.79,0.82,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.16,1.9,1.17,2.05,,2.04,0.99,2.05,,2.05,1.87,1.54
WSW_0,0.99,0.92,0.91,0.94,1.18,1.12,1.2,0.82,0.85,0.97,0.81,0.73,0.92,0.6,,0.94,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,1.33,1.94,1.16,2.04,,2.02,1.09,2.04,,2.04,1.88,1.68
SSW_0,1.18,1.11,1.06,0.99,1.67,1.26,1.26,1.53,0.9,0.86,0.83,0.78,0.74,0.84,,0.75,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,1.11,1.98,1.16,2.12,,2.09,1.12,2.12,,2.12,1.93,1.69
W_0,1.08,0.9,0.96,1.02,1.23,1.1,1.19,0.89,0.79,0.95,0.95,0.85,0.85,0.71,,0.8,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,1.44,1.98,1.33,2.12,,2.08,1.09,2.12,,2.12,1.95,1.7
NW_2,1.51,1.46,1.76,1.78,0.99,0.91,0.84,0.84,0.71,,,,,0.9,0.64,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,1.88,2.27,2.12,,2.1,,2.12,,2.12,1.98,1.38
S_0,1.25,1.23,1.08,0.98,1.35,1.46,1.2,1.27,1.02,0.82,0.82,0.87,0.67,0.93,,0.72,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,1.3,2.09,1.33,2.17,,2.17,1.3,2.17,,2.17,1.96,1.78
SSE_0,1.23,1.34,1.15,0.96,1.4,1.64,1.47,1.02,1.38,0.78,0.75,0.94,0.71,0.79,,0.79,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,1.31,2.17,1.31,2.22,,2.2,1.08,2.22,,2.22,2.0,1.69
NW_1,1.34,1.51,1.41,,1.03,0.97,0.8,0.77,0.94,,1.17,1.01,,0.99,0.93,,,0.62,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,,2.05,,2.27,,2.21,,2.27,,2.27,2.21,1.44
ENE_1,1.26,1.16,1.07,1.16,1.27,,1.44,,1.31,1.0,,,0.98,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,1.55,2.2,1.59,2.32,,2.3,,2.32,,2.32,2.11,1.58
NE_1,1.07,1.34,1.2,0.93,1.16,1.27,1.18,0.92,1.2,,1.14,0.9,,0.82,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,1.75,2.23,1.92,2.39,,2.3,,2.39,,2.39,2.16,1.59
NNE_1,1.1,1.11,1.16,1.06,0.99,1.45,1.23,1.36,0.86,1.11,,1.12,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.04,2.1,2.26,2.4,,2.34,,2.4,,2.4,2.13,1.58
NW_3,1.94,1.31,,,0.79,0.96,0.83,1.02,,,,,,1.08,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,,2.19,,2.5,,2.44,,2.5,,2.5,2.42,1.57
E_1,1.28,1.2,1.06,1.12,,,,,1.48,0.96,,,1.03,,,0.93,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,1.87,2.56,1.72,2.55,,2.49,,2.55,,2.55,2.3,
NNW_1,,1.75,1.63,,0.99,1.08,0.9,1.28,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,,2.35,,2.63,,2.56,,2.63,,2.63,2.42,1.61
NNW_2,,1.93,,,0.93,1.11,0.92,1.54,1.07,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,,2.43,,2.68,,2.61,,2.67,,2.68,2.41,1.69
N_1,1.62,1.17,1.53,,1.05,1.01,1.17,,1.32,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,,2.48,,2.76,,2.62,,2.75,,2.76,2.63,1.8
WSW_1,1.03,1.18,1.29,1.38,1.45,,,,,,1.16,1.14,1.25,0.95,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,1.23,2.82,1.32,2.76,,2.69,,2.75,,2.76,2.49,2.64
WNW_1,,,,,,1.25,1.0,1.41,,,,,,,,,,0.93,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,,2.67,,2.94,,2.92,,2.93,,2.94,2.83,1.96
ENE_2,1.63,1.65,1.03,1.08,,,,,,0.98,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,2.16,2.68,2.04,2.95,,3.06,,2.95,,2.96,2.67,
SW_1,,1.65,1.56,,,,,,,1.16,,1.3,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,,2.9,,2.99,,2.92,,2.99,,3.0,2.71,2.81
NNE_2,1.44,1.39,,1.55,,,,,1.52,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,2.82,,3.04,,2.9,,3.03,,3.04,2.62,
E_4,1.56,,1.39,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,2.26,3.38,,3.08,,3.01,,3.08,,3.08,2.79,
WSW_2,,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,,2.85,,3.13,,3.06,,3.13,,3.13,2.83,2.97
W_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,,2.93,,3.22,,3.14,,3.22,,3.22,2.94,2.7
NE_2,,,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86,,2.81,,3.25,,3.18,,3.25,,3.25,2.94,2.42
NNW_3,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,,2.96,,3.25,,3.18,,3.25,,3.25,,2.07
WNW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,,2.96,,3.25,,3.32,,3.25,,3.25,3.46,2.24
S_1,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,,3.13,,3.32,,3.24,,3.32,,3.32,3.0,
NW_4,,,,,,,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86,,,,3.32,,3.24,,3.32,,3.32,,2.12
ENE_4,,1.35,,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,,2.22,3.32,,3.24,,3.32,,3.32,3.0,
SSW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71,,4.14,,3.7,,3.71,3.35,
SE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34,,3.37,,3.32,,3.62,,3.32,,3.32,3.0,
N_2,,1.8,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99,,3.02,,3.4,,2.96,,3.4,,3.41,2.92,2.19
ENE_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,,2.1,3.4,,3.32,,3.4,,3.41,3.08,
ESE_2,,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,,3.4,,3.32,,3.4,,3.41,3.08,
ESE_1,,,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45,,3.37,,3.45,,3.45,3.12,
WNW_5,,,,,1.21,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,3.11,,2.96,,3.45,,3.37,,3.45,,3.45,3.03,2.14
SW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,,3.47,,3.55,,3.55,3.21,
NNW_4,,,,,1.35,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,3.2,,3.23,,3.55,,3.47,,3.55,,3.55,3.21,2.26
E_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,,2.22,3.61,,3.52,,3.61,,3.61,3.26,
W_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,,3.28,,3.61,,3.52,,3.61,,3.61,3.26,
SSE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,,3.61,,3.52,,3.61,,3.61,3.26,
NE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31,,3.34,,3.67,,3.59,,3.67,,3.68,3.32,
E_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESE_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM2.5_0,0.58,0.56,0.54,0.49,0.52,0.51,0.5,0.48,0.47,0.44,0.43,0.42,0.4,0.43,0.52,0.4,0.39,0.49,0.46,0.42,0.46,0.5,0.49,0.41,0.43,0.41,0.33,0.41,0.51,0.33,0.4,0.37,0.34,0.33,0.41,0.37,0.36,0.32,0.49,0.36,0.34,0.37,0.39,,0.38,0.49,0.45,0.24,0.38,,0.3,,0.37,,0.34,,0.36,0.4,0.46,0.29,,0.35,0.29,0.34,0.32,0.3,0.32,,0.22,0.96,0.92,0.97,0.89,1.06,0.32,1.04,0.73,1.06,,1.07,0.97,0.76
PM2.5_1,0.65,0.63,0.65,0.61,0.53,0.58,0.54,0.48,0.51,0.59,0.71,0.76,0.74,0.59,,0.63,0.57,,0.54,0.74,0.45,,0.46,,,,1.0,,0.39,,0.42,,,,0.4,,,0.68,,0.49,0.55,0.48,,0.35,0.43,0.3,,,,0.35,,0.39,,0.37,,0.4,,,,,,,,,,,,0.29,,1.4,0.84,1.35,0.83,1.32,,1.3,0.7,1.32,0.3,1.32,1.2,0.88
PM10_0,0.57,0.56,0.54,0.49,0.51,0.51,0.49,0.48,0.46,0.44,0.42,0.41,0.4,0.41,0.53,0.4,0.39,0.49,0.48,0.43,0.45,0.5,0.43,0.41,0.42,0.4,0.34,0.43,0.48,0.32,0.4,0.4,0.36,0.34,0.45,0.37,0.37,0.31,0.45,0.36,0.31,0.35,0.39,,0.33,0.52,0.45,0.25,0.38,,0.33,0.3,0.36,0.38,0.34,,0.34,0.37,0.41,0.32,0.44,0.35,0.32,0.34,0.32,0.3,0.31,,0.22,0.96,0.88,0.97,0.88,1.06,0.31,1.04,0.71,1.06,,1.06,0.97,0.76
PM10_1,0.66,0.64,0.66,0.62,0.55,0.58,0.59,0.49,0.52,0.6,0.75,0.82,0.79,0.66,0.57,0.64,0.58,,0.52,0.67,0.44,,0.52,,,,1.08,,0.41,,0.44,0.61,,,0.37,,,0.64,0.45,0.49,0.68,,,0.37,0.54,0.24,,,,0.35,,0.44,,0.39,,0.44,,,,,,,,,,,,0.29,,1.42,0.87,1.37,0.84,1.34,,1.32,0.73,1.34,0.29,1.34,1.23,0.91
TEMP_0,0.52,0.51,0.51,0.46,0.47,0.48,0.46,0.44,0.42,0.43,0.42,0.42,0.41,0.41,0.5,0.4,0.39,0.45,0.43,0.43,0.4,0.46,0.41,0.4,0.41,0.38,0.39,0.37,0.38,0.36,0.36,0.4,0.37,0.36,0.36,0.37,0.36,0.35,0.39,0.37,0.35,0.34,0.35,0.38,0.35,0.33,0.37,0.34,0.36,0.34,0.34,0.32,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.35,0.35,0.32,0.33,0.32,0.32,0.31,0.29,0.22,0.93,0.76,0.93,0.74,1.0,0.33,0.98,0.62,1.0,0.35,1.0,0.91,0.72
TEMP_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1,0.53,0.52,0.51,0.47,0.48,0.49,0.48,0.45,0.43,0.43,0.42,0.43,0.42,0.41,0.5,0.4,0.39,0.46,0.44,0.45,0.41,0.46,0.4,0.4,0.42,0.39,0.38,0.38,0.39,0.36,0.37,0.4,0.37,0.35,0.34,0.37,0.38,0.35,0.49,0.37,0.35,0.35,0.42,0.38,0.35,0.33,0.37,0.34,0.36,0.34,0.34,0.32,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.35,0.35,0.33,0.33,0.32,0.32,0.31,0.29,0.22,0.94,0.77,0.94,0.76,1.01,0.32,0.99,0.72,1.01,0.37,1.01,0.93,0.73
PRES_0,0.87,0.89,0.86,0.84,0.64,0.69,0.61,0.71,0.68,0.84,0.94,0.77,0.72,0.77,1.0,0.74,0.77,0.63,0.68,0.54,0.59,,0.98,,,,,0.6,0.59,,,,,,,,0.48,,,,,0.52,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,1.61,1.22,1.65,1.12,1.72,,1.85,0.71,1.72,0.45,1.72,1.58,1.1
DEWP_0,0.52,0.51,0.5,0.46,0.47,0.48,0.46,0.44,0.42,0.43,0.42,0.42,0.41,0.41,0.5,0.4,0.39,0.46,0.43,0.43,0.4,0.46,0.41,0.4,0.42,0.38,0.39,0.37,0.38,0.36,0.36,0.4,0.37,0.35,0.37,0.37,0.36,0.35,0.39,0.37,0.35,0.34,0.35,0.38,0.35,0.33,0.37,0.34,0.38,0.34,0.34,0.32,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.35,0.35,0.32,0.33,0.32,0.32,0.31,0.29,0.22,0.93,0.76,0.93,0.74,1.0,0.32,0.98,0.62,1.0,0.36,1.0,0.91,0.72
DEWP_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,,2.43,3.29,,3.24,,3.28,0.49,3.29,3.17,
RAIN_0,0.52,0.51,0.5,0.46,0.47,0.48,0.46,0.44,0.42,0.43,0.42,0.42,0.41,0.41,0.5,0.4,0.39,0.45,0.43,0.43,0.4,0.46,0.41,0.4,0.41,0.38,0.39,0.37,0.38,0.36,0.36,0.4,0.37,0.35,0.36,0.37,0.36,0.35,0.39,0.37,0.35,0.34,0.35,0.38,0.35,0.33,0.37,0.34,0.36,0.34,0.34,0.32,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.35,0.35,0.32,0.33,0.32,0.32,0.31,0.29,0.22,0.93,0.76,0.93,0.74,1.0,0.32,0.98,0.62,1.0,0.35,1.0,0.91,0.72
WSPM_0,0.54,0.52,0.52,0.47,0.52,0.56,0.54,0.5,0.45,0.43,0.44,0.45,0.42,0.43,0.67,0.41,0.4,0.6,0.44,0.45,0.44,0.55,0.42,0.42,0.48,0.39,0.41,0.45,0.37,0.39,0.39,0.4,0.42,0.5,0.37,,0.49,0.35,,0.41,0.35,0.33,0.41,0.34,0.35,0.31,,0.35,0.49,0.33,0.38,0.33,0.36,0.32,0.35,0.34,0.38,,,0.35,0.35,0.39,0.3,,,0.34,0.34,,0.23,1.0,0.74,1.0,0.73,1.06,0.31,1.05,0.61,1.06,0.31,1.06,0.96,0.8
WSPM_1,0.83,0.81,0.77,0.76,0.58,0.55,0.52,0.53,0.57,0.78,0.58,0.54,0.63,0.56,0.52,0.62,0.66,0.48,0.79,0.6,0.47,0.51,0.56,0.49,0.46,0.5,0.48,0.4,,0.43,0.46,,0.39,0.27,,0.45,0.37,,0.46,,,,0.38,,,,0.45,,0.36,,,,,,,,,0.48,0.41,,,,,,,,,,,1.19,2.06,1.19,1.7,1.32,,1.28,1.13,1.31,,1.32,1.24,0.85
