,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
DEWP_0_2,1.5,1.37,,,0.88,,1.36,1.27,1.26,1.09,,0.79,,,,,1.01,,,1.27,1.09,1.14,,0.96,0.88,0.86,0.86,0.55,,1.6,1.23
DEWP_0_1,1.46,1.35,,0.95,,,1.17,1.29,,,,0.9,,2.41,1.32,,,1.0,,1.3,1.21,1.16,0.97,0.88,0.82,0.84,0.86,0.66,,1.61,1.22
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.09,1.09,0.96,0.62,0.72,,0.94,1.02,0.98,0.81,0.74,0.58,,1.11,0.99,0.92,0.77,0.75,,1.0,1.3,0.53,0.97,0.61,0.76,0.48,0.35,,,1.3,0.93
WSPM_0_1,1.09,1.03,0.95,0.77,0.73,,1.05,1.04,0.93,0.85,0.79,0.72,,1.15,0.92,0.94,0.83,0.73,,0.76,0.99,0.89,1.02,0.88,0.7,0.81,0.8,0.47,,1.29,0.97
WSPM_0_3,1.09,1.23,1.02,0.81,0.73,,1.02,1.11,1.05,0.95,,0.77,,1.21,1.05,0.88,0.89,0.86,,1.81,1.07,1.0,,0.73,0.78,0.72,,,,1.37,1.01
WSPM_0_4,1.26,1.31,0.98,0.88,,,1.15,1.11,1.09,1.07,,0.76,,1.3,1.07,1.07,,0.93,,1.03,0.88,,1.0,0.8,0.86,0.77,,,,1.51,1.12
WSPM_0_0,1.56,1.43,1.26,1.02,0.9,,1.77,1.41,1.21,1.09,1.0,0.96,,1.65,1.31,1.26,1.0,1.07,,1.6,1.26,1.14,0.94,1.0,0.92,1.06,0.86,,,1.71,1.84
WSPM_1_0,1.58,1.46,1.37,1.08,1.0,,1.66,1.47,1.4,1.16,1.1,1.02,,1.72,1.32,1.35,1.09,1.13,,1.35,1.4,1.37,1.22,1.11,1.0,1.22,0.99,,,1.81,1.61
WSPM_1_1,1.59,1.49,1.29,1.12,1.25,,2.05,1.54,1.42,1.29,0.95,1.06,,1.98,1.36,1.36,1.3,1.15,,2.11,1.03,1.45,1.2,1.02,0.92,1.01,1.29,,,1.91,2.01
WSPM_1_2,1.84,1.43,1.42,1.16,1.09,,2.05,1.6,1.59,1.3,,1.09,,2.43,1.39,1.4,1.25,1.22,,2.8,1.19,,,0.93,1.02,0.66,1.0,,,1.96,3.57
WSPM_1_3,2.06,2.23,,,1.38,,1.91,1.96,1.72,1.62,,1.41,,,1.8,,1.58,1.52,,,1.44,,,1.42,0.8,,,1.0,,2.45,1.96
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.84,0.82,0.73,0.59,0.55,0.84,0.82,0.81,0.74,0.65,0.58,0.56,0.84,0.9,0.75,0.72,0.63,0.6,0.84,0.78,0.78,0.71,0.66,0.61,0.57,0.56,0.56,0.41,0.84,1.0,0.77
PM10_1,1.1,1.15,0.79,0.73,0.69,,0.98,1.01,0.96,0.91,0.65,0.64,,1.13,0.85,0.88,0.82,0.78,,1.0,0.9,0.95,0.85,0.46,0.57,0.4,0.19,,,1.3,1.0
