,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.89,0.97,1.06,0.79,1.21,0.66,0.87,0.99,0.83,0.88,,0.87,0.66,0.92,0.98,,,,0.66,0.9,0.95,0.87,0.77,0.62,0.52,0.56,0.54,,0.66,1.16,0.81
DEWP_0_0,1.19,1.06,2.09,0.93,,,1.44,1.17,1.11,0.9,,1.0,,1.38,0.84,,,,,1.19,1.06,1.2,1.21,0.72,0.62,0.73,0.75,0.62,,1.42,1.22
DEWP_1_1,1.43,1.92,0.88,,,,1.12,,1.07,,0.7,,,,,0.82,,,,1.2,1.01,1.53,1.21,0.73,0.6,0.76,1.02,,,1.44,1.16
DEWP_0_2,2.08,1.47,,,0.7,,1.76,1.31,1.56,1.09,,0.9,,,,,0.78,,,1.44,1.58,1.13,,0.9,0.8,0.83,0.9,0.57,,1.74,1.24
DEWP_0_1,2.04,1.38,,0.87,,,1.73,1.29,,,,0.79,,,,,,0.77,,1.48,1.47,1.37,1.23,0.84,0.79,0.84,0.78,0.65,,1.75,1.37
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.11,1.13,1.11,0.99,1.09,,1.03,1.14,1.07,0.97,0.82,0.91,,1.17,1.2,1.08,0.94,0.93,,0.86,1.96,1.1,,0.7,0.71,0.55,0.38,,,1.35,0.93
WSPM_0_1,1.16,1.13,0.98,1.0,1.24,,1.11,1.17,0.99,1.12,0.82,0.91,,1.3,0.94,0.94,1.28,1.02,,0.93,0.86,1.34,1.65,0.77,0.53,0.8,0.87,,,1.33,1.09
WSPM_0_3,1.22,1.23,1.32,1.11,0.73,,1.12,1.18,1.13,1.1,,0.87,,1.28,1.24,1.43,0.89,1.04,,3.51,1.87,0.83,,0.89,0.82,0.87,,,,1.5,0.95
WSPM_0_4,1.29,1.5,1.36,0.84,,,1.22,1.55,1.14,1.2,,0.86,,1.34,1.41,1.41,,1.13,,,1.92,,0.8,1.1,1.02,1.11,,,,1.68,1.07
WSPM_0_0,1.7,1.58,1.45,1.27,1.09,,1.97,1.71,1.46,1.25,1.18,1.36,,1.96,1.35,1.53,1.26,1.34,,1.97,1.37,1.55,1.91,0.77,0.68,0.92,0.98,,,1.86,2.32
WSPM_1_0,1.77,1.69,1.54,1.42,1.34,,1.82,1.81,1.66,1.43,1.35,1.47,,1.98,1.4,1.56,1.45,1.62,,1.64,1.43,1.98,2.08,0.91,0.8,1.26,1.22,,,1.99,2.05
WSPM_1_1,1.78,1.66,1.79,1.56,1.64,,2.33,1.73,1.64,1.56,1.36,1.39,,2.63,1.38,1.92,1.57,1.32,,3.41,1.28,1.94,2.38,0.93,0.8,0.74,,,,2.11,3.21
WSPM_1_2,2.09,1.62,2.26,1.43,1.47,,2.26,1.69,1.75,1.59,,1.4,,3.25,1.37,2.21,1.55,1.26,,,1.57,,,0.85,0.98,0.7,0.71,,,2.15,6.2
WSPM_1_3,2.61,2.74,,,1.32,,2.48,2.43,2.14,1.89,,1.68,,,2.14,,1.65,1.58,,,,,,1.44,,,,0.63,,2.84,2.91
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.84,0.83,0.76,0.68,0.66,0.81,0.82,0.86,0.75,0.73,0.63,0.66,0.81,0.93,0.74,0.76,0.73,0.68,0.81,0.8,0.75,0.81,0.77,0.52,0.43,0.52,0.55,0.45,0.81,0.97,0.82
PM10_1,1.12,1.15,1.27,0.84,0.8,,1.04,1.11,1.07,1.04,0.99,0.75,,1.16,1.08,1.22,0.9,0.95,,1.14,1.25,0.95,0.88,0.56,0.57,0.47,,,,1.48,0.86
