,ENE_0,NE_0,E_0,ESE_0,SE_0,N_0,SW_0,NNE_0,NW_0,SSW_0,SSE_0,NNW_0,S_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,E_1,NE_1,NW_2,NW_1,NE_3,ESE_1,SW_1,SW_2,NNE_2,NE_6,NNW_1,WSW_1,SE_1,WNW_1,S_1,WSW_2,ENE_2,N_1,ENE_3,ESE_2,NW_3,nan_0,NE_2,NE_4,E_2,WNW_2,SSE_1,SSW_1,WSW_4,SW_3,NW_4,WNW_3,S_2,WSW_3,ENE_7,SE_4,ENE_4,N_2,W_1,ENE_5,WNW_4,SSW_2,NNW_2,WNW_6,ESE_3,E_3,NNW_3,SSW_3,W_2,ESE_5,S_3,NNW_4,SE_3,N_3,SE_2,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
NNE_1,1.65,1.4,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,1.84,2.45,1.73,2.19,2.25,2.33,2.03,2.33,2.01,2.57,,2.48,
ENE_1,,1.56,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,1.99,2.36,2.09,2.17,2.27,2.44,1.93,2.29,2.21,2.62,,2.54,
E_1,,,,1.69,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,1.89,2.45,1.93,2.29,2.19,2.36,2.12,2.34,2.16,2.62,,2.48,
NE_1,1.43,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.83,2.46,1.93,2.37,2.15,2.39,2.06,2.39,2.07,2.61,,2.52,1.78
NW_2,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,2.77,,2.32,2.7,2.63,,2.63,2.38,2.95,,,1.89
NW_1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,,2.68,,2.59,2.42,2.62,2.37,2.64,2.35,2.94,,2.54,2.02
NE_3,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96,2.18,2.91,2.22,2.66,2.59,2.79,2.41,2.75,,3.06,,2.93,
ESE_1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.5,2.91,2.32,2.77,2.5,2.86,2.38,2.76,,3.1,,3.02,
SW_1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96,,3.04,,2.72,2.65,2.81,2.52,2.82,2.53,3.14,,3.18,1.75
SW_2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,,2.86,,2.77,2.56,2.94,2.44,2.86,,3.15,,3.08,1.99
NNE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,,2.97,,2.63,2.77,2.96,2.35,2.93,2.42,3.13,,2.99,
NE_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,,2.92,,2.68,2.88,2.89,,3.04,2.3,3.18,,3.03,2.14
NNW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87,,2.89,,2.76,2.68,2.83,,,2.47,3.18,,2.99,2.1
WSW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,,2.99,,3.03,2.41,3.11,2.46,2.94,2.63,3.23,,2.96,
SE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,,3.07,,2.72,2.89,2.93,2.69,2.94,2.63,3.27,,3.16,
WNW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,,2.96,,3.0,2.66,2.85,,3.36,2.46,3.27,,3.16,2.12
S_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,,3.03,,2.88,,2.98,2.57,3.02,,3.27,,3.04,
WSW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,,3.16,,2.89,,3.07,2.53,2.8,2.92,3.29,,3.12,2.23
ENE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14,,3.0,,2.85,2.77,3.06,,2.95,2.65,3.29,,3.17,
N_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08,2.37,3.01,2.5,3.04,2.62,3.04,2.55,3.05,2.5,3.3,,3.22,
ENE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,2.39,3.21,2.34,2.91,2.83,3.06,,3.07,2.61,3.36,,3.24,
ESE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,2.64,3.08,2.69,2.98,2.9,3.13,2.7,3.15,,3.44,,3.32,2.23
NW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,,3.22,,,3.06,3.12,,,2.72,3.48,,,2.26
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,,3.14,,,2.86,2.77,3.26,3.26,,3.54,,3.36,
NE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32,,3.26,,,2.98,3.21,2.78,3.17,2.84,3.53,,3.3,
NE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37,,3.36,,,3.02,3.26,,,2.89,3.58,,3.37,
E_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,,3.41,,,3.07,3.46,,3.27,2.93,3.64,,3.51,
WNW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35,,3.34,,,2.94,3.24,,,2.93,3.64,,,2.59
SSE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61,,3.44,,3.32,,3.34,2.88,3.23,,3.67,,3.69,
SSW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38,,3.44,,3.25,,3.34,2.88,3.29,,3.67,,3.54,
WSW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69,,3.66,,3.24,3.15,3.4,,3.35,3.01,3.73,,3.09,
SW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.65,,3.64,,3.48,,3.53,,3.24,,3.79,,,
NW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,3.68,,,3.23,3.57,,,3.16,3.92,,,
WNW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.7,,3.68,,3.52,,3.57,,,3.08,3.92,,,2.55
S_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.7,,3.68,,3.4,,,3.09,3.52,,3.92,,3.69,
WSW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92,,3.57,
ENE_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.74,,3.72,,,,3.61,,,3.2,3.97,,3.67,
SE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.31,,3.4,,,3.35,3.61,,3.81,,3.97,,3.83,
ENE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.79,,3.54,3.66,,4.0,,4.02,,4.19,
N_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.06,,4.04,,,,3.5,,3.7,,4.13,,,
W_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94,,3.93,,,,3.81,,,3.52,4.19,,3.89,
ENE_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.86,,3.99,,,,3.87,,3.82,,4.25,,,
WNW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,,4.13,,3.82,,,,,3.55,4.4,,,2.86
SSW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99,,,,,,4.4,,4.25,
NNW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,,4.13,,,,4.01,,,3.55,4.4,,,
WNW_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,,4.21,,3.89,,,3.53,,3.62,4.49,,,2.92
ESE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESE_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM2.5_0,0.62,0.61,0.6,0.57,0.53,0.53,0.52,0.52,0.52,0.51,0.49,0.51,0.49,0.48,0.48,0.46,0.41,0.41,0.41,0.4,0.36,0.38,0.34,0.36,0.34,0.34,0.34,0.34,0.35,0.33,0.33,0.33,0.33,0.31,0.32,0.32,0.31,0.32,0.31,0.32,0.3,0.3,0.29,0.3,0.28,0.3,0.27,0.27,0.27,0.27,0.27,,0.27,0.3,,0.25,0.25,0.26,0.24,,0.24,0.24,,,,,,,,,,,,1.0,0.74,1.0,0.72,0.92,0.9,0.97,0.83,0.95,0.86,1.06,,1.02,0.7
PM2.5_1,0.83,0.83,0.83,0.77,0.74,0.68,0.69,0.67,0.6,0.66,0.7,0.62,0.69,0.63,0.6,0.68,0.54,0.5,0.53,0.55,,,0.46,0.4,,,,,,,,,,,,0.42,0.42,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,1.0,1.2,1.03,1.23,1.18,1.28,1.11,1.27,1.12,1.41,,1.37,0.72
PM10_0,0.62,0.61,0.61,0.58,0.54,0.53,0.52,0.52,0.52,0.52,0.49,0.51,0.48,0.48,0.49,0.47,0.41,0.42,0.41,0.41,0.36,0.37,0.34,0.34,0.33,0.35,0.34,0.34,0.35,0.33,0.33,0.34,0.33,0.32,0.33,0.33,0.31,0.32,0.31,0.32,0.31,0.3,0.29,0.3,0.29,0.29,0.27,0.27,0.27,0.27,0.27,,0.27,0.29,,0.25,0.25,0.25,0.24,,0.24,0.24,,,,,,,,,,,,1.0,0.83,1.0,0.77,0.92,0.9,0.97,0.84,0.96,0.86,1.07,,1.03,0.7
PM10_1,0.83,0.81,0.8,0.75,0.7,0.66,0.69,0.69,0.61,0.63,0.68,0.58,0.69,0.65,0.56,0.64,0.58,0.48,0.52,0.52,,,0.45,0.43,,,,,,,,,,,,0.39,0.43,0.37,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,1.38,0.97,1.3,1.0,1.21,1.16,1.26,1.09,1.24,1.11,1.38,,1.34,0.8
TEMP_1,0.69,0.67,0.67,0.63,0.59,0.58,0.55,0.58,0.56,0.54,0.53,0.54,0.53,0.51,0.53,0.51,0.46,0.46,0.44,0.42,0.43,0.39,0.38,0.36,0.37,0.36,0.38,0.37,0.36,0.33,0.37,0.33,0.35,0.35,0.35,0.33,0.34,0.34,,,,,,,0.3,0.31,0.31,0.29,,0.28,0.29,,,,,,,,0.26,0.25,,0.26,,,,,,,,,,,,1.09,0.82,1.08,0.83,1.0,0.96,1.05,0.9,1.04,0.92,1.15,0.26,1.11,0.75
TEMP_0,0.68,0.68,0.68,0.64,0.59,0.58,0.61,0.56,0.57,0.6,0.58,0.56,0.58,0.54,0.53,0.53,0.44,0.44,0.46,0.46,0.37,0.41,0.39,0.4,0.38,0.39,0.36,0.35,0.37,0.41,0.35,0.38,,,0.36,0.37,0.35,0.34,0.33,0.35,0.34,0.33,0.33,0.34,,,0.32,,0.31,,,,,0.3,0.28,,,,,,,,,,,,,,,,,,,1.11,0.85,1.11,0.86,1.03,1.0,1.08,0.95,1.06,0.96,1.19,,1.14,0.77
PRES_1,0.65,0.64,0.63,0.59,0.55,0.56,0.53,0.54,0.53,0.51,0.51,0.52,0.51,0.49,0.5,0.49,0.43,0.41,0.42,0.42,0.38,0.38,0.36,0.35,0.36,0.34,0.34,0.35,0.35,0.32,0.34,0.35,0.34,0.33,0.33,0.32,0.33,0.32,0.32,0.36,0.31,0.31,0.29,0.31,0.3,0.3,0.29,0.28,0.28,0.28,,,0.28,0.28,0.27,0.29,0.26,0.26,,,0.25,,,,,,,,,,,,,1.03,0.78,1.03,0.8,0.95,0.93,1.0,0.87,0.99,0.88,1.1,,1.06,0.71
PRES_0,0.74,0.72,0.74,0.7,0.64,0.6,0.64,0.63,0.6,0.63,0.6,0.6,0.6,0.59,0.57,0.55,0.49,0.51,0.47,0.48,,0.42,0.41,0.42,0.4,0.41,0.43,,,0.41,0.37,,0.39,0.39,,0.39,,0.37,,0.31,0.36,,,,0.35,0.35,,,,,0.32,,,,,,,,,,,0.28,,,,,,,,,,,,1.2,0.9,1.19,0.92,1.11,1.05,1.14,1.0,1.14,1.02,1.27,,1.23,0.82
DEWP_1,0.65,0.65,0.64,0.6,0.56,0.55,0.57,0.54,0.51,0.54,0.53,0.52,0.53,0.5,0.5,0.51,0.43,0.43,0.43,0.42,0.38,0.38,0.36,0.36,0.35,0.35,0.34,0.33,,0.34,0.34,0.3,0.33,0.36,0.34,0.33,0.33,0.32,,0.31,0.32,,0.31,,0.31,0.3,0.3,0.31,,,0.28,,,0.26,0.25,0.27,,0.26,,,,,,,,,,,,,,,,1.05,0.79,1.05,0.81,0.97,0.94,1.01,0.88,1.0,0.88,1.11,0.25,1.08,0.7
DEWP_0,0.73,0.71,0.7,0.68,0.64,0.62,0.58,0.61,0.62,0.59,0.56,0.59,0.55,0.57,0.57,0.54,0.5,0.45,0.46,0.48,0.42,0.42,,,0.4,,0.41,0.43,0.41,0.38,0.38,0.41,,0.34,0.38,0.38,0.38,,0.37,,0.35,0.35,0.34,0.34,,,0.33,,0.32,0.32,,,0.31,,,,0.28,,0.28,,0.28,0.28,,,,,,,,,,,,1.17,0.89,1.16,0.9,1.08,1.05,1.13,0.97,1.12,1.0,1.24,,1.19,0.82
RAIN_0,0.59,0.58,0.57,0.54,0.5,0.5,0.49,0.49,0.48,0.48,0.47,0.47,0.47,0.45,0.45,0.44,0.39,0.38,0.38,0.38,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,,,,,,,,,,,,0.94,0.71,0.94,0.72,0.87,0.84,0.91,0.79,0.9,0.8,1.0,,0.97,0.65
RAIN_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89,,,,4.03,,,,,
WSPM_0,0.61,0.59,0.6,0.56,0.52,0.51,0.52,0.5,0.49,0.5,0.49,0.49,0.48,0.46,0.45,0.47,0.4,0.39,0.4,0.4,,0.39,0.34,0.33,0.31,0.32,0.33,0.33,0.33,0.34,0.32,0.32,0.33,0.32,0.32,0.31,0.31,0.3,,0.3,0.3,0.3,0.28,,0.27,0.28,0.32,,,,0.27,0.28,0.27,0.26,0.24,,0.26,,,0.24,,,,,,,,,,,,,,0.98,0.73,0.97,0.75,0.9,0.87,0.94,0.81,0.93,0.84,1.04,,1.0,0.67
WSPM_1,0.96,1.01,0.86,1.04,0.84,0.77,0.7,0.8,0.76,0.71,,0.71,0.72,0.83,0.74,0.6,,,,0.56,0.53,0.49,,,0.57,0.5,,0.47,0.48,,,0.47,,0.45,,,,0.45,0.44,,,,,0.39,,,,,,0.39,,,,,,,,,0.35,,,0.34,,,,,,,,,,,,1.43,1.38,1.43,1.25,1.34,1.3,1.4,1.21,1.43,1.22,1.54,,1.49,1.0
