,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,overcast clouds_3,moderate rain_0,scattered clouds_1,haze_0,drizzle_0,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,proximity shower rain_0,traffic_volume_2,traffic_volume_0,traffic_volume_1
mist_1,1.48,2.39,1.8,,,,,1.01,2.4,1.28,0.92,1.08,,0.92,0.8,,,0.67,,0.89,0.33,,,,,,,1.98,1.87,1.75
fog_0,1.77,1.2,1.0,,,,,1.35,,0.9,2.83,,0.69,0.82,2.41,,,0.96,0.99,1.33,0.93,,,,,,,1.95,1.87,1.64
mist_4,0.94,3.62,1.27,,,,,1.26,,1.47,1.15,,1.33,0.81,0.98,,,0.81,0.99,,0.38,,,,,,,1.95,1.66,1.54
scattered clouds_3,2.35,1.73,,0.8,,,1.06,,,1.07,,,0.67,3.75,,,,,0.83,,,0.68,,,,0.57,,1.99,1.69,1.58
broken clouds_2,1.94,1.77,,1.08,,,,,,1.09,,1.0,3.69,,,,,,,,,,,,,,,2.03,1.72,1.61
heavy snow_0,5.74,1.92,,1.46,,,,1.5,,0.58,1.62,,,1.88,,1.28,1.25,1.05,,,,0.93,,0.53,,,,2.21,1.87,1.75
proximity thunderstorm_0,,,1.62,,,,,1.2,3.1,,1.11,,,2.85,0.93,,,0.84,,0.71,,,,,,,,2.29,5.11,2.47
heavy snow_1,,2.22,,,,,,1.46,,,,,,1.2,,,,,,,,,,,,,,2.55,2.16,2.01
heavy intensity rain_0,4.69,1.43,,,,,,1.46,,1.7,1.33,,,2.33,,,,0.93,,,,,,,,,,2.55,4.17,2.57
fog_2,2.43,,,,,,,1.46,,,,,,,,,,,,,,,,,,,,2.55,2.16,2.01
proximity shower rain_0,3.04,,2.24,,,,2.24,,,1.71,1.66,,,1.51,,,,,,,,1.08,,,,,,3.18,2.7,2.52
snow_0,3.04,2.77,,,,,,1.82,,,1.66,1.56,,,,,,1.17,,,1.08,,,,,,,3.18,2.7,2.52
heavy intensity drizzle_0,3.04,2.77,,,,,,1.82,,,,,,,,,,,,1.08,,,,,,,,3.18,2.7,2.52
proximity thunderstorm with rain_0,,2.77,,,,,,1.82,,,1.66,,,,,,,1.17,,,,,,,,,,3.18,,
thunderstorm with light rain_0,,,2.24,,,,,1.82,,,1.66,,,,1.41,,,1.17,,1.08,,,,,,,,3.18,,
temp_4,0.89,0.84,1.0,0.75,0.72,0.44,0.76,0.58,0.81,0.57,0.55,0.64,0.53,0.51,0.48,0.43,,0.4,0.42,0.5,0.4,0.32,0.41,0.36,0.66,0.34,0.53,0.98,0.81,0.74
temp_3,1.11,0.89,1.45,0.58,,,0.76,0.74,0.6,0.55,0.64,0.57,0.53,0.56,0.91,0.53,0.57,0.62,0.55,0.63,0.67,0.4,0.39,0.37,0.49,0.51,,1.03,0.9,0.82
temp_5,1.17,2.06,0.78,,0.57,0.33,1.08,0.64,0.97,0.89,0.59,0.76,0.78,0.64,0.5,0.96,,0.45,1.19,0.51,0.25,0.79,1.24,1.03,0.38,,0.16,1.1,1.05,0.91
temp_2,1.34,1.16,,0.72,,,0.99,1.07,1.09,0.9,1.68,0.95,0.81,0.93,0.71,0.94,0.49,,0.39,0.49,,0.62,0.71,0.48,0.5,0.57,,1.33,1.13,1.04
temp_6,1.36,1.61,1.0,,0.59,0.37,1.02,,,0.78,1.24,0.55,0.65,0.66,,0.89,,,0.34,,,0.54,,0.74,0.45,,,1.43,1.21,1.13
temp_7,2.29,,1.69,,0.96,0.51,1.69,,,,,,1.38,,,,,,,,,,,,,,,2.4,2.03,1.9
traffic_volume_2,0.94,0.89,0.83,0.67,0.57,0.36,0.71,0.63,0.67,0.53,0.6,0.52,0.52,0.52,0.57,0.46,0.77,0.45,0.41,0.5,0.47,0.4,0.45,0.38,0.46,0.39,0.24,0.92,0.82,0.74
traffic_volume_0,1.0,0.94,0.93,0.66,0.6,0.34,0.79,0.63,0.78,0.66,0.58,0.66,0.58,0.59,0.48,0.59,0.75,0.43,0.48,0.51,0.42,0.41,0.52,0.41,0.42,0.52,0.25,1.01,0.86,0.79
traffic_volume_1,1.03,0.96,1.03,0.66,0.64,0.52,0.89,0.65,0.76,0.67,0.57,0.78,0.58,0.55,0.58,0.59,0.57,0.49,0.49,0.55,0.47,0.41,0.5,0.46,0.47,0.63,0.33,1.12,0.93,0.83
