,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,scattered clouds_1,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,traffic_volume_2,traffic_volume_0,traffic_volume_1
scattered clouds_0,1.7,0.82,,1.25,0.94,1.48,1.19,1.17,,0.71,1.04,1.0,1.69,0.82,0.92,0.87,2.15,2.04,0.87,1.14,0.64,,1.89,2.2,1.67
few clouds_2,1.67,,,5.02,,,1.43,1.72,,0.52,0.4,0.32,1.0,0.91,,,1.36,2.2,0.75,2.05,,,2.05,2.86,1.81
few clouds_0,1.67,,0.77,1.51,1.37,1.69,1.65,1.28,,0.82,0.9,1.36,1.0,1.0,,,1.83,1.77,1.67,1.69,,,1.98,2.04,1.7
scattered clouds_2,1.92,1.34,,1.48,2.9,,1.2,1.36,,0.71,,0.94,,,1.0,,1.86,2.05,1.78,1.14,1.86,,2.16,1.27,1.66
mist_1,,1.4,1.53,,1.07,2.42,,,1.21,,,,,,,,1.61,2.05,2.01,,,,2.56,2.25,2.01
fog_0,,1.79,,1.09,3.01,,2.03,1.07,1.91,,,,,,,,1.96,1.5,1.56,,,,2.22,3.3,2.5
mist_4,,3.76,,1.09,1.51,,,0.63,1.35,,,,,,,,1.07,3.01,1.84,,,,2.22,1.67,1.99
scattered clouds_3,1.33,,,1.57,,,,,,,,1.83,,,,1.0,4.21,2.17,,1.23,,,2.66,1.17,1.58
broken clouds_2,,,,1.07,,,,,,,,,,,,,7.09,2.22,,1.51,,,2.44,1.93,2.09
heavy snow_0,,2.37,,1.24,2.73,,,,,,,,,,,,5.18,2.44,,,,,2.44,4.14,3.23
proximity thunderstorm_0,,1.71,3.79,,1.8,,,3.77,1.44,,,,,,,,,,2.2,,,,2.78,5.58,3.76
heavy snow_1,,2.15,,,,,,,,,,,,,,,,2.85,,,,,3.12,2.8,2.67
heavy intensity rain_0,,2.15,,,2.02,,,2.68,,,,,,,,,5.24,2.01,,,,,3.12,,3.27
fog_2,,2.15,,,,,,,,,,,,,,,3.03,,,,,,3.12,2.8,2.67
proximity shower rain_0,,,,2.63,,,,,,,,,,,,,,,3.16,,,,4.0,,3.42
snow_0,,2.75,,,2.58,,,,,,,,,,,,,3.65,,,,,4.0,3.58,3.42
heavy intensity drizzle_0,,2.75,,,,,,,,,,,,,,,3.88,3.65,,,,,,,3.42
proximity thunderstorm with rain_0,,2.75,,,2.58,,,,,,,,,,,,,3.65,,,,,4.0,,
thunderstorm with light rain_0,,2.75,,,2.58,,,,2.32,,,,,,,,,,3.16,,,,4.0,,
temp_4,0.85,0.68,0.82,0.68,0.66,0.88,0.64,0.63,0.62,0.64,0.5,0.4,0.56,0.45,0.59,0.23,1.0,0.83,1.09,0.77,0.64,0.12,1.11,0.92,0.9
temp_3,0.85,0.8,0.67,0.7,0.77,0.7,0.65,0.72,0.97,0.54,0.74,0.46,0.34,0.52,0.55,0.49,1.26,1.02,0.58,0.62,0.48,,1.15,1.1,1.02
temp_5,1.01,0.83,0.95,0.85,0.81,0.64,0.84,0.97,0.67,1.19,1.11,1.24,2.07,0.77,0.45,,1.2,1.72,0.99,,0.64,0.75,1.28,1.19,1.15
temp_2,1.22,1.66,1.47,1.29,,0.75,1.11,1.34,,0.52,0.38,0.88,0.62,0.65,0.65,0.95,1.4,1.29,,1.0,,,1.36,1.91,1.32
temp_6,1.3,,,1.1,,,0.57,1.0,,0.47,0.42,1.0,,,0.61,,1.59,2.38,1.1,,0.88,0.89,1.63,1.11,1.27
temp_7,2.31,,,,,,1.04,,,,,,,,,,3.28,,2.32,,1.59,1.0,2.93,2.27,2.5
traffic_volume_2,0.81,0.73,0.61,0.66,0.73,0.61,0.52,0.66,0.69,0.49,0.43,0.63,0.51,0.58,0.37,0.23,0.98,0.97,0.76,0.88,0.4,0.21,1.0,1.1,0.92
traffic_volume_0,0.82,0.7,0.93,0.79,0.66,0.89,0.82,0.81,0.59,0.63,0.56,0.39,0.44,0.4,0.7,1.05,1.11,0.89,1.04,0.51,0.73,0.44,1.22,1.0,0.98
traffic_volume_1,0.98,0.77,1.03,0.73,0.74,0.77,0.77,0.72,0.71,0.65,0.7,0.45,0.51,0.5,0.54,0.85,1.2,1.03,1.08,0.64,0.94,0.89,1.23,0.82,1.0
