,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,scattered clouds_1,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,traffic_volume_2,traffic_volume_0,traffic_volume_1
mist_4,,3.9,,0.75,1.24,,,0.61,1.34,,,,,,,,0.59,1.19,1.95,,,,1.67,1.41,2.0
scattered clouds_3,1.32,,,2.44,,,,,,,,3.03,,,,3.08,2.65,1.93,,1.61,,,1.93,0.84,1.41
broken clouds_2,,,,1.4,,,,,,,,,,,,,3.61,1.95,,2.28,,,1.74,1.66,2.04
heavy snow_0,,2.7,,1.02,3.19,,,,,,,,,,,,2.51,2.03,,,,,1.67,2.86,2.62
proximity thunderstorm_0,,2.17,3.54,,2.16,,,4.51,2.45,,,,,,,,,,2.29,,,,1.94,3.4,2.86
heavy snow_1,,2.67,,,,,,,,,,,,,,,,2.18,,,,,2.04,2.21,2.29
heavy intensity rain_0,,2.67,,,2.8,,,3.07,,,,,,,,,2.9,1.14,,,,,2.04,,2.58
fog_2,,2.67,,,,,,,,,,,,,,,2.09,,,,,,2.04,2.21,2.29
proximity shower rain_0,,,,3.08,,,,,,,,,,,,,,,2.7,,,,2.28,,2.56
snow_0,,2.99,,,3.13,,,,,,,,,,,,,2.44,,,,,2.28,2.47,2.56
heavy intensity drizzle_0,,2.99,,,,,,,,,,,,,,,2.34,2.44,,,,,,,2.56
proximity thunderstorm with rain_0,,2.99,,,3.13,,,,,,,,,,,,,2.44,,,,,2.28,,
thunderstorm with light rain_0,,2.99,,,3.13,,,,3.38,,,,,,,,,,2.7,,,,2.28,,
temp_4,1.07,1.13,1.08,1.23,1.24,1.29,0.9,1.21,1.36,0.81,0.9,0.8,0.71,0.95,0.77,0.22,1.24,0.74,1.07,0.84,0.77,0.13,1.25,1.18,1.34
temp_3,1.02,1.13,0.83,1.17,1.2,1.13,1.04,1.21,1.3,0.89,1.18,0.98,0.46,1.11,0.7,0.78,1.17,1.36,0.27,0.79,0.23,,1.26,1.34,1.48
temp_5,0.97,1.26,1.06,1.23,1.37,0.8,1.01,1.85,1.22,1.2,1.07,1.99,1.71,1.16,0.6,,1.04,0.79,1.55,,0.86,0.82,1.35,1.32,1.49
temp_2,1.57,1.15,1.31,1.93,,0.62,1.81,1.73,,0.59,0.65,1.88,1.09,1.55,1.11,1.65,1.24,1.42,,1.89,,,1.25,1.91,1.58
temp_6,1.61,,,1.25,,,0.78,0.95,,0.53,0.54,1.4,,,1.16,,1.33,1.1,1.26,,1.94,2.23,1.34,1.0,1.33
temp_7,2.35,,,,,,1.16,,,,,,,,,,2.21,,2.35,,3.08,3.83,1.98,1.75,2.22
traffic_volume_2,1.07,1.15,0.78,1.21,1.26,0.98,0.82,1.29,1.31,0.7,0.76,1.35,0.74,1.24,0.61,0.31,1.1,1.05,0.9,1.08,0.52,0.29,1.19,1.4,1.37
traffic_volume_0,1.0,1.03,1.13,1.3,1.08,1.25,1.22,1.41,1.02,0.88,0.95,0.77,0.59,0.84,0.89,1.19,1.2,0.91,1.07,0.58,0.92,0.55,1.32,1.32,1.43
traffic_volume_1,1.13,1.12,1.2,1.16,1.21,1.01,1.09,1.25,1.24,0.9,1.1,0.88,0.63,1.03,0.75,0.92,1.22,1.07,0.96,0.78,0.96,0.98,1.22,0.86,1.39
