,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,overcast clouds_3,moderate rain_0,scattered clouds_1,haze_0,drizzle_0,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,proximity shower rain_0,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds_3,1.1,1.23,,0.81,,,1.02,0.45,,0.6,0.63,,0.73,,,,0.62,,,,,0.48,,0.35,,,,1.39,1.2,1.13
moderate rain_0,1.75,1.16,2.27,,,,1.91,0.84,2.94,0.94,0.84,0.95,0.59,1.1,0.91,,,0.61,0.69,1.04,0.74,1.31,,1.27,,,,1.46,1.39,1.22
scattered clouds_1,1.32,1.1,0.84,1.6,0.95,,1.08,0.7,1.03,0.75,0.78,0.47,1.1,0.75,0.83,0.8,,0.92,0.61,,,0.46,1.45,0.53,0.58,0.71,,1.35,1.17,1.1
haze_0,1.54,1.49,1.19,1.48,,,4.63,0.85,,1.67,0.77,1.6,1.37,1.25,0.86,,,0.52,,0.58,0.35,1.52,,1.8,,,,1.54,1.2,1.13
mist_3,1.31,1.31,0.59,,,,0.63,1.11,,0.96,1.72,,,0.38,1.5,,,0.79,,,,0.31,,0.42,,,,1.39,1.39,1.13
drizzle_0,1.54,0.99,2.65,,,,,0.91,,1.25,0.84,3.76,,1.14,0.8,,,0.59,,2.0,0.61,,,,,,,1.67,1.67,1.21
scattered clouds_0,1.32,1.31,0.89,0.79,0.77,,1.17,0.67,0.9,0.87,1.18,0.94,0.8,0.85,1.22,0.6,1.12,,0.98,0.85,,0.66,0.97,0.49,1.01,0.55,0.41,1.36,1.18,1.11
few clouds_2,1.35,1.41,1.33,1.07,,,1.01,,4.08,1.01,0.54,,1.32,1.53,,1.04,,,0.32,,,0.5,0.56,0.4,,,,1.41,1.22,1.15
few clouds_0,1.31,1.28,1.09,1.12,1.12,,1.06,0.81,0.66,0.81,0.76,0.85,1.09,0.73,0.62,0.76,1.11,0.69,0.6,0.33,,0.7,1.18,0.64,,,,1.46,1.22,1.15
scattered clouds_2,1.41,1.52,1.22,0.99,1.24,,1.34,1.02,0.72,0.9,1.05,0.78,0.67,0.8,,0.75,,,0.81,,,0.52,,,0.55,,,1.46,1.27,1.19
mist_1,1.16,1.89,1.46,,,,,0.84,2.01,1.08,0.78,0.92,,0.78,0.69,,,0.6,,0.79,0.3,,,,,,,1.54,1.48,1.4
fog_0,1.37,0.93,0.81,,,,,1.12,,0.75,2.36,,0.58,0.69,2.05,,,0.84,0.87,1.18,0.82,,,,,,,1.5,1.46,1.29
mist_4,0.73,2.83,1.02,,,,,1.04,,1.23,0.96,,1.12,0.69,0.83,,,0.71,0.87,,0.33,,,,,,,1.5,1.3,1.22
scattered clouds_3,1.81,1.35,,0.66,,,0.85,,,0.88,,,0.56,3.15,,,,,0.72,,,0.59,,,,0.51,,1.52,1.32,1.24
broken clouds_2,1.48,1.37,,0.89,,,,,,0.9,,0.83,3.07,,,,,,,,,,,,,,,1.54,1.33,1.26
heavy snow_0,4.26,1.44,,1.17,,,,1.19,,0.46,1.3,,,1.53,,1.06,1.04,0.88,,,,0.79,,0.46,,,,1.63,1.41,1.33
proximity thunderstorm_0,,,1.23,,,,,0.94,2.44,,0.88,,,2.29,0.75,,,0.7,,0.6,,,,,,,,1.67,3.8,1.85
heavy snow_1,,1.59,,,,,,1.1,,,,,,0.93,,,,,,,,,,,,,,1.79,1.55,1.46
heavy intensity rain_0,3.33,1.02,,,,,,1.1,,1.3,1.02,,,1.81,,,,0.75,,,,,,,,,,1.79,3.0,1.87
fog_2,1.72,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,1.79,1.55,1.46
proximity shower rain_0,2.0,,1.54,,,,1.54,,,1.21,1.18,,,1.09,,,,,,,,0.82,,,,,,2.09,1.81,1.7
snow_0,2.0,1.85,,,,,,1.28,,,1.18,1.12,,,,,,0.87,,,0.82,,,,,,,2.09,1.81,1.7
heavy intensity drizzle_0,2.0,1.85,,,,,,1.28,,,,,,,,,,,,0.82,,,,,,,,2.09,1.81,1.7
proximity thunderstorm with rain_0,,1.85,,,,,,1.28,,,1.18,,,,,,,0.87,,,,,,,,,,2.09,,
thunderstorm with light rain_0,,,1.54,,,,,1.28,,,1.18,,,,1.03,,,0.87,,0.82,,,,,,,,2.09,,
temp_4,0.87,0.83,1.02,0.8,0.79,0.53,0.78,0.61,0.85,0.6,0.58,0.68,0.57,0.55,0.52,0.47,,0.44,0.46,0.56,0.45,0.36,0.47,0.41,0.75,0.4,0.68,0.95,0.81,0.74
temp_3,1.06,0.87,1.45,0.6,,,0.76,0.77,0.62,0.57,0.67,0.6,0.56,0.59,0.97,0.57,0.62,0.67,0.6,0.7,0.74,0.45,0.43,0.41,0.55,0.58,,0.99,0.88,0.81
temp_5,1.08,1.92,0.75,,0.59,0.38,1.04,0.63,0.96,0.88,0.59,0.76,0.79,0.65,0.51,0.99,,0.47,1.25,0.54,0.26,0.84,1.32,1.1,0.41,,0.2,1.01,0.98,0.86
temp_2,1.17,1.03,,0.68,,,0.9,1.0,1.02,0.85,1.59,0.91,0.77,0.89,0.69,0.92,0.48,,0.39,0.49,,0.62,0.71,0.49,0.51,0.58,,1.16,1.0,0.93
temp_6,1.13,1.35,0.86,,0.54,0.38,0.88,,,0.69,1.11,0.5,0.59,0.6,,0.82,,,0.32,,,0.51,,0.71,0.43,,,1.17,1.02,0.96
temp_7,1.65,,1.27,,0.78,0.45,1.27,,,,,,1.09,,,,,,,,,,,,,,,1.72,1.49,1.41
traffic_volume_2,0.93,0.89,0.85,0.71,0.63,0.44,0.73,0.67,0.71,0.56,0.64,0.56,0.56,0.56,0.62,0.51,0.86,0.5,0.46,0.56,0.54,0.45,0.52,0.43,0.53,0.46,0.31,0.91,0.82,0.75
traffic_volume_0,0.95,0.92,0.92,0.68,0.64,0.4,0.79,0.65,0.8,0.68,0.6,0.69,0.61,0.62,0.51,0.64,0.81,0.47,0.53,0.56,0.46,0.45,0.57,0.45,0.47,0.58,0.31,0.96,0.84,0.78
traffic_volume_1,0.97,0.92,1.01,0.68,0.68,0.6,0.87,0.65,0.77,0.69,0.58,0.8,0.6,0.57,0.61,0.62,0.61,0.53,0.52,0.6,0.51,0.44,0.54,0.5,0.51,0.7,0.4,1.05,0.89,0.81
