,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,overcast clouds_3,moderate rain_0,scattered clouds_1,haze_0,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,traffic_volume_2,traffic_volume_0,traffic_volume_1
mist_3,1.31,,0.72,,,,,1.08,,0.65,1.67,,,0.48,1.35,,,0.46,,,0.44,,,,,1.39,1.39,1.25
drizzle_0,1.48,1.18,2.65,,,,,0.88,,1.53,0.81,2.14,,1.51,0.8,,,0.57,,1.7,,,,,,1.74,1.88,1.17
scattered clouds_0,1.36,1.37,0.89,0.85,0.77,,1.17,0.67,0.73,0.85,1.45,0.98,0.81,0.78,1.26,0.67,1.12,,0.98,1.29,0.74,0.97,0.55,0.9,0.55,1.36,1.18,1.11
few clouds_2,1.4,1.41,1.33,1.07,,,1.01,,,1.53,0.54,,1.32,1.53,,0.43,,,0.32,,0.32,0.56,0.56,,,1.41,1.22,1.15
few clouds_0,1.31,1.28,1.09,1.18,1.12,,1.08,0.88,0.67,0.94,0.93,1.19,1.09,0.93,,0.65,,,0.64,,0.7,1.08,0.68,,,1.46,1.22,1.12
scattered clouds_2,1.41,1.52,1.22,1.1,1.24,,1.34,1.02,0.79,0.9,1.05,,0.67,0.8,,0.89,,,0.81,,0.61,,,0.55,,1.46,1.23,1.19
mist_1,1.16,1.89,1.46,,,,,0.93,1.71,0.82,0.76,1.4,,0.69,0.66,,,0.69,,0.79,,,,,,1.54,1.58,1.4
fog_0,1.37,1.42,0.85,,,,,1.12,,0.71,2.08,,0.88,0.69,1.81,,,0.79,,1.07,,,,,,1.5,1.7,1.29
mist_4,0.73,2.83,1.02,,,,,1.12,,1.23,0.91,,,0.4,0.82,,,1.11,1.32,,,,,,,1.5,1.3,1.22
scattered clouds_3,2.21,1.35,,0.66,,,0.85,,,0.88,,,,,,,,,,,0.54,,,,0.51,1.52,1.32,1.24
broken clouds_2,2.1,1.37,,0.89,,,,,,0.9,,1.13,,,,,,,,,,,,,,1.47,1.33,1.26
heavy snow_0,3.9,1.44,,1.34,,,,1.41,,0.52,1.3,,,1.53,,,1.04,0.88,,,0.91,,,,,1.63,1.57,1.48
proximity thunderstorm_0,,,1.23,,,,,0.94,2.44,,0.88,,,2.29,0.75,,,0.8,,0.68,,,,,,1.67,3.8,2.36
heavy snow_1,,1.59,,,,,,1.1,,,,,,,,,,,,,,,,,,1.79,1.55,1.46
heavy intensity rain_0,3.33,1.02,,,,,,1.1,,1.3,1.02,,,1.81,,,,0.75,,,,,,,,1.79,3.0,1.87
fog_2,1.72,,,,,,,1.1,,,,,,,,,,,,,,,,,,1.79,1.55,1.46
proximity shower rain_0,2.0,,1.54,,,,,,,1.21,1.18,,,,,,,,,,,,,,,2.09,1.81,1.7
snow_0,2.0,1.85,,,,,,1.28,,,1.18,1.12,,,,,,0.87,,,,,,,,2.09,1.81,1.7
heavy intensity drizzle_0,2.0,1.85,,,,,,1.28,,,,,,,,,,,,0.82,,,,,,,1.81,1.7
proximity thunderstorm with rain_0,,1.85,,,,,,1.28,,,1.18,,,,,,,0.87,,,,,,,,2.09,,
thunderstorm with light rain_0,,,1.54,,,,,1.28,,,1.18,,,,1.03,,,0.87,,0.82,,,,,,2.09,,
temp_4,0.88,0.84,1.1,0.86,0.85,0.41,0.81,0.62,0.86,0.61,0.6,0.76,0.62,0.56,0.54,0.52,1.35,0.45,0.5,0.59,0.37,0.49,0.45,0.68,0.38,0.98,0.83,0.75
temp_3,1.09,0.86,1.29,0.61,0.71,,0.78,0.77,0.65,0.6,0.68,0.65,0.58,0.64,1.01,0.58,0.66,0.7,0.66,0.69,0.45,0.47,0.44,0.59,0.61,1.0,0.9,0.83
temp_5,1.05,2.2,0.75,,0.55,0.42,1.0,0.66,0.98,0.8,0.61,0.68,0.77,0.73,0.52,1.64,,0.49,1.19,0.54,0.97,1.18,0.99,0.51,,1.01,1.06,0.9
temp_2,1.17,0.99,,0.68,,,0.93,1.44,1.12,0.98,1.77,0.91,0.79,1.04,,0.83,0.57,,0.39,0.62,0.68,0.67,0.47,0.54,0.58,1.16,1.01,0.9
temp_6,1.13,1.46,0.85,,0.54,0.68,0.88,,,0.64,1.32,0.5,0.53,0.66,,0.41,,,0.32,,0.51,,0.71,0.46,,1.17,1.0,0.96
temp_7,1.65,,1.27,,0.78,0.45,1.27,,,,,,0.83,,,,,,,,,,,,,1.72,1.49,1.41
traffic_volume_2,0.92,0.88,0.85,0.73,0.62,0.45,0.75,0.68,0.76,0.56,0.67,0.59,0.56,0.6,0.62,0.54,0.8,0.52,0.48,0.58,0.51,0.51,0.45,0.49,0.46,0.9,0.86,0.77
traffic_volume_0,0.97,0.92,0.93,0.71,0.65,0.4,0.78,0.64,0.81,0.74,0.6,0.79,0.64,0.69,0.53,0.67,0.86,0.51,0.54,0.63,0.44,0.61,0.46,0.62,0.58,1.0,0.84,0.78
traffic_volume_1,0.99,0.95,1.05,0.69,0.78,0.71,0.94,0.68,0.8,0.68,0.6,0.77,0.66,0.57,0.65,0.61,0.64,0.55,0.55,0.56,0.43,0.64,0.52,0.53,1.04,1.08,0.92,0.82
