,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,scattered clouds_1,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,traffic_volume_2,traffic_volume_0,traffic_volume_1
moderate rain_0,,2.15,,0.83,2.21,1.06,,2.04,2.72,,,,,,,,1.74,1.16,1.45,,,,1.5,1.86,1.95
scattered clouds_1,1.64,0.5,,1.79,,,0.72,1.46,,1.04,2.09,1.24,1.42,1.86,,,1.2,1.1,0.87,2.75,1.29,,1.43,0.95,1.18
haze_0,,2.16,,,1.18,1.94,,1.61,3.31,,,0.88,,,,,1.28,1.45,1.48,0.71,,,1.62,1.07,1.58
mist_3,,1.89,,1.09,1.84,,,0.63,1.34,,,1.06,,,,,1.79,,0.82,,,,1.64,1.69,2.51
drizzle_0,,2.25,,,2.39,0.97,,2.37,2.54,,,,,,,,1.72,0.74,1.08,,,,1.2,1.92,1.94
scattered clouds_0,1.49,,,1.69,,1.19,1.6,1.15,,0.5,1.12,1.02,1.93,0.55,0.93,,1.39,1.49,0.36,1.15,,,1.08,1.88,1.67
few clouds_2,2.16,,,,,,0.78,,,0.56,0.55,0.46,2.63,,,,0.65,1.63,,2.88,,,1.67,3.39,4.1
few clouds_0,1.62,,,1.93,,1.67,1.49,1.38,,,1.2,2.45,,1.25,,,1.31,1.23,1.14,1.8,,,1.31,1.86,1.4
scattered clouds_2,1.92,,,2.15,,,1.27,2.28,,,,0.76,,,2.72,,0.86,0.85,1.15,1.14,2.75,,2.37,0.9,1.7
mist_1,,1.89,,,1.34,1.9,,,1.62,,,,,,,,1.1,0.89,1.7,,,,1.32,1.86,1.62
fog_0,,1.95,,0.93,2.48,,,,2.19,,,,,,,,1.16,,1.54,,,,1.2,1.72,1.66
mist_4,,,,,,,,,,,,,,,,,0.5,1.19,1.95,,,,1.4,1.27,2.14
scattered clouds_3,1.73,,,1.75,,,,,,,,,,,,3.08,2.65,1.65,,,,,2.22,,0.4
broken clouds_2,,,,,,,,,,,,,,,,,3.32,2.2,,0.9,,,2.64,0.44,2.2
heavy snow_0,,2.31,,1.25,3.19,,,,,,,,,,,,1.54,2.03,,,,,1.67,,2.23
proximity thunderstorm_0,,2.32,2.18,,2.16,,,,3.23,,,,,,,,,,2.29,,,,1.35,,2.0
heavy snow_1,,2.67,,,,,,,,,,,,,,,,2.18,,,,,2.04,,
heavy intensity rain_0,,2.67,,,3.16,,,1.89,,,,,,,,,2.9,1.14,,,,,0.95,,2.39
fog_2,,2.67,,,,,,,,,,,,,,,2.09,,,,,,,2.21,2.58
proximity shower rain_0,,,,3.08,,,,,,,,,,,,,,,2.7,,,,2.28,,
snow_0,,2.99,,,3.13,,,,,,,,,,,,,2.44,,,,,,2.47,2.56
heavy intensity drizzle_0,,2.99,,,,,,,,,,,,,,,2.34,2.44,,,,,,,2.56
proximity thunderstorm with rain_0,,2.99,,,3.13,,,,,,,,,,,,,2.44,,,,,,,
thunderstorm with light rain_0,,2.99,,,3.13,,,,3.38,,,,,,,,,,2.7,,,,2.28,,
temp_4,0.87,1.14,0.88,0.99,1.11,1.05,0.81,1.04,1.26,0.64,0.84,0.67,0.72,0.72,0.51,0.22,1.23,0.67,0.82,0.55,0.33,,1.1,1.0,1.17
temp_3,0.89,1.01,0.81,1.0,1.2,0.88,0.76,0.86,1.16,0.74,0.82,0.72,0.39,0.93,0.65,0.74,1.01,1.33,0.09,0.69,,,1.04,1.23,1.4
temp_5,0.9,1.16,0.76,0.94,1.26,0.68,0.82,1.63,1.2,0.95,0.66,1.54,,0.54,0.6,,0.81,0.66,1.54,,1.04,,1.32,0.92,1.12
temp_2,1.52,1.15,0.22,1.54,,0.94,1.74,0.93,,,0.2,1.39,0.44,1.37,1.0,,0.59,1.23,,1.89,,,0.65,1.94,1.55
temp_6,1.69,,,1.95,,,0.98,,,0.6,0.58,,,,1.21,,1.08,,1.25,,2.27,2.23,1.68,,0.51
temp_7,3.56,,,,,,1.16,,,,,,,,,,,,,,3.08,3.83,1.98,,
traffic_volume_2,1.03,1.1,0.52,1.06,1.19,0.79,0.61,1.08,1.19,0.66,0.63,1.15,0.76,0.95,0.36,0.25,0.97,1.0,0.79,1.08,0.46,0.31,1.17,1.19,1.06
traffic_volume_0,0.77,0.95,1.05,0.98,0.98,1.01,1.1,1.2,0.99,0.58,0.73,0.46,0.18,0.66,0.88,,1.17,0.92,0.98,0.59,1.11,,0.67,1.32,1.38
traffic_volume_1,0.98,1.13,1.14,0.99,1.07,0.86,0.94,0.91,1.15,0.64,0.91,0.53,0.18,0.94,0.66,1.07,1.07,0.91,0.91,0.45,0.96,,1.35,0.77,1.28
