,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,scattered clouds_1,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds_3,,0.87,,,0.72,,0.52,,,,,0.38,,,,,,1.48,,0.88,,,2.09,1.28,1.34
moderate rain_0,,0.96,2.34,0.97,0.98,1.46,1.52,1.54,1.01,,,,,,,,2.41,1.66,2.12,,,,1.83,2.1,1.87
scattered clouds_1,1.47,1.23,3.09,1.06,1.88,0.54,1.07,0.95,1.6,0.67,0.68,0.53,1.18,0.65,,,1.53,1.39,1.31,1.72,1.29,,1.56,1.38,1.44
haze_0,,1.06,,1.11,0.99,2.22,,1.87,2.4,,,1.07,,,,,2.35,1.77,1.43,1.67,,,2.25,1.37,1.59
mist_3,,1.15,,0.81,1.55,,,0.62,1.32,,,0.48,,,,,1.88,,0.87,,,,2.15,2.38,1.59
drizzle_0,,1.03,,2.12,0.94,2.94,,2.08,0.91,,,,,,,,1.85,1.85,3.19,,,,2.21,2.38,1.74
scattered clouds_0,1.39,0.93,,0.94,1.08,1.39,0.95,0.93,,0.64,0.86,0.81,1.6,0.61,0.94,0.86,1.9,1.81,0.91,0.99,0.65,,1.63,1.87,1.32
few clouds_2,1.27,,,4.71,,,1.19,1.37,,0.48,0.35,0.27,0.62,0.67,,,1.24,1.83,0.84,1.66,,,1.74,2.52,1.43
few clouds_0,1.31,,0.73,1.12,1.64,1.52,1.34,1.2,,0.84,0.67,1.01,0.9,0.75,,,1.6,1.54,1.68,1.37,,,1.71,1.73,1.34
scattered clouds_2,1.65,1.22,,1.07,2.86,,1.03,1.01,,0.66,,0.72,,,0.61,,1.64,1.92,1.5,0.99,1.42,,1.83,1.17,1.35
mist_1,,1.03,1.55,,0.8,2.09,,,0.89,,,,,,,,1.46,2.39,1.66,,,,2.21,1.93,1.63
fog_0,,1.3,,1.12,2.49,,2.02,0.81,1.6,,,,,,,,1.77,1.81,1.32,,,,1.88,2.92,2.03
mist_4,,3.11,,1.12,1.43,,,0.57,1.22,,,,,,,,1.06,3.62,1.43,,,,1.88,1.38,1.54
scattered clouds_3,1.06,,,1.07,,,,,,,,1.34,,,,0.57,3.91,1.73,,0.92,,,2.28,1.04,1.28
broken clouds_2,,,,0.79,,,,,,,,,,,,,7.25,1.77,,1.03,,,2.08,1.56,1.61
heavy snow_0,,1.78,,1.12,2.07,,,,,,,,,,,,5.25,1.92,,,,,2.05,3.62,2.65
proximity thunderstorm_0,,1.2,3.1,,1.32,,,2.85,0.93,,,,,,,,,,1.62,,,,2.29,5.11,3.14
heavy snow_1,,1.46,,,,,,,,,,,,,,,,2.22,,,,,2.55,2.16,2.01
heavy intensity rain_0,,1.46,,,1.33,,,1.98,,,,,,,,,4.69,1.82,,,,,2.55,,2.57
fog_2,,1.46,,,,,,,,,,,,,,,2.43,,,,,,2.55,2.16,2.01
proximity shower rain_0,,,,1.71,,,,,,,,,,,,,,,2.24,,,,3.18,,2.52
snow_0,,1.82,,,1.66,,,,,,,,,,,,,2.77,,,,,3.18,2.7,2.52
heavy intensity drizzle_0,,1.82,,,,,,,,,,,,,,,3.04,2.77,,,,,,,2.52
proximity thunderstorm with rain_0,,1.82,,,1.66,,,,,,,,,,,,,2.77,,,,,3.18,,
thunderstorm with light rain_0,,1.82,,,1.66,,,,1.41,,,,,,,,,,2.24,,,,3.18,,
temp_4,0.82,0.6,0.82,0.58,0.56,0.86,0.64,0.54,0.51,0.71,0.47,0.37,0.64,0.4,0.69,0.31,0.9,0.89,1.18,0.85,0.72,0.18,1.04,0.84,0.77
temp_3,0.81,0.75,0.67,0.61,0.7,0.63,0.6,0.64,0.98,0.51,0.73,0.4,0.37,0.46,0.63,0.51,1.28,0.88,0.89,0.62,0.85,,1.07,1.0,0.87
temp_5,1.03,0.71,0.95,0.76,0.67,0.63,0.84,0.77,0.56,1.37,1.33,1.17,2.76,0.76,0.48,,1.19,2.41,0.79,,0.63,0.97,1.14,1.09,0.98
temp_2,1.0,1.96,1.54,1.05,,0.84,0.89,1.21,,0.52,0.32,0.67,0.53,0.47,0.57,0.85,1.28,1.09,,0.73,,,1.21,1.7,1.09
temp_6,1.02,,,0.96,,,0.46,0.98,,0.45,0.38,0.88,,,0.48,,1.4,2.9,0.89,,0.59,0.67,1.43,0.98,1.05
temp_7,1.69,,,,,,0.79,,,,,,,,,,2.72,,1.69,,0.96,0.51,2.4,1.81,1.9
traffic_volume_2,0.77,0.67,0.63,0.57,0.66,0.57,0.49,0.57,0.61,0.51,0.41,0.57,0.55,0.53,0.39,0.28,0.93,0.96,0.76,0.93,0.45,0.26,0.91,1.02,0.8
traffic_volume_0,0.78,0.63,0.92,0.69,0.58,0.86,0.77,0.71,0.53,0.63,0.53,0.35,0.48,0.35,0.81,1.3,1.04,0.87,1.07,0.53,0.79,0.56,1.12,0.88,0.83
traffic_volume_1,0.94,0.69,1.04,0.63,0.64,0.75,0.73,0.62,0.62,0.65,0.68,0.4,0.57,0.44,0.58,1.06,1.14,0.99,1.17,0.65,1.11,1.19,1.17,0.78,0.85
