,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,overcast clouds_3,moderate rain_0,scattered clouds_1,haze_0,drizzle_0,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,proximity shower rain_0,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds_3,1.62,1.77,,1.02,,,1.38,0.58,,0.76,0.79,,0.89,,,,0.72,,,,,0.54,,0.39,,,,2.07,1.72,1.59
moderate rain_0,2.65,1.72,3.17,,,,2.67,1.11,3.87,1.22,1.08,1.2,0.75,1.39,1.12,,,0.72,0.81,1.2,0.86,1.51,,1.45,,,,2.23,2.03,1.76
scattered clouds_1,2.01,1.63,1.19,2.09,1.15,,1.51,0.94,1.37,0.99,1.01,0.6,1.4,0.95,1.03,0.97,,1.09,0.72,,,0.53,1.67,0.61,0.66,0.78,,2.09,1.73,1.6
haze_0,2.4,2.27,1.72,1.98,,,6.67,1.15,,2.24,1.03,2.1,1.79,1.62,1.1,,,0.63,,0.69,0.41,1.81,,2.13,,,,2.43,1.82,1.68
mist_3,2.04,2.0,0.85,,,,0.91,1.51,,1.29,2.3,,,0.5,1.91,,,0.97,,,,0.37,,0.5,,,,2.2,2.1,1.68
drizzle_0,2.4,1.51,3.82,,,,,1.25,,1.67,1.12,4.94,,1.48,1.03,,,0.72,,2.39,0.73,,,,,,,2.64,2.53,1.8
scattered clouds_0,2.06,2.0,1.29,1.06,0.96,,1.68,0.92,1.22,1.17,1.57,1.24,1.04,1.1,1.55,0.75,1.39,,1.19,1.01,,0.79,1.14,0.58,1.16,0.62,0.38,2.15,1.78,1.65
few clouds_2,2.15,2.17,1.94,1.46,,,1.48,,5.63,1.38,0.73,,1.75,2.02,,1.31,,,0.39,,,0.6,0.67,0.48,,,,2.26,1.88,1.74
few clouds_0,2.08,1.98,1.59,1.52,1.41,,1.56,1.12,0.91,1.1,1.03,1.14,1.45,0.97,0.8,0.97,1.4,0.85,0.74,0.4,,0.85,1.41,0.76,,,,2.35,1.88,1.74
scattered clouds_2,2.31,2.43,1.85,1.39,1.62,,2.04,1.46,1.03,1.27,1.47,1.08,0.92,1.1,,0.99,,,1.03,,,0.66,,,0.67,,,2.43,2.02,1.87
mist_1,1.9,3.02,2.22,,,,,1.21,2.87,1.52,1.09,1.27,,1.07,0.92,,,0.76,,0.99,0.37,,,,,,,2.55,2.36,2.18
fog_0,2.29,1.53,1.25,,,,,1.64,,1.07,3.38,,0.82,0.96,2.82,,,1.1,1.13,1.51,1.05,,,,,,,2.54,2.38,2.07
mist_4,1.22,4.64,1.58,,,,,1.53,,1.77,1.37,,1.58,0.96,1.14,,,0.92,1.13,,0.43,,,,,,,2.54,2.11,1.95
scattered clouds_3,3.07,2.23,,0.97,,,1.33,,,1.29,,,0.8,4.46,,,,,0.95,,,0.77,,,,0.63,,2.61,2.17,2.0
broken clouds_2,2.55,2.3,,1.31,,,,,,1.33,,1.2,4.43,,,,,,,,,,,,,,,2.69,2.23,2.06
heavy snow_0,7.74,2.56,,1.82,,,,1.89,,0.72,2.02,,,2.31,,1.54,1.5,1.24,,,,1.1,,0.63,,,,3.0,2.49,2.3
proximity thunderstorm_0,,,2.12,,,,,1.53,3.95,,1.4,,,3.54,1.15,,,1.01,,0.85,,,,,,,,3.15,6.86,3.28
heavy snow_1,,3.09,,,,,,1.92,,,,,,1.55,,,,,,,,,,,,,,3.61,3.0,2.77
heavy intensity rain_0,6.62,1.99,,,,,,1.92,,2.22,1.73,,,2.99,,,,1.16,,,,,,,,,,3.61,5.8,3.54
fog_2,3.43,,,,,,,1.92,,,,,,,,,,,,,,,,,,,,3.61,3.0,2.77
proximity shower rain_0,4.61,,3.27,,,,3.26,,,2.4,2.32,,,2.08,,,,,,,,1.43,,,,,,4.86,4.03,3.73
snow_0,4.61,4.16,,,,,,2.59,,,2.32,2.17,,,,,,1.56,,,1.43,,,,,,,4.86,4.03,3.73
heavy intensity drizzle_0,4.61,4.16,,,,,,2.59,,,,,,,,,,,,1.43,,,,,,,,4.86,4.03,3.73
proximity thunderstorm with rain_0,,4.16,,,,,,2.59,,,2.32,,,,,,,1.56,,,,,,,,,,4.86,,
thunderstorm with light rain_0,,,3.27,,,,,2.59,,,2.32,,,,1.94,,,1.56,,1.43,,,,,,,,4.86,,
temp_4,0.91,0.85,0.98,0.71,0.66,0.36,0.75,0.56,0.77,0.54,0.52,0.6,0.5,0.47,0.44,0.39,,0.36,0.37,0.45,0.35,0.28,0.37,0.32,0.58,0.3,0.41,1.0,0.81,0.73
temp_3,1.15,0.92,1.44,0.56,,,0.75,0.72,0.58,0.53,0.62,0.55,0.5,0.53,0.85,0.49,0.53,0.56,0.5,0.57,0.61,0.37,0.35,0.34,0.44,0.45,,1.08,0.92,0.83
temp_5,1.26,2.2,0.81,,0.55,0.29,1.12,0.65,0.98,0.89,0.59,0.75,0.77,0.63,0.49,0.92,,0.43,1.13,0.49,0.23,0.75,1.17,0.97,0.36,,0.14,1.2,1.12,0.96
temp_2,1.54,1.31,,0.76,,,1.09,1.14,1.17,0.95,1.77,1.0,0.84,0.97,0.74,0.96,0.5,,0.39,0.49,,0.62,0.7,0.48,0.49,0.55,,1.53,1.27,1.16
temp_6,1.65,1.92,1.17,,0.63,0.37,1.19,,,0.87,1.39,0.61,0.72,0.73,,0.96,,,0.36,,,0.57,,0.78,0.47,,,1.74,1.44,1.33
temp_7,3.17,,2.25,,1.19,0.58,2.24,,,,,,1.75,,,,,,,,,,,,,,,3.34,2.77,2.57
traffic_volume_2,0.95,0.89,0.81,0.63,0.51,0.3,0.69,0.59,0.63,0.49,0.56,0.48,0.48,0.48,0.52,0.42,0.7,0.4,0.37,0.44,0.42,0.35,0.4,0.33,0.4,0.34,0.19,0.94,0.81,0.73
traffic_volume_0,1.04,0.97,0.93,0.64,0.56,0.29,0.79,0.62,0.76,0.64,0.56,0.63,0.56,0.56,0.46,0.55,0.7,0.4,0.44,0.46,0.38,0.37,0.47,0.37,0.38,0.46,0.2,1.06,0.88,0.8
traffic_volume_1,1.09,1.01,1.04,0.65,0.6,0.45,0.9,0.64,0.75,0.66,0.56,0.76,0.56,0.53,0.55,0.55,0.54,0.46,0.45,0.51,0.44,0.38,0.46,0.42,0.42,0.57,0.26,1.19,0.97,0.86
