,temp_6,temp_3,temp_5,temp_2,temp_4,temp_7,temp_1,temp_0,sky is clear,mist,overcast clouds,broken clouds,scattered clouds,light rain,few clouds,light snow,Sky is Clear,moderate rain,haze,light intensity drizzle,fog,proximity thunderstorm,drizzle,heavy snow,heavy intensity rain,snow,proximity shower rain,thunderstorm,heavy intensity drizzle,thunderstorm with heavy rain,thunderstorm with light rain,proximity thunderstorm with rain,thunderstorm with rain,smoke,very heavy rain,thunderstorm with light drizzle,proximity thunderstorm with drizzle,light intensity shower rain,light shower snow,shower drizzle,light rain and snow,SQUALLS,sleet,freezing rain,thunderstorm with drizzle,shower snow,sky is clear_0,mist_0,broken clouds_0,light rain_0,broken clouds_1,moderate rain_0,overcast clouds_0,overcast clouds_2,overcast clouds_1,scattered clouds_0,light intensity drizzle_0,haze_0,light rain_1,few clouds_1,light snow_0,scattered clouds_2,scattered clouds_1,fog_0,overcast clouds_3,mist_1,mist_2,broken clouds_2,drizzle_0,proximity thunderstorm_0,few clouds_0,scattered clouds_3,heavy intensity rain_0,few clouds_2,heavy snow_0,light snow_1,mist_3,light snow_2,overcast clouds_4,light rain_2,snow_0,light snow_3,broken clouds_3,moderate rain_1,mist_4,haze_1,proximity shower rain_0,mist_5,thunderstorm_0,light snow_4,proximity thunderstorm_1,heavy snow_1,thunderstorm with heavy rain_0,broken clouds_4,drizzle_1,heavy intensity drizzle_0,thunderstorm with light rain_0,fog_1,haze_2,heavy snow_3,proximity thunderstorm with rain_0,mist_6,heavy snow_2,thunderstorm with rain_0,haze_3,haze_7,proximity thunderstorm_2,heavy snow_4,fog_2,smoke_0,heavy intensity rain_1,very heavy rain_0,haze_4,heavy intensity rain_2,thunderstorm with light drizzle_0,heavy snow_6,light intensity shower rain_0,proximity thunderstorm with drizzle_0,snow_1,haze_8,light shower snow_0,haze_5,moderate rain_2,heavy snow_5,light rain and snow_0,shower drizzle_0,haze_6,scattered clouds_4,heavy intensity drizzle_1,SQUALLS_0,mist_7,sleet_0,thunderstorm with drizzle_0,proximity thunderstorm with rain_1,thunderstorm with rain_1,few clouds_3,freezing rain_0,snow_2,drizzle_2,light intensity drizzle_1,proximity thunderstorm_3,proximity shower rain_1,heavy intensity rain_3,light rain_3,shower snow_0,sky is clear_1,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,0.76,1.07,0.88,1.02,0.91,0.53,0.82,0.67,0.9,0.95,1.66,1.33,1.0,1.0,0.76,0.72,0.31,0.81,0.71,0.89,0.43,0.59,0.68,0.64,0.52,0.37,0.63,0.35,0.22,0.31,0.42,0.51,0.29,0.0,0.0,0.0,0.24,0.16,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.89,0.92,1.32,1.02,0.93,0.82,1.24,1.28,1.28,1.04,0.89,0.71,0.66,0.57,0.67,0.55,0.64,0.46,1.15,0.71,0.53,0.54,0.67,0.59,0.75,0.2,0.54,0.37,0.62,0.55,0.53,0.48,0.9,0.31,0.37,0.36,0.22,0.22,0.34,0.46,0.63,0.3,0.35,0.21,0.35,0.44,0.31,0,0.4,0.22,0.42,0.16,0.63,0.47,0.52,0.32,0.29,0.29,0.0,0.0,0.12,0.14,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.16,0.24,0.16,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.25,1.08,1.29
broken clouds,0.98,0.92,0.94,0.94,0.94,0.88,0.9,0.8,1.09,0.9,1.12,1.62,1.33,0.89,1.07,0.73,0.47,0.69,0.75,0.67,0.6,0.6,0.48,0.39,0.55,0.25,0.58,0.44,0.24,0.42,0.39,0.34,0.38,0.22,0.23,0.0,0.29,0.22,0,0.0,0.13,0.26,0,0,0.0,0,1.08,0.82,1.33,0.86,1.37,0.7,1.18,0.51,0.82,1.3,0.67,0.72,0.67,0.85,0.7,0.79,0.97,0.59,0.43,0.69,0.67,1.13,0.47,0.61,0.99,0.51,0.54,0.62,0.38,0.62,0.39,0.47,0.23,0.4,0.27,0.27,0.9,0.24,0.56,0.41,0.58,0.29,0.44,0.12,0.28,0.34,0.42,0.66,0.26,0.24,0.39,0.5,0.65,0.23,0.35,0.0,0.34,0.38,0.18,0.24,0.26,0.32,0.0,0.22,0.25,0.23,0.0,0.3,0.0,0,0.22,0.29,0.1,0,0,0.0,0,0,0.13,0.0,0,0,0,0.26,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,1.29,1.07,1.26
scattered clouds,1.19,0.85,1.06,0.78,0.94,1.12,0.7,0.67,1.29,0.85,1.14,1.37,1.65,1.01,1.18,0.59,0.75,0.68,0.79,0.69,0.62,0.52,0.47,0.48,0.55,0.33,0.54,0.41,0.37,0.22,0.34,0.33,0.39,0.0,0.26,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0.0,0.0,1.31,0.86,1.44,0.96,0.88,0.7,1.22,0.55,0.73,1.28,0.69,0.76,0.79,0.91,0.59,1.32,1.31,0.64,0.41,0.61,0.49,0.33,0.47,0.54,1.13,1.16,0.55,0.69,0.46,0.5,0.29,0.34,0.36,0.41,0.35,0.21,0.09,0.08,0.26,0.62,0.54,0.15,0.41,0.14,0.29,0.22,0.22,0.0,0.16,0.37,0.34,0.0,0.35,0.4,0.33,0,0.6,0.39,0.29,0.0,0.17,0.0,0,0.0,0.24,0.26,0.0,0,0.0,0,0.3,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.39,0.97,1.2
light rain,1.19,0.96,1.13,0.59,0.99,1.0,0.39,0.31,0.86,1.31,1.31,1.19,0.94,1.84,0.56,0.77,0.5,1.74,0.97,1.6,0.78,1.38,1.5,0.54,1.42,0.78,0.86,1.19,1.18,1.2,1.1,0.96,1.1,0.29,0.91,0.76,0.76,0.77,0.26,0.57,0.62,0.36,0.82,0.26,0.0,0,0.86,1.37,1.18,1.75,0.86,1.76,1.34,0.73,0.92,0.92,1.6,1.0,1.48,0.51,0.85,0.59,0.65,0.77,0.52,0.79,0.59,0.46,1.51,1.39,0.48,0.22,1.43,0.24,0.57,0.47,0.59,0.48,0.12,1.14,0.78,0.12,0.22,0.66,0.24,0.63,0.87,0.38,1.19,0,0.73,0.23,1.2,0,0.75,1.18,1.1,0.45,0.19,0,0.98,0.11,0.17,1.08,0.0,0,0.3,0.0,0.62,0.29,0.56,0.91,0,0.43,0.76,0,0.77,0.76,0.37,0.0,0.26,0,0.0,0,0.62,0.57,0,0,0.52,0.36,0,0.82,0.0,0.0,0.69,0.0,0.26,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.32,1.18,1.44
few clouds,1.11,0.92,1.11,0.85,1.1,1.15,0.89,0.79,1.33,0.86,0.87,1.21,1.54,0.95,1.94,0.54,1.12,0.56,0.8,0.66,0.67,0.51,0.35,0.83,0.29,0.0,0.34,0.3,0,0.2,0.3,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,1.39,0.78,1.22,0.76,0.84,0.55,0.94,0.44,0.57,1.44,0.66,0.72,0.94,1.8,0.55,1.05,1.1,0.69,0.25,0.66,0.47,0.43,0.35,0.52,1.19,0.86,0.24,1.57,0.83,0.37,0.77,0.27,0.33,0.51,0.0,0.0,0.0,0.36,0.2,0.73,0.34,0.0,0.3,0.0,0.0,0.64,0.2,0,0,0,0.3,0.0,0.52,0.0,0,0,0.0,0.0,0.36,0,0.27,0,0,0.0,0.42,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1.47,1.14,1.4
light snow,0,1.12,0.0,1.41,0.43,0,1.39,1.06,0.77,1.49,1.36,1.15,0.76,1.15,0.3,2.21,0.0,1.09,1.44,1.16,1.29,0.52,1.03,0.9,0.58,1.88,0.5,0,0.65,0.34,0.0,0,0.0,0,0.68,0.0,0,0,0.82,0.91,0.0,0,0.0,1.21,0,0,0.75,1.56,1.27,1.23,0.64,1.11,1.32,0.75,1.15,0.88,1.16,1.5,0.62,0.16,2.05,0.26,0.37,1.3,0.27,1.01,0.62,0.45,1.05,0.47,0.36,0.12,0.58,0,0.96,1.79,0.5,1.56,0.33,0,1.88,1.45,0.28,0,0.34,0.78,0.5,0.32,0,1.23,0.0,0,0.34,0,0.59,0.66,0.0,0.49,0.31,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.68,0,0,0.0,0,0,0,0.69,0,0.82,0.0,0,0,0.0,0.91,0,0,0,0,0,0.0,0,0,0.0,0,1.21,0,0.0,0,0,0,0,0,0,0,1.25,1.43,1.55
Sky is Clear,1.35,0.75,1.27,0.58,1.07,1.37,0.32,0.2,0.81,0.68,0.43,0.73,0.97,0.96,1.02,0.21,2.29,0.58,0.36,0.35,0.44,0.31,0.0,0,0.5,0,0.0,0.3,0,0.36,0.13,0.0,0.0,0,0.67,0.0,0,0,0,0,0,0.0,0,0,0,0,1.67,0.68,0.6,0.79,0.67,0.6,0.39,0.48,0.27,0.64,0.35,0.36,0.86,0.98,0.23,0.91,0.62,0.41,0,0.7,0.18,0.15,0.0,0.32,0.72,0.63,0.48,0.58,0,0.0,0.67,0,0,0.74,0,0,0.18,0.19,0.0,0.0,0.0,0,0.3,0,0,0,0.36,0,0,0,0.13,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.53,0,0.0,0.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.43,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,1.34,1.23,1.44
moderate rain,1.37,0.96,1.26,0.49,1.13,1.1,0.22,0.0,0.93,1.48,1.32,1.19,1.02,1.96,0.56,0.7,0.32,2.2,1.18,1.83,0.8,1.78,1.83,0.3,2.15,0.81,1.28,1.66,1.3,1.43,1.34,1.62,1.07,0.26,1.04,1.23,1.11,1.07,0,0.31,0.48,0.74,1.52,0.98,0.6,0,0.89,1.56,1.23,1.99,0.78,2.16,1.36,0.59,1.02,1.06,1.83,1.17,1.4,0.47,0.77,0.61,0.6,0.79,0.23,0.83,0.93,0.15,1.84,1.8,0.46,0.27,2.17,0.27,0.32,0.38,0.52,0.16,0.0,0.46,0.79,0.0,0,1.4,0.11,1.03,1.29,0.0,1.66,0,0.88,0.0,1.43,0,0.98,1.32,1.34,0.24,0.55,0,1.6,0.0,0,1.07,0.0,0,0.51,0,0.27,0.26,0.8,1.04,0,0.78,1.23,0,1.07,1.11,0.56,0,0,0,0.57,0,0.48,0.31,0,0.0,0.24,0.74,0,1.52,0.6,0.8,0.49,0,0.98,0,0,0.0,0,0,0.0,0,0,0,1.39,1.39,1.61
haze,1.01,0.99,0.99,1.33,0.88,0.79,1.24,1.03,1.05,1.77,1.14,1.05,0.92,1.19,0.79,1.49,0.26,1.01,2.15,1.11,1.55,0.87,0.96,0.98,0.81,1.31,0.61,0.86,0.71,0.2,0.67,0.26,0.28,1.08,0,0.0,0.0,0.22,0.8,0,0,0,0,0.0,0,0.0,1.02,1.81,1.04,1.25,0.76,1.03,1.13,0.69,0.8,0.95,1.11,2.14,0.66,0.51,1.6,0.58,0.53,1.57,0.53,1.53,1.12,0.36,0.98,0.85,0.94,0.32,0.82,0.1,1.04,1.31,0.82,0.57,0.3,0.15,1.3,0.52,0.0,0.0,0.52,1.44,0.61,0.49,0.86,0.26,0.44,0.6,0.2,0,0.17,0.72,0.67,0.86,1.07,0.16,0.29,0.0,0.21,0.3,1.06,0.99,0.0,0.59,0,1.08,0,0,1.13,0,0.0,0,0.22,0.0,0.0,0.9,0.8,0.75,0,0,0,0,0.64,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,1.4,1.42,1.6
light intensity drizzle,1.21,1.26,1.27,0.3,1.35,0.88,0.13,0,0.94,1.8,1.43,1.17,0.88,2.15,0.3,0.95,0.34,2.3,1.37,2.34,1.04,1.76,2.24,0.53,2.01,0.98,1.39,1.44,1.73,1.56,1.21,1.42,1.25,0.37,0.8,1.36,1.25,1.31,0.0,0.62,0.0,0.33,0.95,0.37,0,0,0.93,1.89,1.16,2.27,0.86,2.33,1.45,0.87,1.05,0.97,2.34,1.41,1.17,0.34,1.09,0.5,0.46,1.03,0.31,1.02,0.97,0.39,2.25,1.71,0.29,0.0,2.02,0.0,0.6,0.61,0.83,0.34,0.0,0.14,0.96,0,0,0.0,0.46,0.86,1.39,0.17,1.44,0,1.22,0.0,1.56,0,1.19,1.71,1.21,0.58,0.22,0,1.44,0.0,0.0,1.18,0,0,0.94,0.0,0.0,0.37,0.61,0.8,0,0.53,1.36,0,1.31,1.25,0.55,0,0.0,0.0,0,0,0.0,0.62,0,0,1.08,0.33,0,0.95,0,0.37,0.0,0,0.37,0,0.0,0.0,0,0,0,0,0,0,1.54,1.48,1.76
fog,1.15,1.29,1.24,1.23,0.93,0.57,0.82,0.49,1.24,2.08,0.81,0.76,0.81,1.62,0.79,1.21,0.37,1.35,1.54,1.57,2.52,1.23,1.29,1.37,1.32,1.85,0.55,1.23,1.37,1.54,0.0,0.0,0.41,0.0,0,1.27,0.0,0,0.0,0.0,1.34,0,0,0.0,0.0,0,1.2,2.13,0.71,1.73,0.6,1.38,0.83,0.72,0.49,0.88,1.57,1.6,0.55,0.54,1.29,0.15,0.67,2.52,0.19,1.7,1.97,0.0,1.31,1.35,0.93,0.2,1.37,0.0,1.45,1.23,1.27,0.22,0,0.0,1.86,0,0,0.76,0.46,0.49,0.55,0.42,1.23,0,0.0,1.6,1.54,0,0.55,1.39,0.0,1.39,0.3,0.0,0.0,0.0,0.0,0.42,0,0.0,0,0,1.29,0.0,0.0,0,0,0,1.27,0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.34,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,1.14,1.97,2.0
proximity thunderstorm,1.71,0.46,1.24,0.3,0.62,1.96,0.17,0.18,1.59,1.34,1.57,1.79,1.77,2.04,0.86,0.3,0.63,1.98,1.16,1.66,0.77,2.6,1.12,0.31,1.98,0.38,1.63,2.58,0.93,1.58,1.67,1.25,1.37,0,1.0,1.79,1.47,0.0,0.44,0.4,0,0.85,0.0,0,0.48,0,1.57,1.42,1.9,2.14,1.04,2.02,1.78,0.74,0.9,1.64,1.66,1.14,1.13,0.71,0.29,0.99,1.75,0.78,0.0,0.8,0.44,0.23,1.12,2.48,0.77,0.24,2.0,0.0,0.33,0.33,0.27,0,0,0.69,0.46,0,0,0.5,0.0,0.82,1.63,0,2.58,0,2.06,0,1.58,0,0.0,0.94,1.67,0,0,0,1.22,0.0,0,1.31,0,0,1.56,0,0,0,0.88,1.0,0,0,1.79,0,0.0,1.47,0.0,0,0.44,0.0,0,0,0,0.4,0,0,0,0.85,0,0.0,0.48,0.0,1.03,0,0,0,0,0,0.0,0,0,0,0,0,1.58,1.46,1.73
