,Clouds,Clear,Mist,Rain,Snow,Drizzle,Haze,Thunderstorm,Fog,Smoke,Squall,sky is clear,mist,overcast clouds,broken clouds,scattered clouds,light rain,few clouds,light snow,Sky is Clear,moderate rain,haze,light intensity drizzle,fog,proximity thunderstorm,drizzle,heavy snow,heavy intensity rain,snow,proximity shower rain,thunderstorm,heavy intensity drizzle,thunderstorm with heavy rain,thunderstorm with light rain,proximity thunderstorm with rain,thunderstorm with rain,smoke,very heavy rain,thunderstorm with light drizzle,proximity thunderstorm with drizzle,light intensity shower rain,light shower snow,shower drizzle,light rain and snow,SQUALLS,sleet,thunderstorm with drizzle,freezing rain,shower snow,sky is clear_0,mist_0,broken clouds_0,light rain_0,broken clouds_1,moderate rain_0,overcast clouds_0,overcast clouds_2,overcast clouds_1,scattered clouds_0,light intensity drizzle_0,haze_0,light rain_1,few clouds_1,light snow_0,scattered clouds_2,scattered clouds_1,fog_0,overcast clouds_3,mist_1,mist_2,broken clouds_2,drizzle_0,proximity thunderstorm_0,few clouds_0,scattered clouds_3,heavy intensity rain_0,few clouds_2,heavy snow_0,light snow_1,mist_3,light snow_2,overcast clouds_4,light rain_2,snow_0,light snow_3,broken clouds_3,moderate rain_1,mist_4,haze_1,proximity shower rain_0,mist_5,thunderstorm_0,light snow_4,proximity thunderstorm_1,heavy snow_1,thunderstorm with heavy rain_0,broken clouds_4,drizzle_1,heavy intensity drizzle_0,thunderstorm with light rain_0,haze_2,fog_1,proximity thunderstorm with rain_0,heavy snow_3,mist_6,heavy snow_2,thunderstorm with rain_0,haze_3,haze_7,proximity thunderstorm_2,heavy snow_4,fog_2,smoke_0,very heavy rain_0,heavy intensity rain_1,haze_4,heavy intensity rain_2,thunderstorm with light drizzle_0,heavy snow_6,light intensity shower rain_0,proximity thunderstorm with drizzle_0,haze_8,snow_1,light shower snow_0,haze_5,moderate rain_2,heavy snow_5,shower drizzle_0,light rain and snow_0,scattered clouds_4,haze_6,mist_7,heavy intensity drizzle_1,SQUALLS_0,sleet_0,few clouds_3,thunderstorm with rain_1,proximity thunderstorm with rain_1,freezing rain_0,thunderstorm with drizzle_0,drizzle_2,sky is clear_1,proximity shower rain_1,light intensity drizzle_1,light rain_3,snow_2,shower snow_0,proximity thunderstorm_3,heavy intensity rain_3
Squall,1.22,0.0,2.45,0,0.0,6.89,0.0,41.26,0.0,0.0,0.0,0.0,2.45,4.63,1.48,0.0,3.92,0.0,0.0,0.0,6.93,0.0,9.75,0.0,53.18,0.0,0.0,60.54,0.0,0.0,0.0,0.0,40.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,2.58,5.15,0.0,7.2,11.78,0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.66,0.0,0.0,62.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sky is clear,0.65,11.15,0.13,0.12,0.12,0.06,0.38,0.16,0.14,0.31,0.41,12.45,0.13,0.26,0.6,1.16,0.15,1.31,0.15,0.43,0.06,0.38,0.07,0.14,0.18,0.03,0.06,0.07,0.02,0.06,0.09,0.0,0.08,0.14,0.01,0.04,0.31,0.09,0.0,0.0,0.08,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,11.15,0.1,0.85,0.15,0.35,0.06,0.46,0.14,0.21,1.43,0.07,0.35,0.24,0.99,0.11,0.73,1.09,0.14,0.09,0.35,0.27,0.2,0.03,0.17,1.95,0.57,0.07,0.41,0.04,0.24,0.13,0.24,0.07,0.0,0.02,0.2,0.04,0.02,0.14,0.59,0.06,0.05,0.09,0.0,0.34,0.11,0.08,0.06,0.0,0.0,0.14,0.37,0.18,0.01,0.06,0.16,0.06,0.04,0.6,0.13,0.3,0.11,0.19,0.31,0.09,0.0,0.31,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,1.38,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mist,0.21,0.21,12.76,1.89,2.24,2.32,2.57,1.55,4.02,0.46,1.62,0.24,12.76,0.43,0.2,0.18,1.71,0.14,2.02,0.16,2.0,2.57,2.13,4.02,1.5,2.33,2.32,2.21,2.86,1.35,1.52,2.58,1.96,1.82,1.73,1.9,0.46,2.07,2.46,2.13,1.09,1.09,2.32,1.71,1.62,2.03,2.86,1.62,4.05,0.21,5.0,0.27,2.07,0.13,2.07,0.67,0.26,0.44,0.28,2.13,2.74,0.54,0.11,2.64,0.04,0.18,4.01,0.1,3.61,4.95,0.2,2.31,1.58,0.22,0.0,2.27,0.0,2.63,1.58,5.59,0.49,0.05,0.22,2.87,0.34,0.0,0.48,6.13,1.37,1.35,6.57,1.52,0.0,0.82,1.57,1.96,0.0,2.33,2.55,1.82,0.36,3.15,1.69,0.86,6.74,1.3,1.86,0.84,1.01,0.2,0.66,2.58,0.46,2.07,0.99,1.2,1.05,2.46,1.22,1.09,2.13,1.8,2.37,1.09,2.32,0.0,0.0,2.32,1.71,0.0,0.0,2.03,3.68,1.62,2.03,0.0,3.04,4.05,1.62,2.86,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.0,0.0
overcast clouds,9.46,0.25,0.29,0.42,0.54,0.38,0.36,0.24,0.06,0.54,0.0,0.29,0.29,13.37,1.67,0.71,0.51,0.31,0.52,0.07,0.22,0.36,0.44,0.06,0.25,0.24,0.7,0.1,0.1,0.46,0.13,0.02,0.1,0.27,0.14,0.09,0.54,0.0,0.0,0.0,0.18,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,2.02,0.5,1.15,0.23,1.8,8.28,5.66,1.02,0.44,0.31,0.65,0.24,0.4,0.36,0.61,0.06,9.2,0.47,0.47,0.6,0.24,0.25,0.49,0.13,0.1,0.13,0.56,0.64,0.42,0.81,9.19,0.39,0.09,0.54,0.14,0.12,0.5,0.73,0.46,0.41,0.13,0.44,0.36,0.92,0.1,0.0,0.24,0.02,0.27,1.37,0.14,0.15,1.77,0.55,0.76,0.09,0.0,0.0,0.0,0.51,0.0,0.54,0.0,0.0,0.35,0.0,0.0,0.0,0.18,0.0,0.0,0.4,0.51,0.0,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
broken clouds,8.71,0.61,0.18,0.33,0.35,0.14,0.37,0.3,0.09,0.0,0.52,0.69,0.18,1.38,7.87,2.0,0.39,1.19,0.43,0.22,0.18,0.37,0.18,0.09,0.32,0.06,0.18,0.13,0.05,0.48,0.31,0.02,0.1,0.19,0.09,0.14,0.0,0.11,0.09,0.0,0.2,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.61,0.13,1.95,0.33,7.11,0.18,1.99,0.64,1.28,2.22,0.18,0.34,0.66,1.04,0.37,1.38,1.77,0.08,0.46,0.39,0.47,9.11,0.06,0.32,1.46,0.74,0.13,0.78,0.1,0.67,0.26,0.47,0.24,0.54,0.05,0.27,10.06,0.18,0.59,0.4,0.48,0.13,0.31,0.1,0.3,0.42,0.1,10.29,0.1,0.03,0.19,1.26,0.23,0.1,0.41,0.0,0.83,0.15,0.22,0.32,0.76,0.28,0.0,0.0,0.11,0.54,0.77,0.0,0.09,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scattered clouds,5.31,1.4,0.13,0.3,0.16,0.13,0.34,0.19,0.1,0.26,0.0,1.45,0.13,0.85,2.11,6.44,0.37,2.24,0.18,0.82,0.12,0.34,0.15,0.1,0.19,0.08,0.13,0.12,0.03,0.26,0.19,0.1,0.04,0.04,0.08,0.06,0.26,0.15,0.0,0.0,0.27,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.11,2.57,0.29,1.39,0.13,1.36,0.45,0.73,1.41,0.15,0.33,0.76,1.98,0.13,7.68,4.98,0.1,0.24,0.32,0.26,0.32,0.08,0.19,2.5,9.96,0.11,1.46,0.08,0.33,0.12,0.33,0.18,0.46,0.03,0.1,0.07,0.0,0.2,0.5,0.26,0.0,0.19,0.0,0.2,0.14,0.04,0.0,0.0,0.1,0.04,0.46,0.0,0.09,0.56,0.0,0.56,0.07,0.58,0.87,0.0,0.38,0.0,0.26,0.15,0.49,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
light rain,0.64,0.22,1.41,9.63,0.67,3.39,0.64,2.45,0.66,0.27,1.43,0.22,1.41,1.01,0.69,0.45,7.92,0.23,0.66,0.44,3.25,0.64,3.36,0.66,2.47,2.83,0.61,1.64,0.69,1.74,2.03,2.11,2.25,2.87,1.79,2.83,0.27,1.98,1.08,1.21,3.03,0.77,1.7,2.51,1.43,2.56,1.68,0.0,0.0,0.22,1.66,0.89,3.44,0.54,3.24,1.57,0.62,0.8,0.55,3.36,0.68,7.26,0.3,0.9,0.41,0.46,0.67,0.31,0.89,0.41,0.25,2.84,2.52,0.25,0.07,1.62,0.08,0.69,0.27,0.51,0.28,0.05,11.57,0.71,0.05,0.22,1.96,0.14,0.59,1.74,0.26,2.03,0.0,1.72,0.36,2.25,0.0,1.95,2.08,2.87,0.16,0.52,1.82,0.0,0.27,0.19,2.87,0.6,0.0,0.7,1.16,0.65,0.27,1.98,2.01,0.0,1.38,1.08,0.0,3.03,1.21,0.0,0.6,0.77,0.0,0.0,0.0,1.7,2.51,0.0,0.0,0.0,2.6,1.43,2.56,0.0,1.79,0.0,0.0,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
few clouds,5.5,1.36,0.11,0.2,0.13,0.05,0.26,0.08,0.11,0.0,0.0,1.24,0.11,0.33,0.97,2.69,0.23,15.83,0.1,1.62,0.07,0.26,0.07,0.11,0.1,0.02,0.26,0.05,0.0,0.14,0.04,0.0,0.0,0.08,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.1,1.08,0.15,0.98,0.06,0.55,0.26,0.23,2.43,0.07,0.22,0.68,14.07,0.09,2.36,1.96,0.12,0.11,0.32,0.16,0.43,0.02,0.09,1.86,2.22,0.04,19.85,0.25,0.14,0.26,0.0,0.0,0.27,0.0,0.09,0.0,0.31,0.0,0.68,0.14,0.0,0.04,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.08,0.27,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
light snow,0.47,0.11,2.04,0.52,37.63,0.68,2.71,0.08,0.96,0.0,0.0,0.13,2.04,0.94,0.56,0.2,0.61,0.05,44.93,0.0,0.46,2.71,0.7,0.96,0.06,0.57,0.32,0.15,4.23,0.42,0.0,0.24,0.19,0.08,0.0,0.0,0.0,1.05,0.21,0.0,0.0,8.08,5.92,2.61,0.0,2.66,0.0,4.96,0.0,0.11,2.34,0.77,0.77,0.36,0.48,1.22,0.55,1.19,0.36,0.7,2.91,0.19,0.01,11.28,0.08,0.06,0.96,0.14,1.38,0.29,0.27,0.58,0.06,0.11,0.0,0.15,0.0,0.39,11.92,0.22,18.18,0.24,0.0,4.25,21.38,0.38,0.0,0.24,1.99,0.42,0.46,0.0,23.87,0.12,0.0,0.19,0.0,0.25,0.24,0.08,0.55,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,2.58,8.08,0.0,0.0,0.0,5.92,2.61,0.0,0.0,0.0,0.0,0.0,2.66,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sky is Clear,0.26,14.53,0.07,0.25,0.01,0.03,0.05,0.06,0.07,0.0,0.0,0.23,0.07,0.07,0.14,0.43,0.29,0.98,0.02,117.4,0.09,0.05,0.03,0.07,0.04,0.02,0.0,0.05,0.0,0.0,0.04,0.0,0.14,0.0,0.0,0.39,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.53,0.05,0.11,0.2,0.3,0.1,0.09,0.11,0.08,0.26,0.03,0.04,0.62,1.46,0.03,1.09,0.29,0.07,0.0,0.29,0.02,0.04,0.02,0.04,0.46,0.58,0.05,0.9,0.0,0.03,0.25,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.04,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.63,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moderate rain,0.3,0.1,2.34,26.29,0.42,5.36,0.67,4.34,0.47,0.0,2.9,0.11,2.34,0.59,0.33,0.24,4.59,0.06,0.44,0.09,12.19,0.67,4.15,0.47,3.77,5.14,0.15,5.32,0.64,3.13,3.76,3.84,3.47,3.42,5.63,4.54,0.0,2.47,4.17,5.21,5.6,0.0,1.38,1.53,2.9,6.23,1.7,4.35,0.0,0.1,2.84,0.45,4.03,0.27,8.93,0.99,0.13,0.69,0.37,4.15,0.71,2.87,0.11,0.63,0.14,0.15,0.46,0.07,0.65,0.51,0.04,5.03,3.97,0.04,0.15,5.18,0.0,0.18,0.06,0.26,0.06,0.0,0.97,0.59,0.0,0.0,21.06,0.0,0.4,3.13,0.36,3.76,0.0,1.68,0.0,3.47,0.0,5.03,3.92,3.42,0.64,0.42,5.64,0.0,0.0,0.0,4.57,0.6,0.0,0.71,0.0,0.66,0.0,2.47,4.08,0.0,7.51,4.17,0.0,5.6,5.21,0.0,1.81,0.0,0.0,29.07,0.0,1.38,1.53,0.0,0.0,0.0,0.0,2.9,6.23,0.0,3.62,4.83,4.35,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haze,0.38,0.32,3.94,0.54,2.88,0.65,14.95,0.37,2.19,14.25,0.0,0.37,3.94,0.55,0.4,0.38,0.61,0.36,3.21,0.08,0.45,14.95,0.7,2.19,0.4,0.54,1.66,0.35,1.11,0.67,0.69,1.11,0.18,0.33,0.11,0.33,14.25,0.0,0.3,1.2,0.0,5.77,0.0,0.0,0.0,0.0,0.0,0.0,17.73,0.32,3.45,0.52,0.76,0.34,0.47,0.81,0.33,0.56,0.57,0.7,10.49,0.23,0.18,3.68,0.26,0.22,2.24,0.37,3.17,2.24,0.14,0.56,0.39,0.68,0.24,0.36,0.06,1.82,3.01,1.99,1.48,0.12,0.1,1.14,1.07,0.0,0.0,1.19,10.8,0.67,1.75,0.69,0.66,0.34,2.0,0.18,0.0,0.18,1.13,0.33,17.45,1.03,0.11,0.0,0.0,0.0,0.34,19.55,27.04,0.86,1.92,0.0,14.25,0.0,0.0,23.93,0.0,0.3,0.0,0.0,1.2,27.84,0.0,5.77,22.93,0.0,0.0,0.0,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.73,0.0,0.0
light intensity drizzle,0.4,0.11,4.1,15.09,0.71,12.9,1.13,2.62,0.95,1.65,2.19,0.13,4.1,0.94,0.38,0.22,8.55,0.05,0.86,0.08,7.37,1.13,10.04,0.95,2.25,7.11,0.31,3.36,0.78,3.66,2.15,4.32,2.49,2.51,3.94,2.89,1.65,0.47,2.22,3.74,5.08,1.18,2.09,2.31,2.19,1.57,0.0,0.0,0.0,0.11,4.68,0.53,8.73,0.27,7.61,1.42,0.62,0.92,0.4,10.04,1.19,2.19,0.02,1.23,0.09,0.1,0.97,0.05,0.99,1.05,0.0,7.06,2.29,0.11,0.0,3.37,0.0,0.38,0.29,0.86,0.09,0.0,0.12,0.8,0.0,0.0,0.75,0.21,0.72,3.66,0.0,2.15,0.0,1.27,0.0,2.49,0.0,4.01,4.3,2.51,0.49,0.32,3.87,0.0,2.53,0.0,2.79,0.0,0.0,2.14,0.0,0.0,1.65,0.47,2.31,0.0,2.83,2.22,0.0,5.08,3.74,0.0,0.0,1.18,3.13,0.0,0.0,2.09,2.31,0.0,0.0,0.0,7.98,2.19,1.57,0.0,5.48,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fog,0.08,0.16,48.41,0.82,1.9,0.97,2.26,0.36,37.01,0.0,0.0,0.18,48.41,0.11,0.07,0.07,0.87,0.09,1.24,0.14,0.5,2.26,0.95,37.01,0.32,0.82,3.75,0.43,6.31,0.1,0.24,0.89,0.67,0.0,0.64,0.49,0.0,0.0,1.33,0.45,0.0,0.0,3.78,4.66,0.0,0.0,3.11,7.95,0.0,0.16,15.83,0.09,1.13,0.08,0.52,0.2,0.12,0.07,0.09,0.95,2.53,0.03,0.09,1.57,0.0,0.12,32.16,0.0,4.17,5.05,0.0,0.85,0.34,0.13,0.0,0.44,0.0,4.42,0.96,3.71,0.0,0.0,0.15,6.46,0.0,0.0,0.45,1.78,0.43,0.1,0.65,0.24,0.0,0.0,2.44,0.67,0.0,0.53,0.9,0.0,0.59,15.25,0.65,0.0,0.0,0.7,0.51,0.0,0.0,0.0,0.0,27.06,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.45,0.0,2.2,0.0,0.0,0.0,0.0,3.78,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.95,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proximity thunderstorm,0.62,0.48,1.28,8.61,0.08,1.71,0.5,26.67,0.31,0.0,14.4,0.54,1.28,0.67,0.92,0.81,4.38,0.19,0.05,0.16,4.61,0.5,1.84,0.31,21.78,0.9,0.09,7.82,0.21,7.06,13.38,1.73,7.5,8.76,5.15,6.87,0.0,8.5,8.58,8.03,0.0,1.94,1.71,0.0,14.4,2.56,4.22,0.0,0.0,0.48,1.59,1.32,4.84,0.53,4.77,1.26,0.17,0.53,1.07,1.84,0.53,1.33,0.16,0.07,0.29,1.05,0.33,0.0,0.4,0.36,0.0,0.92,15.83,0.27,0.0,8.03,0.13,0.11,0.0,0.13,0.0,0.0,0.4,0.21,0.0,0.0,0.61,0.34,0.39,7.06,0.0,13.38,0.0,22.17,0.0,7.5,0.0,0.36,1.76,8.76,0.0,0.0,5.25,0.0,0.0,0.0,7.14,0.0,0.0,35.98,0.0,0.0,0.0,8.5,3.78,0.0,0.0,8.58,0.0,0.0,8.03,0.0,0.0,1.94,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,14.4,2.56,0.0,0.0,0.0,0.0,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drizzle,0.21,0.03,6.83,34.36,0.81,22.06,0.81,1.68,0.93,0.0,0.0,0.04,6.83,0.63,0.14,0.11,8.98,0.0,0.93,0.0,13.96,0.81,7.88,0.93,1.47,17.38,0.14,4.89,0.93,3.0,0.89,8.71,0.75,1.87,2.73,3.14,0.0,1.58,2.5,5.07,7.17,0.0,1.76,9.18,0.0,5.3,4.36,0.0,0.0,0.03,8.22,0.23,10.09,0.03,14.4,1.04,0.39,0.52,0.17,7.88,0.87,1.13,0.0,1.36,0.1,0.08,0.97,0.17,1.36,0.44,0.0,15.6,1.46,0.0,0.0,4.91,0.0,0.12,0.17,0.93,0.0,0.0,0.0,0.9,0.0,0.0,0.32,0.0,0.41,3.0,0.91,0.89,0.0,1.07,0.75,0.75,0.0,14.54,8.68,1.87,0.0,1.08,2.78,0.0,0.0,0.0,2.9,1.54,0.0,1.81,0.0,1.68,0.0,1.58,1.3,0.0,4.79,2.5,0.0,7.17,5.07,0.0,1.54,0.0,0.0,0.0,0.0,1.76,9.18,0.0,0.0,0.0,6.74,0.0,5.3,0.0,9.27,0.0,0.0,4.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy snow,0.48,0.04,4.06,0.61,45.33,0.42,2.32,0.09,3.53,0.0,0.0,0.05,4.06,1.4,0.3,0.07,0.83,0.15,0.36,0.0,0.28,2.32,0.48,3.53,0.12,0.25,149.81,0.03,10.24,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.31,0.0,0.0,0.0,7.85,0.0,0.04,4.86,0.37,1.06,0.33,0.29,1.71,1.08,1.36,0.1,0.48,2.42,0.24,0.13,0.46,0.0,0.13,3.52,0.54,1.03,0.2,0.0,0.27,0.13,0.25,0.0,0.03,0.0,56.45,0.26,0.0,0.0,0.26,0.0,9.98,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,32.93,0.0,0.0,0.0,0.57,0.0,0.0,4.03,0.0,51.79,0.0,50.57,0.0,0.0,0.0,0.0,52.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.37,0.0,0.0,0.0,11.53,0.0,0.0,0.0,52.67,0.0,8.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy intensity rain,0.21,0.14,3.16,32.51,0.08,4.4,0.74,17.43,0.42,3.91,5.17,0.13,3.16,0.23,0.36,0.25,3.15,0.13,0.09,0.32,7.39,0.74,3.8,0.42,13.16,2.95,0.0,17.07,0.15,4.87,10.96,4.59,12.37,7.8,10.35,5.91,3.91,12.35,11.57,6.2,5.99,0.0,0.0,0.0,5.17,3.69,18.33,0.0,0.0,0.14,3.97,0.51,3.26,0.24,7.11,0.39,0.18,0.19,0.29,3.8,0.71,1.61,0.12,0.13,0.07,0.48,0.44,0.0,0.38,0.17,0.0,2.78,12.16,0.13,0.0,14.32,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,4.03,0.0,1.14,4.87,0.64,10.96,0.0,10.86,0.0,12.37,0.0,4.2,4.68,7.8,0.0,0.0,10.18,0.0,0.0,0.0,5.62,0.0,0.0,5.05,0.0,2.35,3.91,12.35,28.03,0.0,40.98,11.57,0.0,5.99,6.2,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17,3.69,0.0,12.93,17.24,0.0,18.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow,0.18,0.04,11.93,1.12,132.66,0.82,1.56,0.34,11.5,0.0,0.0,0.04,11.93,0.47,0.24,0.02,1.03,0.0,9.56,0.0,1.1,1.56,0.71,11.5,0.43,0.6,18.18,0.64,50.9,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,4.46,19.91,8.74,0.0,5.89,0.0,24.92,0.0,0.04,14.45,0.36,1.27,0.06,1.14,0.73,0.38,0.46,0.04,0.71,1.77,0.25,0.0,8.8,0.0,0.0,11.17,0.0,0.4,0.14,0.22,0.58,0.4,0.0,0.0,0.66,0.0,20.65,7.3,0.59,2.55,0.0,0.0,47.59,0.62,0.0,0.0,0.0,0.45,0.62,1.02,0.0,0.0,0.79,16.03,0.0,0.0,0.83,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,31.79,4.46,0.0,0.0,0.0,19.91,8.74,0.0,0.0,0.0,0.0,0.0,5.89,0.0,0.0,0.0,24.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proximity shower rain,0.8,0.22,1.13,17.22,0.39,3.19,0.88,8.51,0.0,0.0,17.85,0.27,1.13,0.71,1.15,0.65,3.7,0.26,0.56,0.0,4.03,0.88,3.92,0.0,8.77,1.09,0.0,2.88,0.79,66.89,10.23,0.85,3.7,4.56,9.09,3.35,0.0,0.0,2.99,0.0,13.82,0.0,0.0,0.0,17.85,0.0,0.0,0.0,0.0,0.22,1.48,1.75,4.06,0.41,4.19,1.57,0.0,0.33,0.75,3.92,0.79,1.52,0.4,0.58,0.73,0.61,0.0,0.0,0.0,0.0,0.0,1.16,9.19,0.22,0.0,2.98,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,66.89,0.0,10.23,0.0,0.0,0.0,3.7,0.0,0.0,0.87,4.56,0.0,0.0,9.26,0.0,0.0,0.0,3.48,14.97,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,0.0,13.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thunderstorm,0.79,0.53,1.03,6.17,0.0,1.64,0.86,24.45,0.26,0.0,0.0,0.6,1.03,0.58,0.95,0.89,3.08,0.49,0.0,0.17,4.62,0.86,1.97,0.26,16.9,0.38,0.0,8.16,0.0,8.68,20.67,0.0,5.08,6.27,11.29,3.65,0.0,12.59,13.36,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,1.19,1.3,3.32,0.6,4.64,1.14,0.22,0.36,0.93,1.97,0.98,1.66,0.44,0.0,0.0,1.62,0.27,0.0,0.48,0.65,0.0,0.4,14.15,0.49,0.67,7.49,0.69,0.0,0.0,0.0,0.0,0.0,2.16,0.0,0.0,0.0,5.04,0.0,1.06,8.68,0.0,20.67,0.0,20.07,0.0,5.08,0.0,0.0,0.0,6.27,0.0,0.0,11.5,0.0,0.0,0.0,3.79,0.0,0.0,19.1,0.0,0.0,0.0,12.59,20.77,0.0,0.0,13.36,0.0,0.0,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
