,temp_6,temp_3,temp_5,temp_2,temp_4,temp_7,temp_1,temp_0,sky is clear,mist,overcast clouds,broken clouds,scattered clouds,light rain,few clouds,light snow,Sky is Clear,moderate rain,haze,light intensity drizzle,fog,proximity thunderstorm,drizzle,heavy snow,heavy intensity rain,snow,proximity shower rain,thunderstorm,heavy intensity drizzle,thunderstorm with heavy rain,thunderstorm with light rain,proximity thunderstorm with rain,thunderstorm with rain,smoke,very heavy rain,thunderstorm with light drizzle,proximity thunderstorm with drizzle,light intensity shower rain,light shower snow,shower drizzle,light rain and snow,SQUALLS,sleet,freezing rain,thunderstorm with drizzle,shower snow,sky is clear_0,mist_0,broken clouds_0,light rain_0,broken clouds_1,moderate rain_0,overcast clouds_0,overcast clouds_2,overcast clouds_1,scattered clouds_0,light intensity drizzle_0,haze_0,light rain_1,few clouds_1,light snow_0,scattered clouds_2,scattered clouds_1,fog_0,overcast clouds_3,mist_1,mist_2,broken clouds_2,drizzle_0,proximity thunderstorm_0,few clouds_0,scattered clouds_3,heavy intensity rain_0,few clouds_2,heavy snow_0,light snow_1,mist_3,light snow_2,overcast clouds_4,light rain_2,snow_0,light snow_3,broken clouds_3,moderate rain_1,mist_4,haze_1,proximity shower rain_0,mist_5,thunderstorm_0,light snow_4,proximity thunderstorm_1,heavy snow_1,thunderstorm with heavy rain_0,broken clouds_4,drizzle_1,heavy intensity drizzle_0,thunderstorm with light rain_0,fog_1,haze_2,heavy snow_3,proximity thunderstorm with rain_0,mist_6,heavy snow_2,thunderstorm with rain_0,haze_3,haze_7,proximity thunderstorm_2,heavy snow_4,fog_2,smoke_0,heavy intensity rain_1,very heavy rain_0,haze_4,heavy intensity rain_2,thunderstorm with light drizzle_0,heavy snow_6,light intensity shower rain_0,proximity thunderstorm with drizzle_0,snow_1,haze_8,light shower snow_0,haze_5,moderate rain_2,heavy snow_5,light rain and snow_0,shower drizzle_0,haze_6,scattered clouds_4,heavy intensity drizzle_1,SQUALLS_0,mist_7,sleet_0,thunderstorm with drizzle_0,proximity thunderstorm with rain_1,thunderstorm with rain_1,few clouds_3,freezing rain_0,snow_2,drizzle_2,light intensity drizzle_1,proximity thunderstorm_3,proximity shower rain_1,heavy intensity rain_3,light rain_3,shower snow_0,sky is clear_1,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,0.72,1.0,0.82,0.94,0.84,0.48,0.73,0.58,0.87,0.87,1.5,1.19,0.88,0.87,0.64,0.6,0.26,0.67,0.58,0.72,0.34,0.45,0.53,0.49,0.39,0.27,0.43,0.24,0.14,0.2,0.27,0.33,0.18,0.0,0.0,0.0,0.14,0.09,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.87,0.82,1.12,0.86,0.77,0.68,1.02,1.05,1.04,0.84,0.72,0.57,0.53,0.45,0.54,0.43,0.51,0.36,0.9,0.55,0.41,0.41,0.51,0.45,0.57,0.15,0.4,0.27,0.46,0.41,0.39,0.35,0.65,0.23,0.27,0.26,0.15,0.16,0.24,0.32,0.43,0.21,0.24,0.14,0.23,0.29,0.2,0,0.26,0.14,0.27,0.1,0.4,0.3,0.33,0.2,0.18,0.18,0.0,0.0,0.07,0.09,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.09,0.14,0.09,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.26,1.07,1.26
broken clouds,0.93,0.87,0.88,0.87,0.86,0.79,0.8,0.69,1.06,0.82,1.02,1.46,1.18,0.78,0.9,0.62,0.4,0.58,0.62,0.54,0.48,0.47,0.37,0.3,0.42,0.18,0.4,0.3,0.16,0.27,0.25,0.22,0.24,0.13,0.14,0.0,0.16,0.12,0,0.0,0.07,0.14,0,0,0.0,0,1.06,0.73,1.13,0.73,1.14,0.58,0.97,0.42,0.67,1.06,0.54,0.58,0.54,0.68,0.56,0.63,0.77,0.47,0.34,0.53,0.52,0.87,0.36,0.47,0.75,0.38,0.4,0.47,0.29,0.46,0.29,0.34,0.17,0.29,0.2,0.19,0.63,0.16,0.39,0.28,0.4,0.2,0.3,0.08,0.19,0.22,0.27,0.43,0.17,0.16,0.25,0.32,0.42,0.15,0.22,0.0,0.21,0.24,0.11,0.14,0.16,0.19,0.0,0.13,0.15,0.14,0.0,0.18,0.0,0,0.12,0.16,0.05,0,0,0.0,0,0,0.07,0.0,0,0,0,0.14,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,1.3,1.05,1.23
scattered clouds,1.14,0.8,1.01,0.72,0.87,1.02,0.63,0.58,1.26,0.79,1.04,1.25,1.47,0.9,1.01,0.5,0.64,0.58,0.65,0.57,0.5,0.41,0.37,0.38,0.42,0.24,0.37,0.28,0.24,0.15,0.22,0.21,0.24,0.0,0.15,0.0,0.0,0.17,0.0,0,0,0.0,0,0,0.0,0.0,1.29,0.77,1.24,0.83,0.74,0.59,1.01,0.45,0.6,1.06,0.57,0.62,0.64,0.74,0.48,1.06,1.05,0.51,0.33,0.48,0.38,0.26,0.36,0.42,0.87,0.88,0.42,0.53,0.34,0.38,0.22,0.25,0.26,0.3,0.25,0.15,0.06,0.05,0.19,0.44,0.38,0.11,0.28,0.09,0.19,0.15,0.15,0.0,0.1,0.24,0.22,0.0,0.22,0.26,0.21,0,0.38,0.24,0.18,0.0,0.1,0.0,0,0.0,0.14,0.15,0.0,0,0.0,0,0.17,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.42,0.97,1.19
light rain,1.14,0.91,1.07,0.56,0.91,0.91,0.35,0.27,0.84,1.22,1.2,1.08,0.84,1.64,0.48,0.66,0.42,1.47,0.81,1.3,0.63,1.08,1.18,0.42,1.09,0.57,0.6,0.82,0.78,0.79,0.71,0.62,0.69,0.17,0.54,0.45,0.44,0.45,0.15,0.31,0.34,0.19,0.42,0.13,0.0,0,0.85,1.23,1.02,1.5,0.72,1.47,1.12,0.61,0.76,0.76,1.3,0.81,1.2,0.42,0.68,0.48,0.52,0.62,0.41,0.62,0.46,0.36,1.18,1.08,0.37,0.16,1.09,0.18,0.43,0.36,0.44,0.36,0.09,0.84,0.58,0.09,0.15,0.46,0.17,0.45,0.61,0.26,0.82,0,0.48,0.15,0.79,0,0.49,0.77,0.71,0.29,0.12,0,0.63,0.07,0.11,0.67,0.0,0,0.18,0.0,0.37,0.17,0.34,0.54,0,0.25,0.45,0,0.45,0.44,0.21,0.0,0.15,0,0.0,0,0.34,0.31,0,0,0.27,0.19,0,0.42,0.0,0.0,0.35,0.0,0.13,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.35,1.18,1.43
few clouds,1.09,0.89,1.08,0.81,1.04,1.07,0.82,0.7,1.32,0.82,0.81,1.12,1.39,0.86,1.68,0.47,0.96,0.48,0.68,0.55,0.55,0.41,0.28,0.66,0.23,0.0,0.24,0.21,0,0.13,0.2,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,1.4,0.72,1.07,0.66,0.72,0.47,0.8,0.37,0.48,1.21,0.55,0.59,0.77,1.48,0.45,0.86,0.89,0.56,0.21,0.52,0.37,0.34,0.28,0.41,0.94,0.67,0.18,1.21,0.64,0.28,0.58,0.2,0.25,0.38,0.0,0.0,0.0,0.26,0.14,0.53,0.24,0.0,0.21,0.0,0.0,0.43,0.13,0,0,0,0.2,0.0,0.34,0.0,0,0,0.0,0.0,0.23,0,0.17,0,0,0.0,0.25,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1.53,1.16,1.41
light snow,0,1.08,0.0,1.34,0.4,0,1.28,0.94,0.77,1.41,1.27,1.06,0.69,1.04,0.26,1.92,0.0,0.93,1.22,0.96,1.06,0.42,0.82,0.72,0.45,1.41,0.35,0,0.43,0.23,0.0,0,0.0,0,0.41,0.0,0,0,0.48,0.51,0.0,0,0.0,0.62,0,0,0.76,1.43,1.11,1.07,0.55,0.94,1.12,0.63,0.97,0.74,0.96,1.24,0.52,0.13,1.69,0.22,0.3,1.06,0.22,0.81,0.49,0.36,0.83,0.37,0.28,0.09,0.45,0,0.74,1.37,0.38,1.18,0.25,0,1.4,1.06,0.21,0,0.25,0.56,0.35,0.22,0,0.85,0.0,0,0.23,0,0.39,0.44,0.0,0.32,0.21,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.41,0,0,0.0,0,0,0,0.41,0,0.48,0.0,0,0,0.0,0.51,0,0,0,0,0,0.0,0,0,0.0,0,0.62,0,0.0,0,0,0,0,0,0,0,1.29,1.46,1.56
Sky is Clear,1.32,0.73,1.24,0.56,1.01,1.29,0.3,0.18,0.81,0.65,0.4,0.68,0.88,0.87,0.89,0.18,1.98,0.5,0.31,0.29,0.36,0.25,0.0,0,0.39,0,0.0,0.21,0,0.24,0.08,0.0,0.0,0,0.41,0.0,0,0,0,0,0,0.0,0,0,0,0,1.69,0.62,0.53,0.69,0.58,0.51,0.33,0.4,0.23,0.54,0.29,0.3,0.71,0.81,0.19,0.75,0.51,0.34,0,0.56,0.15,0.12,0.0,0.25,0.57,0.49,0.38,0.45,0,0.0,0.51,0,0,0.55,0,0,0.13,0.14,0.0,0.0,0.0,0,0.21,0,0,0,0.24,0,0,0,0.08,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.33,0,0.0,0.41,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.24,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,1.4,1.26,1.46
moderate rain,1.34,0.93,1.23,0.47,1.07,1.03,0.2,0.0,0.93,1.41,1.24,1.11,0.93,1.78,0.48,0.61,0.28,1.89,1.0,1.53,0.66,1.43,1.47,0.24,1.68,0.61,0.91,1.17,0.87,0.96,0.89,1.07,0.69,0.16,0.63,0.74,0.66,0.63,0,0.17,0.27,0.4,0.8,0.5,0.31,0,0.9,1.44,1.08,1.74,0.67,1.84,1.16,0.5,0.87,0.9,1.53,0.97,1.16,0.39,0.63,0.5,0.49,0.65,0.19,0.66,0.74,0.12,1.46,1.43,0.36,0.21,1.69,0.21,0.25,0.29,0.4,0.12,0.0,0.34,0.6,0.0,0,1.01,0.08,0.74,0.91,0.0,1.17,0,0.6,0.0,0.96,0,0.66,0.88,0.89,0.16,0.36,0,1.05,0.0,0,0.68,0.0,0,0.32,0,0.17,0.16,0.48,0.63,0,0.47,0.74,0,0.63,0.66,0.33,0,0,0,0.32,0,0.27,0.17,0,0.0,0.13,0.4,0,0.8,0.31,0.41,0.25,0,0.5,0,0,0.0,0,0,0.0,0,0,0,1.46,1.42,1.63
haze,1.0,0.97,0.97,1.28,0.84,0.75,1.15,0.92,1.06,1.7,1.08,0.98,0.84,1.1,0.69,1.31,0.22,0.87,1.84,0.93,1.29,0.7,0.77,0.78,0.64,0.99,0.44,0.61,0.48,0.13,0.45,0.17,0.18,0.67,0,0.0,0.0,0.13,0.47,0,0,0,0,0.0,0,0.0,1.04,1.68,0.93,1.11,0.66,0.88,0.97,0.59,0.68,0.81,0.93,1.79,0.55,0.43,1.33,0.48,0.44,1.29,0.44,1.24,0.91,0.29,0.79,0.68,0.74,0.25,0.64,0.08,0.81,1.02,0.63,0.43,0.23,0.11,0.99,0.38,0.0,0.0,0.38,1.05,0.44,0.35,0.61,0.18,0.3,0.41,0.13,0,0.11,0.48,0.45,0.57,0.71,0.11,0.19,0.0,0.14,0.2,0.67,0.62,0.0,0.37,0,0.67,0,0,0.69,0,0.0,0,0.13,0.0,0.0,0.54,0.47,0.44,0,0,0,0,0.36,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,1.48,1.46,1.63
light intensity drizzle,1.21,1.24,1.25,0.29,1.3,0.83,0.13,0,0.96,1.73,1.37,1.1,0.81,1.98,0.26,0.84,0.3,2.01,1.18,1.98,0.87,1.44,1.82,0.43,1.59,0.75,1.0,1.03,1.18,1.06,0.81,0.95,0.81,0.23,0.5,0.83,0.75,0.79,0.0,0.35,0.0,0.18,0.51,0.19,0,0,0.96,1.77,1.03,2.02,0.75,2.02,1.26,0.74,0.9,0.83,1.98,1.19,0.98,0.29,0.91,0.42,0.38,0.86,0.25,0.83,0.79,0.32,1.82,1.38,0.23,0.0,1.59,0.0,0.47,0.47,0.64,0.26,0.0,0.1,0.73,0,0,0.0,0.33,0.63,1.0,0.12,1.03,0,0.84,0.0,1.06,0,0.81,1.16,0.81,0.39,0.15,0,0.96,0.0,0.0,0.77,0,0,0.6,0.0,0.0,0.23,0.38,0.5,0,0.32,0.83,0,0.79,0.75,0.33,0,0.0,0.0,0,0,0.0,0.35,0,0,0.59,0.18,0,0.51,0,0.19,0.0,0,0.19,0,0.0,0.0,0,0,0,0,0,0,1.64,1.53,1.8
fog,1.15,1.28,1.23,1.21,0.9,0.55,0.77,0.44,1.26,2.02,0.78,0.73,0.76,1.51,0.7,1.08,0.33,1.19,1.33,1.34,2.11,1.01,1.06,1.12,1.05,1.42,0.4,0.89,0.94,1.05,0.0,0.0,0.27,0.0,0,0.78,0.0,0,0.0,0.0,0.76,0,0,0.0,0.0,0,1.24,2.0,0.64,1.55,0.53,1.2,0.72,0.62,0.43,0.75,1.34,1.36,0.46,0.46,1.09,0.12,0.56,2.1,0.16,1.39,1.6,0.0,1.07,1.09,0.75,0.16,1.09,0.0,1.14,0.97,0.99,0.17,0,0.0,1.42,0,0,0.56,0.34,0.36,0.4,0.3,0.89,0,0.0,1.1,1.05,0,0.37,0.95,0.0,0.93,0.2,0.0,0.0,0.0,0.0,0.27,0,0.0,0,0,0.81,0.0,0.0,0,0,0,0.78,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.76,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,1.22,2.06,2.06
proximity thunderstorm,1.73,0.46,1.25,0.3,0.61,1.89,0.16,0.17,1.64,1.31,1.52,1.73,1.66,1.91,0.77,0.27,0.56,1.76,1.02,1.43,0.66,2.16,0.92,0.25,1.6,0.3,1.19,1.88,0.64,1.09,1.14,0.85,0.91,0,0.63,1.1,0.9,0.0,0.27,0.23,0,0.48,0.0,0,0.25,0,1.64,1.35,1.72,1.94,0.93,1.78,1.56,0.64,0.78,1.43,1.43,0.97,0.96,0.61,0.24,0.84,1.48,0.66,0.0,0.66,0.36,0.19,0.92,2.03,0.62,0.2,1.61,0.0,0.26,0.26,0.21,0,0,0.54,0.36,0,0,0.37,0.0,0.61,1.19,0,1.88,0,1.44,0,1.09,0,0.0,0.64,1.14,0,0,0,0.83,0.0,0,0.86,0,0,1.0,0,0,0,0.55,0.63,0,0,1.1,0,0.0,0.9,0.0,0,0.27,0.0,0,0,0,0.23,0,0,0,0.48,0,0.0,0.25,0.0,0.54,0,0,0,0,0,0.0,0,0,0,0,0,1.7,1.53,1.8
